,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-01-14T00:00:00,GHCND:USC00049001,46.0
1,",,7,",WDMV,2016-01-20T00:00:00,GHCND:USC00049001,0.0
2,",,7,",WDMV,2016-01-21T00:00:00,GHCND:USC00049001,0.0
3,",,7,",WDMV,2016-01-22T00:00:00,GHCND:USC00049001,0.0
4,",,7,",WDMV,2016-01-27T00:00:00,GHCND:USC00049001,13.0
5,",,7,",WDMV,2016-01-28T00:00:00,GHCND:USC00049001,11.2
6,",,7,",WDMV,2016-02-03T00:00:00,GHCND:USC00049001,0.0
7,",,7,",WDMV,2016-02-04T00:00:00,GHCND:USC00049001,0.0
8,",,7,",WDMV,2016-02-18T00:00:00,GHCND:USC00049001,0.0
9,",,7,",WDMV,2016-02-24T00:00:00,GHCND:USC00049001,8.1
10,",,7,",WDMV,2016-02-25T00:00:00,GHCND:USC00049001,11.8
11,",,7,",WDMV,2016-03-01T00:00:00,GHCND:USC00049001,0.0
12,",,7,",WDMV,2016-03-02T00:00:00,GHCND:USC00049001,0.0
13,",,7,",WDMV,2016-03-03T00:00:00,GHCND:USC00049001,0.0
14,",,7,",WDMV,2016-03-10T00:00:00,GHCND:USC00049001,29.2
15,",,7,",WDMV,2016-03-12T00:00:00,GHCND:USC00049001,0.0
16,",,7,",WDMV,2016-03-13T00:00:00,GHCND:USC00049001,0.0
17,",,7,",WDMV,2016-03-14T00:00:00,GHCND:USC00049001,0.0
18,",,7,",WDMV,2016-03-17T00:00:00,GHCND:USC00049001,0.0
19,",,7,",WDMV,2016-03-20T00:00:00,GHCND:USC00049001,0.0
20,",,7,",WDMV,2016-03-31T00:00:00,GHCND:USC00049001,0.0
21,",,7,",WDMV,2016-04-07T00:00:00,GHCND:USC00049001,57.2
22,",,7,",WDMV,2016-04-20T00:00:00,GHCND:USC00049001,29.8
23,",,7,",WDMV,2016-04-21T00:00:00,GHCND:USC00049001,75.8
24,",,7,",WDMV,2016-04-27T00:00:00,GHCND:USC00049001,0.0
25,",,7,",WDMV,2016-04-28T00:00:00,GHCND:USC00049001,0.0
26,",,7,",WDMV,2016-05-06T00:00:00,GHCND:USC00049001,55.3
27,",,7,",WDMV,2016-05-18T00:00:00,GHCND:USC00049001,42.3
28,",,7,",WDMV,2016-05-19T00:00:00,GHCND:USC00049001,165.3
29,",,7,",WDMV,2016-05-25T00:00:00,GHCND:USC00049001,0.0
30,",,7,",WDMV,2016-05-26T00:00:00,GHCND:USC00049001,0.0
31,",,7,",WDMV,2016-05-27T00:00:00,GHCND:USC00049001,0.0
32,",,7,",WDMV,2016-06-08T00:00:00,GHCND:USC00049001,0.0
33,",,7,",WDMV,2016-06-09T00:00:00,GHCND:USC00049001,0.0
34,",,7,",WDMV,2016-06-10T00:00:00,GHCND:USC00049001,0.0
35,",,7,",WDMV,2016-06-15T00:00:00,GHCND:USC00049001,190.8
36,",,7,",WDMV,2016-06-16T00:00:00,GHCND:USC00049001,69.0
37,",,7,",WDMV,2016-06-22T00:00:00,GHCND:USC00049001,0.0
38,",,7,",WDMV,2016-06-23T00:00:00,GHCND:USC00049001,0.0
39,",,7,",WDMV,2016-06-28T00:00:00,GHCND:USC00049001,88.2
40,",,7,",WDMV,2016-06-29T00:00:00,GHCND:USC00049001,152.9
41,",,7,",WDMV,2016-06-30T00:00:00,GHCND:USC00049001,139.8
42,",,7,",WDMV,2016-07-01T00:00:00,GHCND:USC00049001,111.8
43,",,7,",WDMV,2016-07-06T00:00:00,GHCND:USC00049001,0.0
44,",,7,",WDMV,2016-07-07T00:00:00,GHCND:USC00049001,0.0
45,",,7,",WDMV,2016-07-13T00:00:00,GHCND:USC00049001,106.9
46,",,7,",WDMV,2016-07-14T00:00:00,GHCND:USC00049001,57.8
47,",,7,",WDMV,2016-07-15T00:00:00,GHCND:USC00049001,85.7
48,",,7,",WDMV,2016-07-20T00:00:00,GHCND:USC00049001,0.0
49,",,7,",WDMV,2016-07-21T00:00:00,GHCND:USC00049001,0.0
50,",,7,",WDMV,2016-07-27T00:00:00,GHCND:USC00049001,60.3
51,",,7,",WDMV,2016-07-28T00:00:00,GHCND:USC00049001,82.0
52,",,7,",WDMV,2016-07-29T00:00:00,GHCND:USC00049001,88.2
53,",,7,",WDMV,2016-08-12T00:00:00,GHCND:USC00049001,77.1
54,",,7,",WDMV,2016-08-17T00:00:00,GHCND:USC00049001,0.0
55,",,7,",WDMV,2016-08-18T00:00:00,GHCND:USC00049001,0.0
56,",,7,",WDMV,2016-08-31T00:00:00,GHCND:USC00049001,0.0
57,",,7,",WDMV,2016-09-01T00:00:00,GHCND:USC00049001,0.0
58,",,7,",WDMV,2016-09-07T00:00:00,GHCND:USC00049001,47.2
59,",,7,",WDMV,2016-09-08T00:00:00,GHCND:USC00049001,103.8
60,",,7,",WDMV,2016-09-21T00:00:00,GHCND:USC00049001,149.8
61,",,7,",WDMV,2016-09-23T00:00:00,GHCND:USC00049001,95.7
62,",,7,",WDMV,2016-09-28T00:00:00,GHCND:USC00049001,0.0
63,",,7,",WDMV,2016-09-29T00:00:00,GHCND:USC00049001,0.0
64,",,7,",WDMV,2016-10-05T00:00:00,GHCND:USC00049001,78.9
65,",,7,",WDMV,2016-10-06T00:00:00,GHCND:USC00049001,65.2
66,",,7,",WDMV,2016-10-07T00:00:00,GHCND:USC00049001,24.2
67,",,7,",WDMV,2016-10-12T00:00:00,GHCND:USC00049001,0.0
68,",,7,",WDMV,2016-10-13T00:00:00,GHCND:USC00049001,0.0
69,",,7,",WDMV,2016-10-14T00:00:00,GHCND:USC00049001,0.0
70,",,7,",WDMV,2016-10-19T00:00:00,GHCND:USC00049001,34.8
71,",,7,",WDMV,2016-10-20T00:00:00,GHCND:USC00049001,69.0
72,",,7,",WDMV,2016-10-21T00:00:00,GHCND:USC00049001,3.1
73,",,7,",WDMV,2016-10-26T00:00:00,GHCND:USC00049001,0.0
74,",,7,",WDMV,2016-10-27T00:00:00,GHCND:USC00049001,0.0
75,",,7,",WDMV,2016-10-28T00:00:00,GHCND:USC00049001,0.0
76,",,7,",WDMV,2016-10-30T00:00:00,GHCND:USC00049001,0.0
77,",,7,",WDMV,2016-11-02T00:00:00,GHCND:USC00049001,5.0
78,",,7,",WDMV,2016-11-03T00:00:00,GHCND:USC00049001,8.1
79,",,7,",WDMV,2016-11-04T00:00:00,GHCND:USC00049001,3.7
80,",,7,",WDMV,2016-11-09T00:00:00,GHCND:USC00049001,0.0
81,",,7,",WDMV,2016-11-10T00:00:00,GHCND:USC00049001,0.0
82,",,7,",WDMV,2016-11-11T00:00:00,GHCND:USC00049001,0.0
83,",,7,",WDMV,2016-11-16T00:00:00,GHCND:USC00049001,83.9
84,",,7,",WDMV,2016-11-23T00:00:00,GHCND:USC00049001,0.0
85,",,7,",WDMV,2016-11-24T00:00:00,GHCND:USC00049001,0.0
86,",,7,",WDMV,2016-11-30T00:00:00,GHCND:USC00049001,6.2
87,",,7,",WDMV,2016-12-01T00:00:00,GHCND:USC00049001,34.2
88,",,7,",WDMV,2016-12-07T00:00:00,GHCND:USC00049001,0.0
89,",,7,",WDMV,2016-12-08T00:00:00,GHCND:USC00049001,0.0
90,",,7,",WDMV,2016-12-09T00:00:00,GHCND:USC00049001,0.0
91,",,7,",WDMV,2016-12-22T00:00:00,GHCND:USC00049001,0.0
92,",,7,",WDMV,2016-12-23T00:00:00,GHCND:USC00049001,0.0
