,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00003068,2.0
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00003068,3.1
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00003068,3.4
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00003068,3.6
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00003068,5.4
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00003068,6.3
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00003068,2.2
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00003068,11.4
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00003068,2.2
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00003068,2.0
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00003068,4.5
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00003068,4.5
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00003068,3.4
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00003068,10.3
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00003068,7.4
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00003068,4.9
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00003068,3.8
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00003068,4.3
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00003068,10.5
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00003068,7.4
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00003068,12.3
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00003068,4.5
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00003068,6.7
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00003068,11.4
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00003068,13.0
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00003068,2.9
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00003068,4.9
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00003068,3.6
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00003068,12.3
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00003068,11.2
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00003068,5.8
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00003068,14.3
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00003068,19.5
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00003068,3.6
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00003068,5.6
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00003068,4.7
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00003068,2.7
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00003068,6.7
38,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00003068,4.9
39,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00003068,5.6
40,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00003068,6.3
41,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00003068,6.5
42,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00003068,6.9
43,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00003068,6.3
44,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00003068,6.7
45,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00003068,8.3
46,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00003068,21.9
47,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00003068,13.0
48,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00003068,12.8
49,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00003068,9.4
50,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00003068,9.8
51,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00003068,5.6
52,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00003068,5.8
53,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00003068,6.0
54,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00003068,10.7
55,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00003068,8.7
56,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00003068,13.4
57,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00003068,7.8
58,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00003068,6.7
59,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00003068,9.8
60,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00003068,9.4
61,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00003068,14.5
62,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00003068,8.3
63,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00003068,7.2
64,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00003068,8.5
65,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00003068,10.7
66,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00003068,9.6
67,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00003068,10.5
68,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00003068,9.4
69,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00003068,12.3
70,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00003068,7.6
71,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00003068,8.3
72,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00003068,9.2
73,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00003068,7.4
74,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00003068,3.8
75,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00003068,6.9
76,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00003068,11.9
77,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00003068,28.4
78,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00003068,6.7
79,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00003068,11.6
80,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00003068,4.3
81,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00003068,8.1
