,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00003068,1845
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00003068,1521
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00003068,1546
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00003068,1446
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00003068,1633
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00003068,1317
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00003068,1457
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00003068,1431
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00003068,1653
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00003068,1608
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00003068,1342
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00003068,1435
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00003068,1913
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00003068,1500
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00003068,1104
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00003068,1152
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00003068,710
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00003068,1603
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00003068,746
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00003068,1811
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00003068,1316
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00003068,1657
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00003068,929
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00003068,1200
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00003068,1425
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00003068,1210
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00003068,1546
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00003068,1211
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00003068,946
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00003068,2115
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00003068,53
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00003068,2354
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00003068,1132
33,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00003068,1347
34,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00003068,1523
35,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00003068,911
36,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00003068,2304
37,",,W,",PGTM,2016-02-07T00:00:00,GHCND:USW00003068,1343
38,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00003068,2154
39,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00003068,2030
40,",,W,",PGTM,2016-02-12T00:00:00,GHCND:USW00003068,2156
41,",,W,",PGTM,2016-02-13T00:00:00,GHCND:USW00003068,1708
42,",,W,",PGTM,2016-02-14T00:00:00,GHCND:USW00003068,2300
43,",,W,",PGTM,2016-02-15T00:00:00,GHCND:USW00003068,1450
44,",,W,",PGTM,2016-02-16T00:00:00,GHCND:USW00003068,346
45,",,W,",PGTM,2016-02-17T00:00:00,GHCND:USW00003068,1539
46,",,W,",PGTM,2016-02-18T00:00:00,GHCND:USW00003068,1558
47,",,W,",PGTM,2016-02-19T00:00:00,GHCND:USW00003068,39
48,",,W,",PGTM,2016-02-20T00:00:00,GHCND:USW00003068,1436
49,",,W,",PGTM,2016-02-21T00:00:00,GHCND:USW00003068,11
50,",,W,",PGTM,2016-02-22T00:00:00,GHCND:USW00003068,1601
51,",,W,",PGTM,2016-02-25T00:00:00,GHCND:USW00003068,1731
52,",,W,",PGTM,2016-02-26T00:00:00,GHCND:USW00003068,953
53,",,W,",PGTM,2016-02-27T00:00:00,GHCND:USW00003068,2213
54,",,W,",PGTM,2016-02-28T00:00:00,GHCND:USW00003068,116
55,",,W,",PGTM,2016-03-01T00:00:00,GHCND:USW00003068,247
56,",,W,",PGTM,2016-03-02T00:00:00,GHCND:USW00003068,1105
57,",,W,",PGTM,2016-03-03T00:00:00,GHCND:USW00003068,117
58,",,W,",PGTM,2016-03-04T00:00:00,GHCND:USW00003068,1523
59,",,W,",PGTM,2016-03-05T00:00:00,GHCND:USW00003068,1257
