,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00003068,70
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00003068,40
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00003068,210
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00003068,190
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00003068,30
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00003068,190
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00003068,230
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00003068,20
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00003068,230
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00003068,50
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00003068,200
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00003068,190
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00003068,150
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00003068,330
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00003068,150
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00003068,340
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00003068,220
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00003068,220
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00003068,10
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00003068,360
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00003068,10
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00003068,200
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00003068,190
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00003068,250
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00003068,20
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00003068,220
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00003068,40
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00003068,210
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00003068,300
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00003068,40
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00003068,70
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00003068,30
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00003068,10
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00003068,350
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00003068,140
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00003068,20
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00003068,360
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00003068,50
38,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00003068,10
39,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00003068,50
40,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00003068,100
41,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00003068,320
42,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00003068,50
43,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00003068,310
44,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00003068,60
45,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00003068,160
46,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00003068,240
47,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00003068,290
48,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00003068,160
49,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00003068,80
50,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00003068,70
51,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00003068,200
52,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00003068,10
53,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00003068,300
54,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00003068,320
55,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00003068,10
56,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00003068,360
57,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00003068,30
58,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00003068,60
59,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00003068,180
