,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-08-01T00:00:00,GHCND:USC00417300,162.2
1,",,7,",WDMV,2016-08-02T00:00:00,GHCND:USC00417300,67.7
2,",,7,",WDMV,2016-08-03T00:00:00,GHCND:USC00417300,44.1
3,",,7,",WDMV,2016-08-04T00:00:00,GHCND:USC00417300,41.0
4,",,7,",WDMV,2016-08-05T00:00:00,GHCND:USC00417300,57.2
5,",,7,",WDMV,2016-08-06T00:00:00,GHCND:USC00417300,52.2
6,",,7,",WDMV,2016-08-07T00:00:00,GHCND:USC00417300,32.9
7,",,7,",WDMV,2016-08-08T00:00:00,GHCND:USC00417300,21.7
8,",,7,",WDMV,2016-08-09T00:00:00,GHCND:USC00417300,37.3
9,",,7,",WDMV,2016-08-10T00:00:00,GHCND:USC00417300,39.8
10,",,7,",WDMV,2016-08-11T00:00:00,GHCND:USC00417300,47.8
11,",,7,",WDMV,2016-08-12T00:00:00,GHCND:USC00417300,42.9
12,",,7,",WDMV,2016-08-13T00:00:00,GHCND:USC00417300,54.1
13,",,7,",WDMV,2016-08-14T00:00:00,GHCND:USC00417300,98.8
14,",,7,",WDMV,2016-08-15T00:00:00,GHCND:USC00417300,44.7
15,",,7,",WDMV,2016-08-16T00:00:00,GHCND:USC00417300,36.0
16,",,7,",WDMV,2016-08-17T00:00:00,GHCND:USC00417300,42.3
17,",,7,",WDMV,2016-08-18T00:00:00,GHCND:USC00417300,34.8
18,",,7,",WDMV,2016-08-19T00:00:00,GHCND:USC00417300,67.7
19,",,7,",WDMV,2016-08-20T00:00:00,GHCND:USC00417300,77.1
20,",,7,",WDMV,2016-08-21T00:00:00,GHCND:USC00417300,134.8
21,",,7,",WDMV,2016-08-22T00:00:00,GHCND:USC00417300,187.0
22,",,7,",WDMV,2016-08-23T00:00:00,GHCND:USC00417300,59.0
23,",,7,",WDMV,2016-08-24T00:00:00,GHCND:USC00417300,82.0
24,",,7,",WDMV,2016-08-25T00:00:00,GHCND:USC00417300,70.8
25,",,7,",WDMV,2016-08-26T00:00:00,GHCND:USC00417300,42.3
26,",,7,",WDMV,2016-08-27T00:00:00,GHCND:USC00417300,39.1
