,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00024150,250
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00024150,330
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00024150,320
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00024150,330
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00024150,330
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00024150,330
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00024150,90
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00024150,320
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00024150,270
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00024150,250
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00024150,220
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00024150,220
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00024150,210
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00024150,220
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00024150,260
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00024150,240
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00024150,210
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00024150,220
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00024150,210
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00024150,250
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00024150,220
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00024150,210
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00024150,210
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00024150,250
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00024150,280
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00024150,220
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00024150,230
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00024150,210
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00024150,220
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00024150,250
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00024150,220
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00024150,340
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00024150,260
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00024150,210
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00024150,220
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00024150,210
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00024150,210
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00024150,250
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00024150,250
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00024150,240
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00024150,220
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00024150,240
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00024150,210
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00024150,210
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00024150,230
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00024150,270
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00024150,230
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00024150,210
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00024150,270
