,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00004808,345
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00004808,2001
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00004808,1244
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00004808,932
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00004808,1254
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00004808,1216
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00004808,1001
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00004808,911
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00004808,2153
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00004808,125
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00004808,2316
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00004808,448
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00004808,1230
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00004808,1512
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00004808,2030
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00004808,2350
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00004808,1434
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00004808,1113
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00004808,33
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00004808,1506
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00004808,1613
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00004808,1741
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00004808,415
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00004808,411
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00004808,2229
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00004808,235
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00004808,1916
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00004808,1057
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00004808,2048
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00004808,0
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00004808,1530
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00004808,106
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00004808,1150
33,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00004808,1345
34,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00004808,12
35,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00004808,551
36,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00004808,1429
37,",,W,",PGTM,2016-02-07T00:00:00,GHCND:USW00004808,1617
38,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00004808,1759
39,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00004808,2030
40,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00004808,103
41,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00004808,900
42,",,W,",PGTM,2016-02-12T00:00:00,GHCND:USW00004808,1621
43,",,W,",PGTM,2016-02-13T00:00:00,GHCND:USW00004808,20
44,",,W,",PGTM,2016-02-14T00:00:00,GHCND:USW00004808,904
45,",,W,",PGTM,2016-02-15T00:00:00,GHCND:USW00004808,1344
46,",,W,",PGTM,2016-02-16T00:00:00,GHCND:USW00004808,1920
47,",,W,",PGTM,2016-02-17T00:00:00,GHCND:USW00004808,1336
48,",,W,",PGTM,2016-02-18T00:00:00,GHCND:USW00004808,1616
49,",,W,",PGTM,2016-02-19T00:00:00,GHCND:USW00004808,1451
50,",,W,",PGTM,2016-02-20T00:00:00,GHCND:USW00004808,947
51,",,W,",PGTM,2016-02-21T00:00:00,GHCND:USW00004808,1638
52,",,W,",PGTM,2016-02-22T00:00:00,GHCND:USW00004808,1738
53,",,W,",PGTM,2016-02-23T00:00:00,GHCND:USW00004808,2322
54,",,W,",PGTM,2016-02-24T00:00:00,GHCND:USW00004808,908
55,",,W,",PGTM,2016-02-25T00:00:00,GHCND:USW00004808,820
56,",,W,",PGTM,2016-02-26T00:00:00,GHCND:USW00004808,1355
57,",,W,",PGTM,2016-02-27T00:00:00,GHCND:USW00004808,1525
58,",,W,",PGTM,2016-02-28T00:00:00,GHCND:USW00004808,1903
59,",,W,",PGTM,2016-02-29T00:00:00,GHCND:USW00004808,1120
60,",,W,",PGTM,2016-03-01T00:00:00,GHCND:USW00004808,1434
61,",,W,",PGTM,2016-03-02T00:00:00,GHCND:USW00004808,2057
62,",,W,",PGTM,2016-03-03T00:00:00,GHCND:USW00004808,2116
63,",,W,",PGTM,2016-03-04T00:00:00,GHCND:USW00004808,1501
64,",,W,",PGTM,2016-03-05T00:00:00,GHCND:USW00004808,1604
65,",,W,",PGTM,2016-03-06T00:00:00,GHCND:USW00004808,1603
66,",,W,",PGTM,2016-03-07T00:00:00,GHCND:USW00004808,1320
67,",,W,",PGTM,2016-03-08T00:00:00,GHCND:USW00004808,1111
68,",,W,",PGTM,2016-03-09T00:00:00,GHCND:USW00004808,1211
69,",,W,",PGTM,2016-03-10T00:00:00,GHCND:USW00004808,954
70,",,W,",PGTM,2016-03-11T00:00:00,GHCND:USW00004808,844
71,",,W,",PGTM,2016-03-12T00:00:00,GHCND:USW00004808,1709
72,",,W,",PGTM,2016-03-13T00:00:00,GHCND:USW00004808,727
73,",,W,",PGTM,2016-03-14T00:00:00,GHCND:USW00004808,530
