,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00014836,260
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00014836,230
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00014836,290
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00014836,30
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00014836,200
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00014836,210
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00014836,150
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00014836,160
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00014836,220
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00014836,320
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00014836,270
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00014836,270
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00014836,230
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00014836,230
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00014836,270
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00014836,300
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00014836,270
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00014836,290
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00014836,270
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00014836,280
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00014836,250
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00014836,50
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00014836,40
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00014836,220
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00014836,190
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00014836,240
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00014836,180
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00014836,220
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00014836,310
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00014836,200
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00014836,260
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00014836,290
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00014836,100
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00014836,220
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00014836,270
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00014836,270
