,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00014845,13.0
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00014845,16.3
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00014845,11.4
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00014845,9.8
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00014845,8.3
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00014845,8.7
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00014845,5.1
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00014845,6.0
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00014845,8.1
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00014845,19.9
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00014845,13.0
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00014845,13.9
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00014845,14.8
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00014845,6.7
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00014845,7.4
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00014845,14.8
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00014845,16.6
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00014845,17.4
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00014845,9.2
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00014845,6.3
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00014845,4.3
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00014845,4.7
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00014845,9.6
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00014845,9.6
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00014845,7.6
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00014845,15.4
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00014845,12.3
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00014845,15.9
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00014845,11.9
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00014845,11.4
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00014845,8.1
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00014845,8.3
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00014845,13.6
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00014845,13.9
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00014845,8.3
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00014845,6.7
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00014845,11.9
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00014845,9.2
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00014845,6.5
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00014845,14.8
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00014845,13.4
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00014845,8.9
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00014845,15.0
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00014845,4.7
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00014845,6.0
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00014845,6.7
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00014845,4.9
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00014845,7.8
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00014845,8.9
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00014845,21.0
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00014845,15.0
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00014845,8.9
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00014845,10.3
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00014845,5.8
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00014845,23.3
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00014845,18.6
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00014845,7.6
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00014845,18.8
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00014845,16.1
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00014845,17.2
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00014845,15.2
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00014845,8.9
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00014845,2.5
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00014845,5.8
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00014845,4.9
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00014845,11.2
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00014845,10.3
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00014845,9.6
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00014845,11.9
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00014845,6.3
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00014845,6.3
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00014845,7.8
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00014845,11.6
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00014845,6.0
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00014845,8.1
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00014845,19.7
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00014845,15.0
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00014845,8.5
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00014845,8.7
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00014845,6.7
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00014845,9.4
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00014845,9.2
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00014845,18.6
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00014845,18.1
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00014845,7.6
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00014845,6.0
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00014845,8.5
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00014845,15.0
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00014845,6.9
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00014845,11.0
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00014845,17.0
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00014845,13.4
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00014845,11.9
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00014845,13.2
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00014845,12.1
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00014845,6.3
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00014845,9.2
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00014845,12.3
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00014845,11.6
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00014845,12.1
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00014845,10.7
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00014845,12.1
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00014845,9.8
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00014845,5.6
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00014845,7.2
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00014845,8.1
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00014845,7.4
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00014845,3.4
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00014845,8.7
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00014845,13.2
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00014845,8.3
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00014845,4.9
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00014845,8.9
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00014845,7.4
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00014845,7.6
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00014845,14.3
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00014845,15.4
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00014845,8.9
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00014845,13.0
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00014845,7.4
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00014845,9.6
121,",,W,",AWND,2016-05-01T00:00:00,GHCND:USW00014845,13.9
122,",,W,",AWND,2016-05-02T00:00:00,GHCND:USW00014845,9.4
123,",,W,",AWND,2016-05-03T00:00:00,GHCND:USW00014845,9.2
124,",,W,",AWND,2016-05-04T00:00:00,GHCND:USW00014845,9.2
125,",,W,",AWND,2016-05-05T00:00:00,GHCND:USW00014845,9.4
126,",,W,",AWND,2016-05-06T00:00:00,GHCND:USW00014845,5.4
127,",,W,",AWND,2016-05-07T00:00:00,GHCND:USW00014845,9.2
128,",,W,",AWND,2016-05-08T00:00:00,GHCND:USW00014845,9.6
129,",,W,",AWND,2016-05-09T00:00:00,GHCND:USW00014845,9.6
130,",,W,",AWND,2016-05-10T00:00:00,GHCND:USW00014845,11.4
131,",,W,",AWND,2016-05-11T00:00:00,GHCND:USW00014845,7.6
132,",,W,",AWND,2016-05-12T00:00:00,GHCND:USW00014845,8.3
133,",,W,",AWND,2016-05-13T00:00:00,GHCND:USW00014845,13.0
134,",,W,",AWND,2016-05-14T00:00:00,GHCND:USW00014845,13.9
135,",,W,",AWND,2016-05-15T00:00:00,GHCND:USW00014845,11.4
136,",,W,",AWND,2016-05-16T00:00:00,GHCND:USW00014845,14.3
137,",,W,",AWND,2016-05-17T00:00:00,GHCND:USW00014845,7.8
138,",,W,",AWND,2016-05-18T00:00:00,GHCND:USW00014845,4.5
139,",,W,",AWND,2016-05-19T00:00:00,GHCND:USW00014845,5.1
140,",,W,",AWND,2016-05-20T00:00:00,GHCND:USW00014845,5.6
141,",,W,",AWND,2016-05-21T00:00:00,GHCND:USW00014845,6.5
142,",,W,",AWND,2016-05-22T00:00:00,GHCND:USW00014845,10.1
143,",,W,",AWND,2016-05-23T00:00:00,GHCND:USW00014845,3.8
144,",,W,",AWND,2016-05-24T00:00:00,GHCND:USW00014845,8.5
145,",,W,",AWND,2016-05-25T00:00:00,GHCND:USW00014845,7.8
146,",,W,",AWND,2016-05-26T00:00:00,GHCND:USW00014845,9.2
147,",,W,",AWND,2016-05-27T00:00:00,GHCND:USW00014845,5.4
148,",,W,",AWND,2016-05-28T00:00:00,GHCND:USW00014845,10.3
149,",,W,",AWND,2016-05-29T00:00:00,GHCND:USW00014845,13.4
150,",,W,",AWND,2016-05-30T00:00:00,GHCND:USW00014845,8.5
151,",,W,",AWND,2016-05-31T00:00:00,GHCND:USW00014845,8.9
152,",,W,",AWND,2016-06-01T00:00:00,GHCND:USW00014845,5.4
153,",,W,",AWND,2016-06-02T00:00:00,GHCND:USW00014845,9.2
154,",,W,",AWND,2016-06-03T00:00:00,GHCND:USW00014845,3.6
155,",,W,",AWND,2016-06-04T00:00:00,GHCND:USW00014845,10.3
156,",,W,",AWND,2016-06-05T00:00:00,GHCND:USW00014845,12.5
157,",,W,",AWND,2016-06-06T00:00:00,GHCND:USW00014845,13.9
158,",,W,",AWND,2016-06-07T00:00:00,GHCND:USW00014845,13.0
159,",,W,",AWND,2016-06-08T00:00:00,GHCND:USW00014845,13.0
160,",,W,",AWND,2016-06-09T00:00:00,GHCND:USW00014845,6.7
161,",,W,",AWND,2016-06-10T00:00:00,GHCND:USW00014845,8.1
162,",,W,",AWND,2016-06-11T00:00:00,GHCND:USW00014845,14.1
163,",,W,",AWND,2016-06-12T00:00:00,GHCND:USW00014845,10.1
164,",,W,",AWND,2016-06-13T00:00:00,GHCND:USW00014845,5.4
165,",,W,",AWND,2016-06-14T00:00:00,GHCND:USW00014845,8.3
166,",,W,",AWND,2016-06-15T00:00:00,GHCND:USW00014845,7.6
167,",,W,",AWND,2016-06-16T00:00:00,GHCND:USW00014845,9.6
168,",,W,",AWND,2016-06-17T00:00:00,GHCND:USW00014845,4.3
169,",,W,",AWND,2016-06-18T00:00:00,GHCND:USW00014845,4.7
170,",,W,",AWND,2016-06-19T00:00:00,GHCND:USW00014845,8.5
171,",,W,",AWND,2016-06-20T00:00:00,GHCND:USW00014845,15.4
172,",,W,",AWND,2016-06-21T00:00:00,GHCND:USW00014845,10.5
173,",,W,",AWND,2016-06-22T00:00:00,GHCND:USW00014845,4.5
174,",,W,",AWND,2016-06-23T00:00:00,GHCND:USW00014845,8.9
175,",,W,",AWND,2016-06-24T00:00:00,GHCND:USW00014845,4.9
176,",,W,",AWND,2016-06-25T00:00:00,GHCND:USW00014845,7.6
177,",,W,",AWND,2016-06-26T00:00:00,GHCND:USW00014845,10.7
178,",,W,",AWND,2016-06-27T00:00:00,GHCND:USW00014845,12.3
179,",,W,",AWND,2016-06-28T00:00:00,GHCND:USW00014845,8.1
180,",,W,",AWND,2016-06-29T00:00:00,GHCND:USW00014845,5.4
181,",,W,",AWND,2016-06-30T00:00:00,GHCND:USW00014845,7.4
182,",,W,",AWND,2016-07-01T00:00:00,GHCND:USW00014845,11.6
183,",,W,",AWND,2016-07-02T00:00:00,GHCND:USW00014845,8.5
184,",,W,",AWND,2016-07-03T00:00:00,GHCND:USW00014845,3.8
185,",,W,",AWND,2016-07-04T00:00:00,GHCND:USW00014845,4.9
186,",,W,",AWND,2016-07-05T00:00:00,GHCND:USW00014845,8.9
187,",,W,",AWND,2016-07-06T00:00:00,GHCND:USW00014845,9.6
188,",,W,",AWND,2016-07-07T00:00:00,GHCND:USW00014845,7.8
189,",,W,",AWND,2016-07-08T00:00:00,GHCND:USW00014845,6.7
190,",,W,",AWND,2016-07-09T00:00:00,GHCND:USW00014845,10.5
191,",,W,",AWND,2016-07-10T00:00:00,GHCND:USW00014845,4.9
192,",,W,",AWND,2016-07-11T00:00:00,GHCND:USW00014845,5.8
193,",,W,",AWND,2016-07-12T00:00:00,GHCND:USW00014845,11.6
194,",,W,",AWND,2016-07-13T00:00:00,GHCND:USW00014845,9.4
195,",,W,",AWND,2016-07-14T00:00:00,GHCND:USW00014845,14.5
196,",,W,",AWND,2016-07-15T00:00:00,GHCND:USW00014845,9.8
197,",,W,",AWND,2016-07-16T00:00:00,GHCND:USW00014845,4.7
198,",,W,",AWND,2016-07-17T00:00:00,GHCND:USW00014845,12.1
199,",,W,",AWND,2016-07-18T00:00:00,GHCND:USW00014845,10.1
200,",,W,",AWND,2016-07-19T00:00:00,GHCND:USW00014845,5.6
201,",,W,",AWND,2016-07-20T00:00:00,GHCND:USW00014845,5.8
202,",,W,",AWND,2016-07-21T00:00:00,GHCND:USW00014845,11.4
203,",,W,",AWND,2016-07-22T00:00:00,GHCND:USW00014845,10.1
204,",,W,",AWND,2016-07-23T00:00:00,GHCND:USW00014845,4.7
205,",,W,",AWND,2016-07-24T00:00:00,GHCND:USW00014845,8.3
206,",,W,",AWND,2016-07-25T00:00:00,GHCND:USW00014845,10.5
207,",,W,",AWND,2016-07-26T00:00:00,GHCND:USW00014845,6.3
208,",,W,",AWND,2016-07-27T00:00:00,GHCND:USW00014845,6.7
209,",,W,",AWND,2016-07-28T00:00:00,GHCND:USW00014845,7.8
210,",,W,",AWND,2016-07-29T00:00:00,GHCND:USW00014845,10.1
211,",,W,",AWND,2016-07-30T00:00:00,GHCND:USW00014845,9.4
212,",,W,",AWND,2016-07-31T00:00:00,GHCND:USW00014845,7.6
213,",,W,",AWND,2016-08-01T00:00:00,GHCND:USW00014845,5.8
214,",,W,",AWND,2016-08-02T00:00:00,GHCND:USW00014845,2.2
215,",,W,",AWND,2016-08-03T00:00:00,GHCND:USW00014845,4.7
216,",,W,",AWND,2016-08-04T00:00:00,GHCND:USW00014845,6.9
217,",,W,",AWND,2016-08-05T00:00:00,GHCND:USW00014845,11.4
218,",,W,",AWND,2016-08-06T00:00:00,GHCND:USW00014845,7.2
219,",,W,",AWND,2016-08-07T00:00:00,GHCND:USW00014845,5.6
220,",,W,",AWND,2016-08-08T00:00:00,GHCND:USW00014845,5.6
221,",,W,",AWND,2016-08-09T00:00:00,GHCND:USW00014845,2.2
222,",,W,",AWND,2016-08-10T00:00:00,GHCND:USW00014845,5.8
223,",,W,",AWND,2016-08-11T00:00:00,GHCND:USW00014845,7.6
224,",,W,",AWND,2016-08-12T00:00:00,GHCND:USW00014845,7.2
225,",,W,",AWND,2016-08-13T00:00:00,GHCND:USW00014845,9.4
226,",,W,",AWND,2016-08-14T00:00:00,GHCND:USW00014845,6.3
227,",,W,",AWND,2016-08-15T00:00:00,GHCND:USW00014845,2.2
228,",,W,",AWND,2016-08-16T00:00:00,GHCND:USW00014845,10.1
229,",,W,",AWND,2016-08-17T00:00:00,GHCND:USW00014845,7.2
230,",,W,",AWND,2016-08-18T00:00:00,GHCND:USW00014845,5.1
231,",,W,",AWND,2016-08-19T00:00:00,GHCND:USW00014845,8.7
232,",,W,",AWND,2016-08-20T00:00:00,GHCND:USW00014845,9.6
233,",,W,",AWND,2016-08-21T00:00:00,GHCND:USW00014845,11.4
234,",,W,",AWND,2016-08-22T00:00:00,GHCND:USW00014845,5.8
235,",,W,",AWND,2016-08-23T00:00:00,GHCND:USW00014845,9.8
236,",,W,",AWND,2016-08-24T00:00:00,GHCND:USW00014845,9.6
237,",,W,",AWND,2016-08-25T00:00:00,GHCND:USW00014845,7.6
238,",,W,",AWND,2016-08-26T00:00:00,GHCND:USW00014845,6.9
239,",,W,",AWND,2016-08-27T00:00:00,GHCND:USW00014845,5.8
240,",,W,",AWND,2016-08-28T00:00:00,GHCND:USW00014845,5.6
241,",,W,",AWND,2016-08-29T00:00:00,GHCND:USW00014845,3.1
242,",,W,",AWND,2016-08-30T00:00:00,GHCND:USW00014845,7.6
243,",,W,",AWND,2016-08-31T00:00:00,GHCND:USW00014845,8.1
244,",,W,",AWND,2016-09-01T00:00:00,GHCND:USW00014845,9.6
245,",,W,",AWND,2016-09-02T00:00:00,GHCND:USW00014845,8.5
246,",,W,",AWND,2016-09-03T00:00:00,GHCND:USW00014845,4.5
247,",,W,",AWND,2016-09-04T00:00:00,GHCND:USW00014845,4.5
248,",,W,",AWND,2016-09-05T00:00:00,GHCND:USW00014845,8.5
