,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00024143,36.9
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00024143,19.9
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00024143,18.1
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00024143,19.9
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00024143,8.1
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00024143,8.9
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00024143,16.1
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00024143,12.1
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00024143,17.0
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00024143,25.9
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00024143,36.9
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00024143,40.9
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00024143,42.1
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00024143,23.9
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00024143,17.0
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00024143,16.1
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00024143,16.1
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00024143,23.0
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00024143,28.0
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00024143,23.9
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00024143,31.1
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00024143,35.1
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00024143,31.1
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00024143,28.0
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00024143,21.0
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00024143,47.0
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00024143,44.1
27,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00024143,46.1
28,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00024143,34.0
29,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00024143,31.1
30,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00024143,27.1
31,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00024143,13.0
32,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00024143,28.0
33,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00024143,35.1
34,",,W,",WSF5,2016-02-04T00:00:00,GHCND:USW00024143,36.0
35,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00024143,42.1
36,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00024143,57.9
37,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00024143,19.9
38,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00024143,32.0
39,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00024143,33.1
40,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00024143,27.1
41,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00024143,25.9
42,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00024143,25.1
43,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00024143,40.0
44,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00024143,44.1
45,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00024143,35.1
46,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00024143,45.0
47,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00024143,23.9
48,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00024143,45.0
49,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00024143,45.0
50,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00024143,40.0
51,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00024143,32.0
52,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00024143,31.1
53,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00024143,30.0
54,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00024143,17.0
55,",,W,",WSF5,2016-02-25T00:00:00,GHCND:USW00024143,25.1
56,",,W,",WSF5,2016-02-26T00:00:00,GHCND:USW00024143,34.0
57,",,W,",WSF5,2016-02-27T00:00:00,GHCND:USW00024143,36.0
58,",,W,",WSF5,2016-02-28T00:00:00,GHCND:USW00024143,36.9
59,",,W,",WSF5,2016-02-29T00:00:00,GHCND:USW00024143,42.1
60,",,W,",WSF5,2016-03-01T00:00:00,GHCND:USW00024143,27.1
61,",,W,",WSF5,2016-03-02T00:00:00,GHCND:USW00024143,46.1
62,",,W,",WSF5,2016-03-03T00:00:00,GHCND:USW00024143,47.0
63,",,W,",WSF5,2016-03-04T00:00:00,GHCND:USW00024143,27.1
64,",,W,",WSF5,2016-03-05T00:00:00,GHCND:USW00024143,40.0
65,",,W,",WSF5,2016-03-06T00:00:00,GHCND:USW00024143,36.0
66,",,W,",WSF5,2016-03-07T00:00:00,GHCND:USW00024143,21.9
67,",,W,",WSF5,2016-03-08T00:00:00,GHCND:USW00024143,29.1
68,",,W,",WSF5,2016-03-09T00:00:00,GHCND:USW00024143,31.1
69,",,W,",WSF5,2016-03-10T00:00:00,GHCND:USW00024143,47.0
70,",,W,",WSF5,2016-03-11T00:00:00,GHCND:USW00024143,25.1
71,",,W,",WSF5,2016-03-12T00:00:00,GHCND:USW00024143,36.0
72,",,W,",WSF5,2016-03-13T00:00:00,GHCND:USW00024143,36.0
73,",,W,",WSF5,2016-03-14T00:00:00,GHCND:USW00024143,42.1
74,",,W,",WSF5,2016-03-15T00:00:00,GHCND:USW00024143,35.1
75,",,W,",WSF5,2016-03-16T00:00:00,GHCND:USW00024143,36.0
76,",,W,",WSF5,2016-03-17T00:00:00,GHCND:USW00024143,30.0
77,",,W,",WSF5,2016-03-18T00:00:00,GHCND:USW00024143,19.0
78,",,W,",WSF5,2016-03-19T00:00:00,GHCND:USW00024143,23.9
79,",,W,",WSF5,2016-03-20T00:00:00,GHCND:USW00024143,25.9
80,",,W,",WSF5,2016-03-21T00:00:00,GHCND:USW00024143,36.9
81,",,W,",WSF5,2016-03-22T00:00:00,GHCND:USW00024143,17.0
82,",,W,",WSF5,2016-03-23T00:00:00,GHCND:USW00024143,36.9
83,",,W,",WSF5,2016-03-24T00:00:00,GHCND:USW00024143,44.1
84,",,W,",WSF5,2016-03-25T00:00:00,GHCND:USW00024143,21.0
85,",,W,",WSF5,2016-03-26T00:00:00,GHCND:USW00024143,33.1
86,",,W,",WSF5,2016-03-27T00:00:00,GHCND:USW00024143,32.0
87,",,W,",WSF5,2016-03-28T00:00:00,GHCND:USW00024143,23.9
88,",,W,",WSF5,2016-03-29T00:00:00,GHCND:USW00024143,29.1
89,",,W,",WSF5,2016-03-30T00:00:00,GHCND:USW00024143,31.1
90,",,W,",WSF5,2016-03-31T00:00:00,GHCND:USW00024143,36.9
91,",,W,",WSF5,2016-04-01T00:00:00,GHCND:USW00024143,32.0
92,",,W,",WSF5,2016-04-02T00:00:00,GHCND:USW00024143,45.0
93,",,W,",WSF5,2016-04-03T00:00:00,GHCND:USW00024143,31.1
94,",,W,",WSF5,2016-04-04T00:00:00,GHCND:USW00024143,51.0
95,",,W,",WSF5,2016-04-05T00:00:00,GHCND:USW00024143,48.1
96,",,W,",WSF5,2016-04-06T00:00:00,GHCND:USW00024143,50.1
97,",,W,",WSF5,2016-04-07T00:00:00,GHCND:USW00024143,19.0
98,",,W,",WSF5,2016-04-08T00:00:00,GHCND:USW00024143,19.9
99,",,W,",WSF5,2016-04-09T00:00:00,GHCND:USW00024143,27.1
100,",,W,",WSF5,2016-04-10T00:00:00,GHCND:USW00024143,28.0
101,",,W,",WSF5,2016-04-11T00:00:00,GHCND:USW00024143,29.1
102,",,W,",WSF5,2016-04-12T00:00:00,GHCND:USW00024143,30.0
103,",,W,",WSF5,2016-04-13T00:00:00,GHCND:USW00024143,34.0
104,",,W,",WSF5,2016-04-14T00:00:00,GHCND:USW00024143,23.9
105,",,W,",WSF5,2016-04-15T00:00:00,GHCND:USW00024143,42.1
106,",,W,",WSF5,2016-04-16T00:00:00,GHCND:USW00024143,18.1
107,",,W,",WSF5,2016-04-17T00:00:00,GHCND:USW00024143,16.1
108,",,W,",WSF5,2016-04-18T00:00:00,GHCND:USW00024143,21.0
109,",,W,",WSF5,2016-04-19T00:00:00,GHCND:USW00024143,14.1
110,",,W,",WSF5,2016-04-20T00:00:00,GHCND:USW00024143,21.0
111,",,W,",WSF5,2016-04-21T00:00:00,GHCND:USW00024143,23.0
112,",,W,",WSF5,2016-04-22T00:00:00,GHCND:USW00024143,23.0
113,",,W,",WSF5,2016-04-23T00:00:00,GHCND:USW00024143,17.0
114,",,W,",WSF5,2016-04-24T00:00:00,GHCND:USW00024143,14.1
115,",,W,",WSF5,2016-04-25T00:00:00,GHCND:USW00024143,15.0
116,",,W,",WSF5,2016-04-26T00:00:00,GHCND:USW00024143,14.1
117,",,W,",WSF5,2016-04-27T00:00:00,GHCND:USW00024143,18.1
118,",,W,",WSF5,2016-04-28T00:00:00,GHCND:USW00024143,25.1
119,",,W,",WSF5,2016-04-29T00:00:00,GHCND:USW00024143,19.0
120,",,W,",WSF5,2016-04-30T00:00:00,GHCND:USW00024143,18.1
121,",,W,",WSF5,2016-05-01T00:00:00,GHCND:USW00024143,13.0
122,",,W,",WSF5,2016-05-02T00:00:00,GHCND:USW00024143,16.1
123,",,W,",WSF5,2016-05-03T00:00:00,GHCND:USW00024143,14.1
124,",,W,",WSF5,2016-05-04T00:00:00,GHCND:USW00024143,27.1
125,",,W,",WSF5,2016-05-05T00:00:00,GHCND:USW00024143,35.1
126,",,W,",WSF5,2016-05-06T00:00:00,GHCND:USW00024143,21.9
127,",,W,",WSF5,2016-05-07T00:00:00,GHCND:USW00024143,25.9
128,",,W,",WSF5,2016-05-08T00:00:00,GHCND:USW00024143,42.1
129,",,W,",WSF5,2016-05-09T00:00:00,GHCND:USW00024143,32.0
130,",,W,",WSF5,2016-05-10T00:00:00,GHCND:USW00024143,38.9
131,",,W,",WSF5,2016-05-11T00:00:00,GHCND:USW00024143,21.9
132,",,W,",WSF5,2016-05-12T00:00:00,GHCND:USW00024143,36.0
133,",,W,",WSF5,2016-05-13T00:00:00,GHCND:USW00024143,19.9
134,",,W,",WSF5,2016-05-14T00:00:00,GHCND:USW00024143,25.1
135,",,W,",WSF5,2016-05-15T00:00:00,GHCND:USW00024143,25.9
136,",,W,",WSF5,2016-05-16T00:00:00,GHCND:USW00024143,17.0
137,",,W,",WSF5,2016-05-17T00:00:00,GHCND:USW00024143,21.0
138,",,W,",WSF5,2016-05-18T00:00:00,GHCND:USW00024143,25.9
139,",,W,",WSF5,2016-05-19T00:00:00,GHCND:USW00024143,25.1
140,",,W,",WSF5,2016-05-20T00:00:00,GHCND:USW00024143,19.9
141,",,W,",WSF5,2016-05-21T00:00:00,GHCND:USW00024143,19.0
142,",,W,",WSF5,2016-05-22T00:00:00,GHCND:USW00024143,47.0
143,",,W,",WSF5,2016-05-23T00:00:00,GHCND:USW00024143,33.1
144,",,W,",WSF5,2016-05-24T00:00:00,GHCND:USW00024143,13.0
145,",,W,",WSF5,2016-05-25T00:00:00,GHCND:USW00024143,31.1
146,",,W,",WSF5,2016-05-26T00:00:00,GHCND:USW00024143,25.1
147,",,W,",WSF5,2016-05-27T00:00:00,GHCND:USW00024143,30.0
148,",,W,",WSF5,2016-05-28T00:00:00,GHCND:USW00024143,33.1
149,",,W,",WSF5,2016-05-29T00:00:00,GHCND:USW00024143,36.0
150,",,W,",WSF5,2016-05-30T00:00:00,GHCND:USW00024143,33.1
151,",,W,",WSF5,2016-05-31T00:00:00,GHCND:USW00024143,25.1
152,",,W,",WSF5,2016-06-01T00:00:00,GHCND:USW00024143,17.0
153,",,W,",WSF5,2016-06-02T00:00:00,GHCND:USW00024143,38.9
154,",,W,",WSF5,2016-06-03T00:00:00,GHCND:USW00024143,28.0
155,",,W,",WSF5,2016-06-04T00:00:00,GHCND:USW00024143,17.0
156,",,W,",WSF5,2016-06-05T00:00:00,GHCND:USW00024143,19.0
157,",,W,",WSF5,2016-06-06T00:00:00,GHCND:USW00024143,19.9
158,",,W,",WSF5,2016-06-07T00:00:00,GHCND:USW00024143,40.0
159,",,W,",WSF5,2016-06-08T00:00:00,GHCND:USW00024143,36.0
160,",,W,",WSF5,2016-06-09T00:00:00,GHCND:USW00024143,28.0
161,",,W,",WSF5,2016-06-10T00:00:00,GHCND:USW00024143,29.1
162,",,W,",WSF5,2016-06-11T00:00:00,GHCND:USW00024143,23.0
163,",,W,",WSF5,2016-06-12T00:00:00,GHCND:USW00024143,30.0
164,",,W,",WSF5,2016-06-13T00:00:00,GHCND:USW00024143,19.0
165,",,W,",WSF5,2016-06-14T00:00:00,GHCND:USW00024143,32.0
166,",,W,",WSF5,2016-06-15T00:00:00,GHCND:USW00024143,21.9
167,",,W,",WSF5,2016-06-16T00:00:00,GHCND:USW00024143,40.9
168,",,W,",WSF5,2016-06-17T00:00:00,GHCND:USW00024143,27.1
169,",,W,",WSF5,2016-06-18T00:00:00,GHCND:USW00024143,31.1
