,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00023023,40
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00023023,260
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00023023,290
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00023023,90
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00023023,160
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00023023,180
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00023023,260
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00023023,240
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00023023,340
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00023023,130
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00023023,280
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00023023,240
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00023023,200
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00023023,240
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00023023,300
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00023023,290
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00023023,310
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00023023,180
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00023023,330
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00023023,270
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00023023,360
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00023023,320
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00023023,210
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00023023,250
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00023023,340
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00023023,60
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00023023,230
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00023023,210
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00023023,230
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00023023,240
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00023023,260
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00023023,290
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00023023,280
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00023023,30
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00023023,280
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00023023,340
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00023023,260
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00023023,320
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00023023,50
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00023023,250
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00023023,250
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00023023,330
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00023023,80
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00023023,190
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00023023,10
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00023023,30
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00023023,60
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00023023,170
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00023023,190
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00023023,200
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00023023,170
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00023023,60
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00023023,320
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00023023,10
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00023023,270
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00023023,80
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00023023,160
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00023023,160
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00023023,50
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00023023,170
