,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00004724,17.9
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00004724,16.1
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00004724,17.4
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00004724,9.6
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00004724,6.9
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00004724,9.2
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00004724,2.7
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00004724,5.6
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00004724,10.5
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00004724,17.0
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00004724,18.3
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00004724,20.6
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00004724,18.3
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00004724,9.4
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00004724,3.8
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00004724,15.9
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00004724,11.9
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00004724,18.3
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00004724,17.2
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00004724,9.6
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00004724,5.6
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00004724,3.6
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00004724,9.8
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00004724,8.1
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00004724,8.9
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00004724,19.2
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00004724,13.6
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00004724,17.0
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00004724,14.3
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00004724,12.3
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00004724,11.2
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00004724,12.5
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00004724,7.4
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00004724,17.9
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00004724,11.4
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00004724,6.7
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00004724,14.3
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00004724,8.3
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00004724,8.1
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00004724,13.2
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00004724,17.7
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00004724,17.0
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00004724,16.1
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00004724,16.1
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00004724,4.9
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00004724,9.4
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00004724,9.6
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00004724,11.9
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00004724,3.4
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00004724,13.4
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00004724,18.1
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00004724,7.6
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00004724,6.9
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00004724,11.2
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00004724,15.7
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00004724,15.7
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00004724,14.1
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00004724,19.9
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00004724,20.8
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00004724,23.7
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00004724,14.5
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00004724,15.9
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00004724,6.0
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00004724,5.8
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00004724,4.9
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00004724,5.6
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00004724,11.6
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00004724,6.7
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00004724,15.9
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00004724,8.5
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00004724,8.1
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00004724,7.4
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00004724,11.6
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00004724,10.3
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00004724,3.1
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00004724,15.7
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00004724,15.9
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00004724,11.4
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00004724,7.6
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00004724,6.9
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00004724,12.5
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00004724,6.5
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00004724,11.4
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00004724,14.3
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00004724,12.3
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00004724,5.8
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00004724,4.9
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00004724,19.5
