,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00004724,270
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00004724,220
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00004724,270
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00004724,20
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00004724,230
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00004724,220
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00004724,70
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00004724,180
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00004724,190
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00004724,260
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00004724,260
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00004724,240
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00004724,280
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00004724,270
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00004724,170
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00004724,270
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00004724,280
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00004724,270
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00004724,270
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00004724,260
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00004724,300
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00004724,70
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00004724,50
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00004724,230
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00004724,200
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00004724,240
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00004724,220
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00004724,220
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00004724,300
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00004724,200
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00004724,220
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00004724,240
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00004724,100
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00004724,200
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00004724,230
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00004724,230
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00004724,220
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00004724,170
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00004724,100
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00004724,230
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00004724,270
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00004724,290
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00004724,310
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00004724,310
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00004724,30
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00004724,180
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00004724,290
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00004724,290
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00004724,360
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00004724,200
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00004724,230
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00004724,330
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00004724,10
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00004724,70
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00004724,70
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00004724,310
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00004724,290
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00004724,220
