,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00004850,16.3
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00004850,14.5
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00004850,11.4
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00004850,7.8
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00004850,6.7
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00004850,7.4
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00004850,6.7
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00004850,8.1
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00004850,7.8
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00004850,19.5
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00004850,15.0
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00004850,19.7
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00004850,12.1
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00004850,12.3
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00004850,14.1
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00004850,14.3
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00004850,17.0
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00004850,15.9
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00004850,8.5
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00004850,4.7
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00004850,2.2
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00004850,14.5
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00004850,12.1
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00004850,10.3
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00004850,14.1
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00004850,21.5
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00004850,12.8
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00004850,15.9
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00004850,11.0
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00004850,12.5
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00004850,14.1
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00004850,5.8
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00004850,14.8
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00004850,19.5
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00004850,13.9
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00004850,7.6
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00004850,7.6
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00004850,11.4
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00004850,9.8
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00004850,17.4
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00004850,17.9
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00004850,8.9
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00004850,13.6
