,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00004850,30.0
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00004850,25.9
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00004850,28.0
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00004850,18.1
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00004850,16.1
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00004850,15.0
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00004850,13.0
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00004850,18.1
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00004850,19.9
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00004850,46.1
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00004850,30.0
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00004850,45.0
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00004850,25.9
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00004850,23.9
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00004850,34.0
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00004850,29.1
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00004850,30.0
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00004850,27.1
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00004850,21.0
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00004850,13.0
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00004850,10.1
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00004850,36.0
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00004850,30.0
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00004850,23.9
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00004850,31.1
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00004850,45.0
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00004850,28.0
27,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00004850,32.0
28,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00004850,28.0
29,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00004850,36.0
30,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00004850,31.1
31,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00004850,33.1
32,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00004850,44.1
33,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00004850,36.9
34,",,W,",WSF5,2016-02-04T00:00:00,GHCND:USW00004850,29.1
35,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00004850,21.0
36,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00004850,19.0
37,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00004850,32.0
38,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00004850,23.0
39,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00004850,29.1
40,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00004850,30.0
41,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00004850,23.9
42,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00004850,34.0
43,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00004850,25.9
44,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00004850,23.9
45,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00004850,19.0
46,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00004850,16.1
47,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00004850,18.1
48,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00004850,29.1
49,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00004850,52.1
50,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00004850,46.1
51,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00004850,21.0
52,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00004850,18.1
53,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00004850,25.1
54,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00004850,40.0
55,",,W,",WSF5,2016-02-25T00:00:00,GHCND:USW00004850,34.0
56,",,W,",WSF5,2016-02-26T00:00:00,GHCND:USW00004850,29.1
57,",,W,",WSF5,2016-02-27T00:00:00,GHCND:USW00004850,32.0
58,",,W,",WSF5,2016-02-28T00:00:00,GHCND:USW00004850,47.0
59,",,W,",WSF5,2016-02-29T00:00:00,GHCND:USW00004850,40.9
60,",,W,",WSF5,2016-03-01T00:00:00,GHCND:USW00004850,42.9
61,",,W,",WSF5,2016-03-02T00:00:00,GHCND:USW00004850,32.0
62,",,W,",WSF5,2016-03-03T00:00:00,GHCND:USW00004850,14.1
63,",,W,",WSF5,2016-03-04T00:00:00,GHCND:USW00004850,16.1
64,",,W,",WSF5,2016-03-05T00:00:00,GHCND:USW00004850,17.0
65,",,W,",WSF5,2016-03-06T00:00:00,GHCND:USW00004850,21.0
