,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00093815,250
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00093815,230
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00093815,230
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00093815,30
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00093815,120
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00093815,220
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00093815,170
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00093815,190
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00093815,210
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00093815,300
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00093815,250
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00093815,280
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00093815,220
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00093815,210
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00093815,290
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00093815,290
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00093815,290
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00093815,280
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00093815,280
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00093815,340
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00093815,110
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00093815,40
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00093815,20
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00093815,230
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00093815,210
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00093815,260
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00093815,300
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00093815,240
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00093815,330
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00093815,220
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00093815,260
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00093815,310
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00093815,130
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00093815,250
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00093815,260
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00093815,220
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00093815,260
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00093815,220
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00093815,300
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00093815,290
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00093815,250
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00093815,290
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00093815,290
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00093815,350
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00093815,120
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00093815,140
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00093815,290
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00093815,330
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00093815,150
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00093815,220
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00093815,260
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00093815,10
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00093815,60
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00093815,30
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00093815,230
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00093815,300
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00093815,320
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00093815,220
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00093815,220
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00093815,280
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00093815,290
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00093815,310
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00093815,150
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00093815,310
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00093815,330
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00093815,180
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00093815,210
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00093815,210
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00093815,210
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00093815,330
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00093815,20
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00093815,70
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00093815,100
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00093815,240
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00093815,130
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00093815,240
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00093815,260
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00093815,310
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00093815,30
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00093815,330
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00093815,270
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00093815,220
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00093815,220
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00093815,250
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00093815,290
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00093815,110
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00093815,250
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00093815,290
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00093815,20
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00093815,220
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00093815,210
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00093815,250
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00093815,290
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00093815,210
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00093815,220
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00093815,80
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00093815,200
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00093815,270
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00093815,270
99,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00093815,290
100,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00093815,180
101,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00093815,200
102,",,W,",WDF2,2016-04-12T00:00:00,GHCND:USW00093815,350
103,",,W,",WDF2,2016-04-13T00:00:00,GHCND:USW00093815,120
104,",,W,",WDF2,2016-04-14T00:00:00,GHCND:USW00093815,50
105,",,W,",WDF2,2016-04-15T00:00:00,GHCND:USW00093815,110
106,",,W,",WDF2,2016-04-16T00:00:00,GHCND:USW00093815,100
107,",,W,",WDF2,2016-04-17T00:00:00,GHCND:USW00093815,110
108,",,W,",WDF2,2016-04-18T00:00:00,GHCND:USW00093815,240
109,",,W,",WDF2,2016-04-19T00:00:00,GHCND:USW00093815,60
110,",,W,",WDF2,2016-04-20T00:00:00,GHCND:USW00093815,110
111,",,W,",WDF2,2016-04-21T00:00:00,GHCND:USW00093815,270
112,",,W,",WDF2,2016-04-22T00:00:00,GHCND:USW00093815,340
113,",,W,",WDF2,2016-04-23T00:00:00,GHCND:USW00093815,30
114,",,W,",WDF2,2016-04-24T00:00:00,GHCND:USW00093815,210
115,",,W,",WDF2,2016-04-25T00:00:00,GHCND:USW00093815,220
116,",,W,",WDF2,2016-04-26T00:00:00,GHCND:USW00093815,40
117,",,W,",WDF2,2016-04-27T00:00:00,GHCND:USW00093815,60
118,",,W,",WDF2,2016-04-28T00:00:00,GHCND:USW00093815,100
119,",,W,",WDF2,2016-04-29T00:00:00,GHCND:USW00093815,340
120,",,W,",WDF2,2016-04-30T00:00:00,GHCND:USW00093815,110
121,",,W,",WDF2,2016-05-01T00:00:00,GHCND:USW00093815,230
122,",,W,",WDF2,2016-05-02T00:00:00,GHCND:USW00093815,230
123,",,W,",WDF2,2016-05-03T00:00:00,GHCND:USW00093815,280
124,",,W,",WDF2,2016-05-04T00:00:00,GHCND:USW00093815,320
125,",,W,",WDF2,2016-05-05T00:00:00,GHCND:USW00093815,40
126,",,W,",WDF2,2016-05-06T00:00:00,GHCND:USW00093815,330
127,",,W,",WDF2,2016-05-07T00:00:00,GHCND:USW00093815,300
128,",,W,",WDF2,2016-05-08T00:00:00,GHCND:USW00093815,240
129,",,W,",WDF2,2016-05-09T00:00:00,GHCND:USW00093815,110
130,",,W,",WDF2,2016-05-10T00:00:00,GHCND:USW00093815,150
131,",,W,",WDF2,2016-05-11T00:00:00,GHCND:USW00093815,130
132,",,W,",WDF2,2016-05-12T00:00:00,GHCND:USW00093815,250
133,",,W,",WDF2,2016-05-13T00:00:00,GHCND:USW00093815,290
134,",,W,",WDF2,2016-05-14T00:00:00,GHCND:USW00093815,270
135,",,W,",WDF2,2016-05-15T00:00:00,GHCND:USW00093815,320
136,",,W,",WDF2,2016-05-16T00:00:00,GHCND:USW00093815,220
137,",,W,",WDF2,2016-05-17T00:00:00,GHCND:USW00093815,100
138,",,W,",WDF2,2016-05-18T00:00:00,GHCND:USW00093815,20
139,",,W,",WDF2,2016-05-19T00:00:00,GHCND:USW00093815,40
140,",,W,",WDF2,2016-05-20T00:00:00,GHCND:USW00093815,100
141,",,W,",WDF2,2016-05-21T00:00:00,GHCND:USW00093815,10
142,",,W,",WDF2,2016-05-22T00:00:00,GHCND:USW00093815,10
143,",,W,",WDF2,2016-05-23T00:00:00,GHCND:USW00093815,90
144,",,W,",WDF2,2016-05-24T00:00:00,GHCND:USW00093815,210
145,",,W,",WDF2,2016-05-25T00:00:00,GHCND:USW00093815,190
146,",,W,",WDF2,2016-05-26T00:00:00,GHCND:USW00093815,200
147,",,W,",WDF2,2016-05-27T00:00:00,GHCND:USW00093815,220
148,",,W,",WDF2,2016-05-28T00:00:00,GHCND:USW00093815,230
149,",,W,",WDF2,2016-05-29T00:00:00,GHCND:USW00093815,160
150,",,W,",WDF2,2016-05-30T00:00:00,GHCND:USW00093815,360
151,",,W,",WDF2,2016-05-31T00:00:00,GHCND:USW00093815,50
152,",,W,",WDF2,2016-06-01T00:00:00,GHCND:USW00093815,270
153,",,W,",WDF2,2016-06-02T00:00:00,GHCND:USW00093815,210
154,",,W,",WDF2,2016-06-03T00:00:00,GHCND:USW00093815,290
155,",,W,",WDF2,2016-06-04T00:00:00,GHCND:USW00093815,220
156,",,W,",WDF2,2016-06-05T00:00:00,GHCND:USW00093815,260
157,",,W,",WDF2,2016-06-06T00:00:00,GHCND:USW00093815,270
158,",,W,",WDF2,2016-06-07T00:00:00,GHCND:USW00093815,330
159,",,W,",WDF2,2016-06-08T00:00:00,GHCND:USW00093815,270
160,",,W,",WDF2,2016-06-09T00:00:00,GHCND:USW00093815,270
161,",,W,",WDF2,2016-06-10T00:00:00,GHCND:USW00093815,220
162,",,W,",WDF2,2016-06-11T00:00:00,GHCND:USW00093815,250
163,",,W,",WDF2,2016-06-12T00:00:00,GHCND:USW00093815,350
164,",,W,",WDF2,2016-06-13T00:00:00,GHCND:USW00093815,120
165,",,W,",WDF2,2016-06-14T00:00:00,GHCND:USW00093815,120
166,",,W,",WDF2,2016-06-15T00:00:00,GHCND:USW00093815,320
167,",,W,",WDF2,2016-06-16T00:00:00,GHCND:USW00093815,300
