,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00054768,8.9
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00054768,13.2
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00054768,6.7
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00054768,9.6
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00054768,6.3
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00054768,0.0
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00054768,0.7
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00054768,8.1
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00054768,10.5
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00054768,14.3
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00054768,13.4
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00054768,7.8
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00054768,15.0
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00054768,5.1
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00054768,7.8
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00054768,9.4
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00054768,6.3
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00054768,14.1
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00054768,17.0
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00054768,9.6
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00054768,9.2
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00054768,3.1
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00054768,6.9
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00054768,7.8
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00054768,2.0
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00054768,6.3
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00054768,11.4
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00054768,6.0
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00054768,5.8
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00054768,5.6
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00054768,3.6
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00054768,7.6
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00054768,3.4
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00054768,11.6
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00054768,6.9
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00054768,5.6
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00054768,5.4
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00054768,4.3
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00054768,5.6
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00054768,3.8
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00054768,6.9
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00054768,13.4
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00054768,5.4
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00054768,12.8
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00054768,7.4
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00054768,7.2
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00054768,14.1
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00054768,11.2
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00054768,9.4
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00054768,5.8
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00054768,9.4
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00054768,11.9
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00054768,4.3
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00054768,11.6
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00054768,17.0
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00054768,10.7
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00054768,18.3
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00054768,7.6
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00054768,6.0
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00054768,5.1
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00054768,11.4
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00054768,16.3
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00054768,7.6
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00054768,3.4
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00054768,5.1
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00054768,2.0
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00054768,6.7
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00054768,2.7
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00054768,7.8
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00054768,4.3
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00054768,7.8
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00054768,4.7
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00054768,6.3
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00054768,17.4
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00054768,12.3
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00054768,5.1
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00054768,6.9
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00054768,11.2
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00054768,6.0
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00054768,3.8
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00054768,9.4
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00054768,9.4
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00054768,5.1
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00054768,16.1
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00054768,11.4
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00054768,6.5
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00054768,7.4
