,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-04-01T00:00:00,GHCND:USC00414278,147.9
1,",,7,",WDMV,2016-04-02T00:00:00,GHCND:USC00414278,139.8
2,",,7,",WDMV,2016-04-03T00:00:00,GHCND:USC00414278,65.2
3,",,7,",WDMV,2016-04-04T00:00:00,GHCND:USC00414278,85.7
4,",,7,",WDMV,2016-04-05T00:00:00,GHCND:USC00414278,78.9
5,",,7,",WDMV,2016-04-06T00:00:00,GHCND:USC00414278,142.3
6,",,7,",WDMV,2016-04-07T00:00:00,GHCND:USC00414278,87.0
7,",,7,",WDMV,2016-04-08T00:00:00,GHCND:USC00414278,134.8
8,",,7,",WDMV,2016-04-09T00:00:00,GHCND:USC00414278,160.9
9,",,7,",WDMV,2016-04-11T00:00:00,GHCND:USC00414278,213.8
10,",,7,",WDMV,2016-04-12T00:00:00,GHCND:USC00414278,152.2
11,",,7,",WDMV,2016-04-13T00:00:00,GHCND:USC00414278,108.7
12,",,7,",WDMV,2016-04-14T00:00:00,GHCND:USC00414278,36.0
13,",,7,",WDMV,2016-04-15T00:00:00,GHCND:USC00414278,62.8
14,",,7,",WDMV,2016-04-16T00:00:00,GHCND:USC00414278,141.1
15,",,7,",WDMV,2016-04-17T00:00:00,GHCND:USC00414278,49.1
16,",,7,",WDMV,2016-04-18T00:00:00,GHCND:USC00414278,157.8
17,",,7,",WDMV,2016-04-19T00:00:00,GHCND:USC00414278,90.7
18,",,7,",WDMV,2016-04-20T00:00:00,GHCND:USC00414278,57.8
19,",,7,",WDMV,2016-04-21T00:00:00,GHCND:USC00414278,64.0
20,",,7,",WDMV,2016-04-22T00:00:00,GHCND:USC00414278,67.7
21,",,7,",WDMV,2016-04-23T00:00:00,GHCND:USC00414278,32.9
22,",,7,",WDMV,2016-04-24T00:00:00,GHCND:USC00414278,77.1
23,",,7,",WDMV,2016-04-25T00:00:00,GHCND:USC00414278,93.8
24,",,7,",WDMV,2016-04-26T00:00:00,GHCND:USC00414278,103.1
25,",,7,",WDMV,2016-04-27T00:00:00,GHCND:USC00414278,90.1
26,",,7,",WDMV,2016-04-28T00:00:00,GHCND:USC00414278,57.8
27,",,7,",WDMV,2016-04-29T00:00:00,GHCND:USC00414278,111.8
28,",,7,",WDMV,2016-04-30T00:00:00,GHCND:USC00414278,108.7
29,",,7,",WDMV,2016-05-01T00:00:00,GHCND:USC00414278,101.9
30,",,7,",WDMV,2016-05-02T00:00:00,GHCND:USC00414278,162.8
31,",,7,",WDMV,2016-05-03T00:00:00,GHCND:USC00414278,57.2
32,",,7,",WDMV,2016-05-04T00:00:00,GHCND:USC00414278,47.2
33,",,7,",WDMV,2016-05-05T00:00:00,GHCND:USC00414278,65.2
34,",,7,",WDMV,2016-05-06T00:00:00,GHCND:USC00414278,26.7
35,",,7,",WDMV,2016-05-07T00:00:00,GHCND:USC00414278,80.8
36,",,7,",WDMV,2016-05-08T00:00:00,GHCND:USC00414278,118.1
37,",,7,",WDMV,2016-05-09T00:00:00,GHCND:USC00414278,116.2
38,",,7,",WDMV,2016-05-10T00:00:00,GHCND:USC00414278,116.8
39,",,7,",WDMV,2016-05-11T00:00:00,GHCND:USC00414278,100.0
40,",,7,",WDMV,2016-05-12T00:00:00,GHCND:USC00414278,134.8
41,",,7,",WDMV,2016-05-13T00:00:00,GHCND:USC00414278,78.9
42,",,7,",WDMV,2016-05-14T00:00:00,GHCND:USC00414278,73.9
43,",,7,",WDMV,2016-05-15T00:00:00,GHCND:USC00414278,124.9
44,",,7,",WDMV,2016-05-16T00:00:00,GHCND:USC00414278,80.8
45,",,7,",WDMV,2016-05-17T00:00:00,GHCND:USC00414278,108.7
46,",,7,",WDMV,2016-05-18T00:00:00,GHCND:USC00414278,159.7
47,",,7,",WDMV,2016-05-19T00:00:00,GHCND:USC00414278,92.0
48,",,7,",WDMV,2016-05-20T00:00:00,GHCND:USC00414278,44.7
49,",,7,",WDMV,2016-05-21T00:00:00,GHCND:USC00414278,92.0
50,",,7,",WDMV,2016-05-22T00:00:00,GHCND:USC00414278,73.9
51,",,7,",WDMV,2016-05-23T00:00:00,GHCND:USC00414278,106.9
52,",,7,",WDMV,2016-05-24T00:00:00,GHCND:USC00414278,93.2
53,",,7,",WDMV,2016-05-25T00:00:00,GHCND:USC00414278,101.3
54,",,7,",WDMV,2016-05-26T00:00:00,GHCND:USC00414278,95.7
55,",,7,",WDMV,2016-05-27T00:00:00,GHCND:USC00414278,103.1
56,",,7,",WDMV,2016-05-28T00:00:00,GHCND:USC00414278,59.0
57,",,7,",WDMV,2016-05-29T00:00:00,GHCND:USC00414278,83.9
58,",,7,",WDMV,2016-05-30T00:00:00,GHCND:USC00414278,108.7
59,",,7,",WDMV,2016-05-31T00:00:00,GHCND:USC00414278,77.1
60,",,7,",WDMV,2016-06-01T00:00:00,GHCND:USC00414278,65.9
61,",,7,",WDMV,2016-06-02T00:00:00,GHCND:USC00414278,55.9
62,",,7,",WDMV,2016-06-03T00:00:00,GHCND:USC00414278,55.9
63,",,7,",WDMV,2016-06-04T00:00:00,GHCND:USC00414278,83.9
64,",,7,",WDMV,2016-06-05T00:00:00,GHCND:USC00414278,121.8
65,",,7,",WDMV,2016-06-06T00:00:00,GHCND:USC00414278,44.7
66,",,7,",WDMV,2016-06-07T00:00:00,GHCND:USC00414278,47.8
67,",,7,",WDMV,2016-06-08T00:00:00,GHCND:USC00414278,28.0
68,",,7,",WDMV,2016-06-09T00:00:00,GHCND:USC00414278,49.7
69,",,7,",WDMV,2016-06-10T00:00:00,GHCND:USC00414278,80.2
70,",,7,",WDMV,2016-06-11T00:00:00,GHCND:USC00414278,95.1
71,",,7,",WDMV,2016-06-12T00:00:00,GHCND:USC00414278,72.1
72,",,7,",WDMV,2016-06-13T00:00:00,GHCND:USC00414278,39.8
