,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-05-01T00:00:00,GHCND:USC00193276,6.2
1,",,7,",WDMV,2016-05-02T00:00:00,GHCND:USC00193276,8.7
2,",,7,",WDMV,2016-05-03T00:00:00,GHCND:USC00193276,3.7
3,",,7,",WDMV,2016-05-04T00:00:00,GHCND:USC00193276,14.9
4,",,7,",WDMV,2016-05-05T00:00:00,GHCND:USC00193276,39.1
5,",,7,",WDMV,2016-05-06T00:00:00,GHCND:USC00193276,34.2
6,",,7,",WDMV,2016-05-07T00:00:00,GHCND:USC00193276,14.9
7,",,7,",WDMV,2016-05-08T00:00:00,GHCND:USC00193276,34.2
8,",,7,",WDMV,2016-05-09T00:00:00,GHCND:USC00193276,49.7
9,",,7,",WDMV,2016-05-10T00:00:00,GHCND:USC00193276,32.9
10,",,7,",WDMV,2016-05-11T00:00:00,GHCND:USC00193276,32.9
11,",,7,",WDMV,2016-05-12T00:00:00,GHCND:USC00193276,32.9
12,",,7,",WDMV,2016-05-13T00:00:00,GHCND:USC00193276,32.9
13,",,7,",WDMV,2016-05-14T00:00:00,GHCND:USC00193276,32.9
14,",,7,",WDMV,2016-05-15T00:00:00,GHCND:USC00193276,32.9
15,",,7,",WDMV,2016-05-16T00:00:00,GHCND:USC00193276,32.9
16,",,7,",WDMV,2016-05-17T00:00:00,GHCND:USC00193276,32.9
17,",,7,",WDMV,2016-05-18T00:00:00,GHCND:USC00193276,14.9
18,",,7,",WDMV,2016-05-19T00:00:00,GHCND:USC00193276,8.7
19,",,7,",WDMV,2016-05-20T00:00:00,GHCND:USC00193276,14.3
20,",,7,",WDMV,2016-05-21T00:00:00,GHCND:USC00193276,8.7
21,",,7,",WDMV,2016-05-22T00:00:00,GHCND:USC00193276,6.8
22,",,7,",WDMV,2016-05-23T00:00:00,GHCND:USC00193276,11.8
23,",,7,",WDMV,2016-05-24T00:00:00,GHCND:USC00193276,14.9
24,",,7,",WDMV,2016-05-25T00:00:00,GHCND:USC00193276,11.8
25,",,7,",WDMV,2016-05-26T00:00:00,GHCND:USC00193276,13.0
26,",,7,",WDMV,2016-05-27T00:00:00,GHCND:USC00193276,11.2
27,",,7,",WDMV,2016-05-28T00:00:00,GHCND:USC00193276,8.7
28,",,7,",WDMV,2016-05-29T00:00:00,GHCND:USC00193276,18.0
29,",,7,",WDMV,2016-05-30T00:00:00,GHCND:USC00193276,3.7
30,",,7,",WDMV,2016-05-31T00:00:00,GHCND:USC00193276,21.1
31,",,7,",WDMV,2016-06-01T00:00:00,GHCND:USC00193276,16.8
32,",,7,",WDMV,2016-06-02T00:00:00,GHCND:USC00193276,16.2
33,",,7,",WDMV,2016-06-03T00:00:00,GHCND:USC00193276,6.2
34,",,7,",WDMV,2016-06-04T00:00:00,GHCND:USC00193276,9.9
35,",,7,",WDMV,2016-06-05T00:00:00,GHCND:USC00193276,8.7
36,",,7,",WDMV,2016-06-06T00:00:00,GHCND:USC00193276,14.3
37,",,7,",WDMV,2016-06-07T00:00:00,GHCND:USC00193276,11.8
38,",,7,",WDMV,2016-06-08T00:00:00,GHCND:USC00193276,31.7
39,",,7,",WDMV,2016-06-09T00:00:00,GHCND:USC00193276,78.9
40,",,7,",WDMV,2016-06-10T00:00:00,GHCND:USC00193276,44.7
41,",,7,",WDMV,2016-06-11T00:00:00,GHCND:USC00193276,3.1
42,",,7,",WDMV,2016-06-12T00:00:00,GHCND:USC00193276,49.1
43,",,7,",WDMV,2016-06-13T00:00:00,GHCND:USC00193276,73.9
44,",,7,",WDMV,2016-06-14T00:00:00,GHCND:USC00193276,55.3
45,",,7,",WDMV,2016-06-15T00:00:00,GHCND:USC00193276,29.8
46,",,7,",WDMV,2016-06-16T00:00:00,GHCND:USC00193276,8.1
47,",,7,",WDMV,2016-06-17T00:00:00,GHCND:USC00193276,9.9
48,",,7,",WDMV,2016-06-18T00:00:00,GHCND:USC00193276,14.3
49,",,7,",WDMV,2016-06-19T00:00:00,GHCND:USC00193276,16.2
50,",,7,",WDMV,2016-06-20T00:00:00,GHCND:USC00193276,18.0
51,",,7,",WDMV,2016-06-21T00:00:00,GHCND:USC00193276,21.7
52,",,7,",WDMV,2016-06-22T00:00:00,GHCND:USC00193276,14.3
53,",,7,",WDMV,2016-06-23T00:00:00,GHCND:USC00193276,11.2
54,",,7,",WDMV,2016-06-24T00:00:00,GHCND:USC00193276,13.0
55,",,7,",WDMV,2016-06-25T00:00:00,GHCND:USC00193276,14.9
56,",,7,",WDMV,2016-06-26T00:00:00,GHCND:USC00193276,16.2
57,",,7,",WDMV,2016-06-27T00:00:00,GHCND:USC00193276,21.7
58,",,7,",WDMV,2016-06-28T00:00:00,GHCND:USC00193276,18.0
59,",,7,",WDMV,2016-06-29T00:00:00,GHCND:USC00193276,14.9
60,",,7,",WDMV,2016-06-30T00:00:00,GHCND:USC00193276,19.9
61,",,7,",WDMV,2016-07-01T00:00:00,GHCND:USC00193276,18.0
62,",,7,",WDMV,2016-07-02T00:00:00,GHCND:USC00193276,44.1
63,",,7,",WDMV,2016-07-03T00:00:00,GHCND:USC00193276,19.9
64,",,7,",WDMV,2016-07-04T00:00:00,GHCND:USC00193276,16.2
65,",,7,",WDMV,2016-07-05T00:00:00,GHCND:USC00193276,3.7
66,",,7,",WDMV,2016-07-06T00:00:00,GHCND:USC00193276,14.3
67,",,7,",WDMV,2016-07-07T00:00:00,GHCND:USC00193276,19.9
68,",,7,",WDMV,2016-07-08T00:00:00,GHCND:USC00193276,28.0
69,",,7,",WDMV,2016-07-09T00:00:00,GHCND:USC00193276,14.3
70,",,7,",WDMV,2016-07-10T00:00:00,GHCND:USC00193276,6.2
71,",,7,",WDMV,2016-07-11T00:00:00,GHCND:USC00193276,13.0
72,",,7,",WDMV,2016-07-12T00:00:00,GHCND:USC00193276,14.3
73,",,7,",WDMV,2016-07-13T00:00:00,GHCND:USC00193276,14.3
74,",,7,",WDMV,2016-07-14T00:00:00,GHCND:USC00193276,21.1
75,",,7,",WDMV,2016-07-15T00:00:00,GHCND:USC00193276,16.8
76,",,7,",WDMV,2016-07-16T00:00:00,GHCND:USC00193276,21.7
77,",,7,",WDMV,2016-07-17T00:00:00,GHCND:USC00193276,19.3
78,",,7,",WDMV,2016-07-18T00:00:00,GHCND:USC00193276,13.0
79,",,7,",WDMV,2016-07-19T00:00:00,GHCND:USC00193276,34.2
80,",,7,",WDMV,2016-07-20T00:00:00,GHCND:USC00193276,29.2
81,",,7,",WDMV,2016-07-21T00:00:00,GHCND:USC00193276,16.8
82,",,7,",WDMV,2016-07-22T00:00:00,GHCND:USC00193276,23.0
83,",,7,",WDMV,2016-07-23T00:00:00,GHCND:USC00193276,31.1
84,",,7,",WDMV,2016-07-24T00:00:00,GHCND:USC00193276,21.7
85,",,7,",WDMV,2016-07-25T00:00:00,GHCND:USC00193276,11.2
86,",,7,",WDMV,2016-07-26T00:00:00,GHCND:USC00193276,34.8
87,",,7,",WDMV,2016-07-27T00:00:00,GHCND:USC00193276,21.1
88,",,7,",WDMV,2016-07-28T00:00:00,GHCND:USC00193276,13.0
89,",,7,",WDMV,2016-07-29T00:00:00,GHCND:USC00193276,11.2
90,",,7,",WDMV,2016-07-30T00:00:00,GHCND:USC00193276,11.8
91,",,7,",WDMV,2016-07-31T00:00:00,GHCND:USC00193276,8.1
92,",,7,",WDMV,2016-08-01T00:00:00,GHCND:USC00193276,6.8
93,",,7,",WDMV,2016-08-02T00:00:00,GHCND:USC00193276,13.0
94,",,7,",WDMV,2016-08-03T00:00:00,GHCND:USC00193276,11.8
95,",,7,",WDMV,2016-08-04T00:00:00,GHCND:USC00193276,16.2
96,",,7,",WDMV,2016-08-05T00:00:00,GHCND:USC00193276,16.2
97,",,7,",WDMV,2016-08-06T00:00:00,GHCND:USC00193276,16.8
98,",,7,",WDMV,2016-08-07T00:00:00,GHCND:USC00193276,26.7
99,",,7,",WDMV,2016-08-08T00:00:00,GHCND:USC00193276,19.3
100,",,7,",WDMV,2016-08-09T00:00:00,GHCND:USC00193276,13.0
101,",,7,",WDMV,2016-08-10T00:00:00,GHCND:USC00193276,6.2
102,",,7,",WDMV,2016-08-11T00:00:00,GHCND:USC00193276,14.3
103,",,7,",WDMV,2016-08-12T00:00:00,GHCND:USC00193276,19.3
104,",,7,",WDMV,2016-08-13T00:00:00,GHCND:USC00193276,14.9
105,",,7,",WDMV,2016-08-14T00:00:00,GHCND:USC00193276,18.0
106,",,7,",WDMV,2016-08-15T00:00:00,GHCND:USC00193276,29.8
107,",,7,",WDMV,2016-08-16T00:00:00,GHCND:USC00193276,49.1
108,",,7,",WDMV,2016-08-17T00:00:00,GHCND:USC00193276,51.0
109,",,7,",WDMV,2016-08-18T00:00:00,GHCND:USC00193276,11.2
110,",,7,",WDMV,2016-08-19T00:00:00,GHCND:USC00193276,13.0
111,",,7,",WDMV,2016-08-20T00:00:00,GHCND:USC00193276,13.0
112,",,7,",WDMV,2016-08-21T00:00:00,GHCND:USC00193276,19.3
113,",,7,",WDMV,2016-08-22T00:00:00,GHCND:USC00193276,51.0
114,",,7,",WDMV,2016-08-23T00:00:00,GHCND:USC00193276,14.3
115,",,7,",WDMV,2016-08-24T00:00:00,GHCND:USC00193276,8.7
116,",,7,",WDMV,2016-08-25T00:00:00,GHCND:USC00193276,14.3
117,",,7,",WDMV,2016-08-26T00:00:00,GHCND:USC00193276,16.2
118,",,7,",WDMV,2016-08-27T00:00:00,GHCND:USC00193276,8.7
119,",,7,",WDMV,2016-08-28T00:00:00,GHCND:USC00193276,13.0
120,",,7,",WDMV,2016-08-29T00:00:00,GHCND:USC00193276,37.9
121,",,7,",WDMV,2016-08-30T00:00:00,GHCND:USC00193276,9.9
122,",,7,",WDMV,2016-08-31T00:00:00,GHCND:USC00193276,5.0
123,",,7,",WDMV,2016-09-01T00:00:00,GHCND:USC00193276,3.1
124,",,7,",WDMV,2016-09-02T00:00:00,GHCND:USC00193276,13.0
125,",,7,",WDMV,2016-09-03T00:00:00,GHCND:USC00193276,6.8
126,",,7,",WDMV,2016-09-04T00:00:00,GHCND:USC00193276,16.8
127,",,7,",WDMV,2016-09-05T00:00:00,GHCND:USC00193276,32.9
128,",,7,",WDMV,2016-09-06T00:00:00,GHCND:USC00193276,21.1
129,",,7,",WDMV,2016-09-07T00:00:00,GHCND:USC00193276,9.9
130,",,7,",WDMV,2016-09-08T00:00:00,GHCND:USC00193276,14.3
131,",,7,",WDMV,2016-09-09T00:00:00,GHCND:USC00193276,14.3
132,",,7,",WDMV,2016-09-10T00:00:00,GHCND:USC00193276,14.3
133,",,7,",WDMV,2016-09-11T00:00:00,GHCND:USC00193276,14.3
134,",,7,",WDMV,2016-09-12T00:00:00,GHCND:USC00193276,14.3
135,",,7,",WDMV,2016-09-13T00:00:00,GHCND:USC00193276,14.3
136,",,7,",WDMV,2016-09-14T00:00:00,GHCND:USC00193276,32.9
137,",,7,",WDMV,2016-09-15T00:00:00,GHCND:USC00193276,13.0
138,",,7,",WDMV,2016-09-16T00:00:00,GHCND:USC00193276,16.2
139,",,7,",WDMV,2016-09-17T00:00:00,GHCND:USC00193276,13.0
140,",,7,",WDMV,2016-09-18T00:00:00,GHCND:USC00193276,8.1
141,",,7,",WDMV,2016-09-19T00:00:00,GHCND:USC00193276,3.1
142,",,7,",WDMV,2016-09-20T00:00:00,GHCND:USC00193276,3.7
143,",,7,",WDMV,2016-09-21T00:00:00,GHCND:USC00193276,13.0
144,",,7,",WDMV,2016-09-22T00:00:00,GHCND:USC00193276,6.8
145,",,7,",WDMV,2016-09-23T00:00:00,GHCND:USC00193276,8.7
146,",,7,",WDMV,2016-09-24T00:00:00,GHCND:USC00193276,18.0
147,",,7,",WDMV,2016-09-25T00:00:00,GHCND:USC00193276,31.1
148,",,7,",WDMV,2016-09-26T00:00:00,GHCND:USC00193276,6.8
149,",,7,",WDMV,2016-09-27T00:00:00,GHCND:USC00193276,3.7
150,",,7,",WDMV,2016-09-28T00:00:00,GHCND:USC00193276,23.0
151,",,7,",WDMV,2016-09-29T00:00:00,GHCND:USC00193276,42.3
152,",,7,",WDMV,2016-09-30T00:00:00,GHCND:USC00193276,23.0
153,",,7,",WDMV,2016-10-01T00:00:00,GHCND:USC00193276,31.1
154,",,7,",WDMV,2016-10-02T00:00:00,GHCND:USC00193276,11.8
155,",,7,",WDMV,2016-10-03T00:00:00,GHCND:USC00193276,6.8
156,",,7,",WDMV,2016-10-04T00:00:00,GHCND:USC00193276,14.3
157,",,7,",WDMV,2016-10-05T00:00:00,GHCND:USC00193276,6.8
158,",,7,",WDMV,2016-10-06T00:00:00,GHCND:USC00193276,1.2
159,",,7,",WDMV,2016-10-07T00:00:00,GHCND:USC00193276,3.7
160,",,7,",WDMV,2016-10-08T00:00:00,GHCND:USC00193276,3.1
161,",,7,",WDMV,2016-10-09T00:00:00,GHCND:USC00193276,16.2
162,",,7,",WDMV,2016-10-10T00:00:00,GHCND:USC00193276,57.8
163,",,7,",WDMV,2016-10-11T00:00:00,GHCND:USC00193276,6.8
164,",,7,",WDMV,2016-10-12T00:00:00,GHCND:USC00193276,6.8
165,",,7,",WDMV,2016-10-13T00:00:00,GHCND:USC00193276,5.0
166,",,7,",WDMV,2016-10-14T00:00:00,GHCND:USC00193276,37.9
167,",,7,",WDMV,2016-10-15T00:00:00,GHCND:USC00193276,8.7
168,",,7,",WDMV,2016-10-16T00:00:00,GHCND:USC00193276,11.2
169,",,7,",WDMV,2016-10-17T00:00:00,GHCND:USC00193276,8.1
170,",,7,",WDMV,2016-10-18T00:00:00,GHCND:USC00193276,5.0
171,",,7,",WDMV,2016-10-19T00:00:00,GHCND:USC00193276,16.8
172,",,7,",WDMV,2016-10-20T00:00:00,GHCND:USC00193276,13.0
173,",,7,",WDMV,2016-10-21T00:00:00,GHCND:USC00193276,9.9
174,",,7,",WDMV,2016-10-22T00:00:00,GHCND:USC00193276,16.2
175,",,7,",WDMV,2016-10-23T00:00:00,GHCND:USC00193276,55.9
176,",,7,",WDMV,2016-10-24T00:00:00,GHCND:USC00193276,42.9
177,",,7,",WDMV,2016-10-25T00:00:00,GHCND:USC00193276,44.7
178,",,7,",WDMV,2016-10-26T00:00:00,GHCND:USC00193276,34.2
179,",,7,",WDMV,2016-10-27T00:00:00,GHCND:USC00193276,3.1
180,",,7,",WDMV,2016-10-28T00:00:00,GHCND:USC00193276,42.3
181,",,7,",WDMV,2016-10-29T00:00:00,GHCND:USC00193276,14.3
182,",,7,",WDMV,2016-10-30T00:00:00,GHCND:USC00193276,14.3
183,",,7,",WDMV,2016-10-31T00:00:00,GHCND:USC00193276,37.3
