,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00054733,8.9
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00054733,8.5
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00054733,8.9
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00054733,10.5
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00054733,7.2
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00054733,6.0
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00054733,3.6
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00054733,7.4
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00054733,4.7
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00054733,13.6
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00054733,15.9
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00054733,6.7
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00054733,14.8
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00054733,6.9
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00054733,3.4
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00054733,8.9
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00054733,6.9
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00054733,14.1
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00054733,16.8
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00054733,13.6
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00054733,13.9
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00054733,10.3
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00054733,13.9
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00054733,9.2
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00054733,4.7
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00054733,10.5
