,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00012907,32.0
1,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00012907,40.9
2,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00012907,29.1
3,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00012907,53.0
4,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00012907,23.0
5,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00012907,28.0
6,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00012907,21.9
7,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00012907,35.1
8,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00012907,21.0
9,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00012907,16.1
10,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00012907,27.1
11,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00012907,17.0
12,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00012907,38.9
13,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00012907,32.0
14,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00012907,21.9
15,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00012907,31.1
16,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00012907,23.0
17,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00012907,19.9
18,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00012907,27.1
19,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00012907,19.9
20,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00012907,18.1
21,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00012907,17.0
22,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00012907,25.1
23,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00012907,21.0
24,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00012907,30.0
25,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00012907,23.0
26,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00012907,25.1
27,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00012907,27.1
28,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00012907,40.9
29,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00012907,29.1
30,",,W,",WSF5,2016-02-27T00:00:00,GHCND:USW00012907,23.0
31,",,W,",WSF5,2016-02-28T00:00:00,GHCND:USW00012907,23.0
32,",,W,",WSF5,2016-02-29T00:00:00,GHCND:USW00012907,32.0
33,",,W,",WSF5,2016-03-01T00:00:00,GHCND:USW00012907,23.9
34,",,W,",WSF5,2016-03-02T00:00:00,GHCND:USW00012907,21.0
35,",,W,",WSF5,2016-03-03T00:00:00,GHCND:USW00012907,23.0
36,",,W,",WSF5,2016-03-06T00:00:00,GHCND:USW00012907,31.1
37,",,W,",WSF5,2016-03-07T00:00:00,GHCND:USW00012907,36.9
38,",,W,",WSF5,2016-03-08T00:00:00,GHCND:USW00012907,32.0
39,",,W,",WSF5,2016-03-09T00:00:00,GHCND:USW00012907,38.0
40,",,W,",WSF5,2016-03-11T00:00:00,GHCND:USW00012907,23.9
41,",,W,",WSF5,2016-03-13T00:00:00,GHCND:USW00012907,21.0
42,",,W,",WSF5,2016-03-14T00:00:00,GHCND:USW00012907,23.0
43,",,W,",WSF5,2016-03-15T00:00:00,GHCND:USW00012907,16.1
44,",,W,",WSF5,2016-03-18T00:00:00,GHCND:USW00012907,38.0
45,",,W,",WSF5,2016-03-19T00:00:00,GHCND:USW00012907,32.0
46,",,W,",WSF5,2016-03-20T00:00:00,GHCND:USW00012907,28.0
47,",,W,",WSF5,2016-03-21T00:00:00,GHCND:USW00012907,17.0
48,",,W,",WSF5,2016-03-22T00:00:00,GHCND:USW00012907,33.1
49,",,W,",WSF5,2016-03-23T00:00:00,GHCND:USW00012907,31.1
50,",,W,",WSF5,2016-03-24T00:00:00,GHCND:USW00012907,35.1
51,",,W,",WSF5,2016-03-25T00:00:00,GHCND:USW00012907,23.9
52,",,W,",WSF5,2016-03-26T00:00:00,GHCND:USW00012907,18.1
53,",,W,",WSF5,2016-03-27T00:00:00,GHCND:USW00012907,25.1
54,",,W,",WSF5,2016-03-30T00:00:00,GHCND:USW00012907,21.9
55,",,W,",WSF5,2016-03-31T00:00:00,GHCND:USW00012907,18.1
56,",,W,",WSF5,2016-04-01T00:00:00,GHCND:USW00012907,33.1
57,",,W,",WSF5,2016-04-04T00:00:00,GHCND:USW00012907,18.1
58,",,W,",WSF5,2016-04-05T00:00:00,GHCND:USW00012907,23.0
59,",,W,",WSF5,2016-04-06T00:00:00,GHCND:USW00012907,23.0
60,",,W,",WSF5,2016-04-07T00:00:00,GHCND:USW00012907,18.1
