,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-01-01T00:00:00,GHCND:USC00413060,0.0
1,",,7,",WDMV,2016-01-02T00:00:00,GHCND:USC00413060,0.0
2,",,7,",WDMV,2016-01-03T00:00:00,GHCND:USC00413060,0.0
3,",,7,",WDMV,2016-01-04T00:00:00,GHCND:USC00413060,0.0
4,",,7,",WDMV,2016-01-05T00:00:00,GHCND:USC00413060,0.0
5,",,7,",WDMV,2016-01-06T00:00:00,GHCND:USC00413060,0.0
6,",,7,",WDMV,2016-01-07T00:00:00,GHCND:USC00413060,0.0
7,",,7,",WDMV,2016-01-15T00:00:00,GHCND:USC00413060,0.0
8,",,7,",WDMV,2016-01-16T00:00:00,GHCND:USC00413060,0.0
9,",,7,",WDMV,2016-01-17T00:00:00,GHCND:USC00413060,0.0
10,",,7,",WDMV,2016-01-18T00:00:00,GHCND:USC00413060,0.0
11,",,7,",WDMV,2016-01-19T00:00:00,GHCND:USC00413060,0.0
12,",,7,",WDMV,2016-01-20T00:00:00,GHCND:USC00413060,0.0
13,",,7,",WDMV,2016-01-21T00:00:00,GHCND:USC00413060,0.0
14,",,7,",WDMV,2016-01-22T00:00:00,GHCND:USC00413060,0.0
15,",,7,",WDMV,2016-01-23T00:00:00,GHCND:USC00413060,0.0
16,",,7,",WDMV,2016-01-24T00:00:00,GHCND:USC00413060,0.0
17,",,7,",WDMV,2016-01-25T00:00:00,GHCND:USC00413060,0.0
18,",,7,",WDMV,2016-01-26T00:00:00,GHCND:USC00413060,0.0
19,",,7,",WDMV,2016-01-27T00:00:00,GHCND:USC00413060,0.0
20,",,7,",WDMV,2016-01-28T00:00:00,GHCND:USC00413060,0.0
21,",,7,",WDMV,2016-01-31T00:00:00,GHCND:USC00413060,0.0
22,",,7,",WDMV,2016-02-01T00:00:00,GHCND:USC00413060,0.0
23,",,7,",WDMV,2016-02-02T00:00:00,GHCND:USC00413060,0.0
24,",,7,",WDMV,2016-02-03T00:00:00,GHCND:USC00413060,0.0
25,",,7,",WDMV,2016-02-04T00:00:00,GHCND:USC00413060,0.0
26,",,7,",WDMV,2016-02-05T00:00:00,GHCND:USC00413060,0.0
27,",,7,",WDMV,2016-02-06T00:00:00,GHCND:USC00413060,0.0
28,",,7,",WDMV,2016-02-07T00:00:00,GHCND:USC00413060,0.0
29,",,7,",WDMV,2016-02-08T00:00:00,GHCND:USC00413060,0.0
30,",,7,",WDMV,2016-02-09T00:00:00,GHCND:USC00413060,0.0
31,",,7,",WDMV,2016-02-10T00:00:00,GHCND:USC00413060,0.0
32,",,7,",WDMV,2016-02-21T00:00:00,GHCND:USC00413060,0.0
33,",,7,",WDMV,2016-02-22T00:00:00,GHCND:USC00413060,0.0
34,",,7,",WDMV,2016-02-23T00:00:00,GHCND:USC00413060,0.0
35,",,7,",WDMV,2016-02-24T00:00:00,GHCND:USC00413060,0.0
36,",,7,",WDMV,2016-02-25T00:00:00,GHCND:USC00413060,0.0
37,",,7,",WDMV,2016-02-26T00:00:00,GHCND:USC00413060,0.0
38,",,7,",WDMV,2016-02-27T00:00:00,GHCND:USC00413060,0.0
39,",,7,",WDMV,2016-02-28T00:00:00,GHCND:USC00413060,0.0
40,",,7,",WDMV,2016-02-29T00:00:00,GHCND:USC00413060,0.0
41,",,7,",WDMV,2016-03-01T00:00:00,GHCND:USC00413060,0.0
42,",,7,",WDMV,2016-03-02T00:00:00,GHCND:USC00413060,0.0
43,",,7,",WDMV,2016-03-03T00:00:00,GHCND:USC00413060,0.0
44,",,7,",WDMV,2016-03-04T00:00:00,GHCND:USC00413060,0.0
45,",,7,",WDMV,2016-03-05T00:00:00,GHCND:USC00413060,0.0
46,",,7,",WDMV,2016-03-06T00:00:00,GHCND:USC00413060,0.0
47,",,7,",WDMV,2016-03-07T00:00:00,GHCND:USC00413060,0.0
48,",,7,",WDMV,2016-03-08T00:00:00,GHCND:USC00413060,0.0
49,",,7,",WDMV,2016-03-09T00:00:00,GHCND:USC00413060,0.0
50,",,7,",WDMV,2016-03-10T00:00:00,GHCND:USC00413060,0.0
51,",,7,",WDMV,2016-03-11T00:00:00,GHCND:USC00413060,0.0
52,",,7,",WDMV,2016-03-12T00:00:00,GHCND:USC00413060,0.0
53,",,7,",WDMV,2016-03-13T00:00:00,GHCND:USC00413060,0.0
54,",,7,",WDMV,2016-03-14T00:00:00,GHCND:USC00413060,0.0
55,",,7,",WDMV,2016-03-15T00:00:00,GHCND:USC00413060,0.0
56,",,7,",WDMV,2016-03-16T00:00:00,GHCND:USC00413060,0.0
57,",,7,",WDMV,2016-03-17T00:00:00,GHCND:USC00413060,0.0
58,",,7,",WDMV,2016-03-18T00:00:00,GHCND:USC00413060,0.0
59,",,7,",WDMV,2016-03-19T00:00:00,GHCND:USC00413060,0.0
60,",,7,",WDMV,2016-03-21T00:00:00,GHCND:USC00413060,0.0
61,",,7,",WDMV,2016-03-22T00:00:00,GHCND:USC00413060,0.0
62,",,7,",WDMV,2016-03-23T00:00:00,GHCND:USC00413060,0.0
63,",,7,",WDMV,2016-03-24T00:00:00,GHCND:USC00413060,0.0
64,",,7,",WDMV,2016-03-25T00:00:00,GHCND:USC00413060,0.0
65,",,7,",WDMV,2016-03-26T00:00:00,GHCND:USC00413060,0.0
66,",,7,",WDMV,2016-03-27T00:00:00,GHCND:USC00413060,0.0
67,",,7,",WDMV,2016-03-28T00:00:00,GHCND:USC00413060,0.0
68,",,7,",WDMV,2016-03-29T00:00:00,GHCND:USC00413060,0.0
69,",,7,",WDMV,2016-03-31T00:00:00,GHCND:USC00413060,0.0
70,",,7,",WDMV,2016-04-01T00:00:00,GHCND:USC00413060,0.0
71,",,7,",WDMV,2016-04-03T00:00:00,GHCND:USC00413060,0.0
72,",,7,",WDMV,2016-04-04T00:00:00,GHCND:USC00413060,0.0
73,",,7,",WDMV,2016-04-05T00:00:00,GHCND:USC00413060,0.0
74,",,7,",WDMV,2016-04-06T00:00:00,GHCND:USC00413060,0.0
75,",,7,",WDMV,2016-04-07T00:00:00,GHCND:USC00413060,0.0
76,",,7,",WDMV,2016-04-08T00:00:00,GHCND:USC00413060,0.0
77,",,7,",WDMV,2016-04-09T00:00:00,GHCND:USC00413060,0.0
