,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00014755,58.2
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00014755,58.8
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00014755,42.5
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00014755,24.4
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00014755,40.3
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00014755,56.8
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00014755,33.3
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00014755,14.3
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00014755,28.0
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00014755,47.2
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00014755,61.5
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00014755,32.2
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00014755,63.1
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00014755,52.8
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00014755,45.9
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00014755,29.8
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00014755,27.7
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00014755,44.7
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00014755,86.3
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00014755,73.8
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00014755,69.6
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00014755,43.6
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00014755,25.5
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00014755,29.8
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00014755,22.4
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00014755,64.2
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00014755,53.2
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00014755,31.1
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00014755,24.4
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00014755,45.0
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00014755,49.2
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00014755,72.3
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00014755,41.4
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00014755,53.7
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00014755,47.2
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00014755,35.3
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00014755,53.2
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00014755,39.1
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00014755,29.5
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00014755,15.9
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00014755,32.9
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00014755,35.1
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00014755,45.6
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00014755,30.4
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00014755,47.6
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00014755,38.3
