,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00054728,270
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00054728,220
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00054728,290
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00054728,350
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00054728,300
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00054728,300
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00054728,270
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00054728,180
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00054728,160
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00054728,140
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00054728,250
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00054728,150
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00054728,270
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00054728,270
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00054728,60
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00054728,100
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00054728,280
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00054728,250
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00054728,280
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00054728,280
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00054728,290
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00054728,350
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00054728,120
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00054728,300
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00054728,120
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00054728,280
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00054728,270
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00054728,220
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00054728,270
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00054728,300
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00054728,300
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00054728,280
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00054728,260
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00054728,160
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00054728,290
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00054728,310
