,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00094700,143
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00094700,736
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00094700,2357
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00094700,213
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00094700,1411
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00094700,1558
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00094700,1338
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00094700,1928
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00094700,229
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00094700,1317
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00094700,202
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00094700,1310
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00094700,1231
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00094700,1552
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00094700,26
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00094700,2151
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00094700,400
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00094700,2142
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00094700,2109
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00094700,1344
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00094700,1216
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00094700,921
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00094700,1627
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00094700,1528
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00094700,17
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00094700,1908
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00094700,1415
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00094700,1442
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00094700,2234
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00094700,153
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00094700,1516
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00094700,1042
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00094700,1337
33,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00094700,755
