,attributes,datatype,date,station,value
0,",,7,",WDFG,2016-01-01T00:00:00,GHCND:USC00283662,23
1,",,7,",WDFG,2016-01-02T00:00:00,GHCND:USC00283662,26
2,",,7,",WDFG,2016-01-03T00:00:00,GHCND:USC00283662,17
3,",,7,",WDFG,2016-01-04T00:00:00,GHCND:USC00283662,22
4,",,7,",WDFG,2016-01-05T00:00:00,GHCND:USC00283662,28
5,",,7,",WDFG,2016-01-06T00:00:00,GHCND:USC00283662,21
6,",,7,",WDFG,2016-01-07T00:00:00,GHCND:USC00283662,7
7,",,7,",WDFG,2016-01-08T00:00:00,GHCND:USC00283662,5
8,",,7,",WDFG,2016-01-09T00:00:00,GHCND:USC00283662,11
9,",,7,",WDFG,2016-01-10T00:00:00,GHCND:USC00283662,10
10,",,7,",WDFG,2016-01-11T00:00:00,GHCND:USC00283662,33
11,",,7,",WDFG,2016-01-12T00:00:00,GHCND:USC00283662,30
12,",,7,",WDFG,2016-01-13T00:00:00,GHCND:USC00283662,37
13,",,7,",WDFG,2016-01-14T00:00:00,GHCND:USC00283662,34
14,",,7,",WDFG,2016-01-15T00:00:00,GHCND:USC00283662,25
15,",,7,",WDFG,2016-01-16T00:00:00,GHCND:USC00283662,19
16,",,7,",WDFG,2016-01-17T00:00:00,GHCND:USC00283662,25
17,",,7,",WDFG,2016-01-18T00:00:00,GHCND:USC00283662,12
18,",,7,",WDFG,2016-01-19T00:00:00,GHCND:USC00283662,26
19,",,7,",WDFG,2016-01-20T00:00:00,GHCND:USC00283662,33
20,",,7,",WDFG,2016-01-21T00:00:00,GHCND:USC00283662,15
21,",,7,",WDFG,2016-01-22T00:00:00,GHCND:USC00283662,22
22,",,7,",WDFG,2016-01-23T00:00:00,GHCND:USC00283662,22
23,",,7,",WDFG,2016-01-24T00:00:00,GHCND:USC00283662,36
24,",,7,",WDFG,2016-01-25T00:00:00,GHCND:USC00283662,20
25,",,7,",WDFG,2016-01-26T00:00:00,GHCND:USC00283662,4
26,",,7,",WDFG,2016-01-27T00:00:00,GHCND:USC00283662,20
27,",,7,",WDFG,2016-01-28T00:00:00,GHCND:USC00283662,25
28,",,7,",WDFG,2016-01-29T00:00:00,GHCND:USC00283662,12
29,",,7,",WDFG,2016-01-30T00:00:00,GHCND:USC00283662,30
30,",,7,",WDFG,2016-01-31T00:00:00,GHCND:USC00283662,16
31,",,7,",WDFG,2016-02-01T00:00:00,GHCND:USC00283662,16
32,",,7,",WDFG,2016-02-02T00:00:00,GHCND:USC00283662,19
33,",,7,",WDFG,2016-02-03T00:00:00,GHCND:USC00283662,11
34,",,7,",WDFG,2016-02-04T00:00:00,GHCND:USC00283662,30
35,",,7,",WDFG,2016-02-05T00:00:00,GHCND:USC00283662,22
36,",,7,",WDFG,2016-02-06T00:00:00,GHCND:USC00283662,21
37,",,7,",WDFG,2016-02-07T00:00:00,GHCND:USC00283662,11
38,",,7,",WDFG,2016-02-08T00:00:00,GHCND:USC00283662,19
39,",,7,",WDFG,2016-02-09T00:00:00,GHCND:USC00283662,24
40,",,7,",WDFG,2016-02-10T00:00:00,GHCND:USC00283662,12
41,",,7,",WDFG,2016-02-11T00:00:00,GHCND:USC00283662,25
42,",,7,",WDFG,2016-02-12T00:00:00,GHCND:USC00283662,33
43,",,7,",WDFG,2016-02-13T00:00:00,GHCND:USC00283662,17
44,",,7,",WDFG,2016-02-14T00:00:00,GHCND:USC00283662,41
45,",,7,",WDFG,2016-02-15T00:00:00,GHCND:USC00283662,31
46,",,7,",WDFG,2016-02-16T00:00:00,GHCND:USC00283662,10
47,",,7,",WDFG,2016-02-17T00:00:00,GHCND:USC00283662,41
48,",,7,",WDFG,2016-02-18T00:00:00,GHCND:USC00283662,24
49,",,7,",WDFG,2016-02-19T00:00:00,GHCND:USC00283662,23
50,",,7,",WDFG,2016-02-20T00:00:00,GHCND:USC00283662,15
51,",,7,",WDFG,2016-02-21T00:00:00,GHCND:USC00283662,16
52,",,7,",WDFG,2016-02-22T00:00:00,GHCND:USC00283662,14
53,",,7,",WDFG,2016-02-23T00:00:00,GHCND:USC00283662,17
54,",,7,",WDFG,2016-02-24T00:00:00,GHCND:USC00283662,19
55,",,7,",WDFG,2016-02-25T00:00:00,GHCND:USC00283662,46
56,",,7,",WDFG,2016-02-26T00:00:00,GHCND:USC00283662,39
57,",,7,",WDFG,2016-02-27T00:00:00,GHCND:USC00283662,35
58,",,7,",WDFG,2016-02-28T00:00:00,GHCND:USC00283662,18
59,",,7,",WDFG,2016-02-29T00:00:00,GHCND:USC00283662,23
60,",,7,",WDFG,2016-03-01T00:00:00,GHCND:USC00283662,32
61,",,7,",WDFG,2016-03-02T00:00:00,GHCND:USC00283662,25
62,",,7,",WDFG,2016-03-03T00:00:00,GHCND:USC00283662,37
63,",,7,",WDFG,2016-03-04T00:00:00,GHCND:USC00283662,24
64,",,7,",WDFG,2016-03-05T00:00:00,GHCND:USC00283662,25
65,",,7,",WDFG,2016-03-06T00:00:00,GHCND:USC00283662,13
66,",,7,",WDFG,2016-03-07T00:00:00,GHCND:USC00283662,11
67,",,7,",WDFG,2016-03-08T00:00:00,GHCND:USC00283662,25
68,",,7,",WDFG,2016-03-09T00:00:00,GHCND:USC00283662,16
69,",,7,",WDFG,2016-03-10T00:00:00,GHCND:USC00283662,17
70,",,7,",WDFG,2016-03-11T00:00:00,GHCND:USC00283662,20
71,",,7,",WDFG,2016-03-12T00:00:00,GHCND:USC00283662,20
72,",,7,",WDFG,2016-03-13T00:00:00,GHCND:USC00283662,12
73,",,7,",WDFG,2016-03-14T00:00:00,GHCND:USC00283662,10
74,",,7,",WDFG,2016-03-15T00:00:00,GHCND:USC00283662,25
75,",,7,",WDFG,2016-03-16T00:00:00,GHCND:USC00283662,15
76,",,7,",WDFG,2016-03-17T00:00:00,GHCND:USC00283662,19
77,",,7,",WDFG,2016-03-18T00:00:00,GHCND:USC00283662,25
78,",,7,",WDFG,2016-03-19T00:00:00,GHCND:USC00283662,36
79,",,7,",WDFG,2016-03-20T00:00:00,GHCND:USC00283662,15
80,",,7,",WDFG,2016-03-21T00:00:00,GHCND:USC00283662,20
81,",,7,",WDFG,2016-03-22T00:00:00,GHCND:USC00283662,31
82,",,7,",WDFG,2016-03-23T00:00:00,GHCND:USC00283662,24
83,",,7,",WDFG,2016-03-24T00:00:00,GHCND:USC00283662,22
84,",,7,",WDFG,2016-03-25T00:00:00,GHCND:USC00283662,26
85,",,7,",WDFG,2016-03-26T00:00:00,GHCND:USC00283662,29
86,",,7,",WDFG,2016-03-27T00:00:00,GHCND:USC00283662,18
87,",,7,",WDFG,2016-03-28T00:00:00,GHCND:USC00283662,16
88,",,7,",WDFG,2016-03-29T00:00:00,GHCND:USC00283662,37
89,",,7,",WDFG,2016-03-30T00:00:00,GHCND:USC00283662,33
90,",,7,",WDFG,2016-03-31T00:00:00,GHCND:USC00283662,21
91,",,7,",WDFG,2016-04-01T00:00:00,GHCND:USC00283662,35
92,",,7,",WDFG,2016-04-02T00:00:00,GHCND:USC00283662,26
93,",,7,",WDFG,2016-04-03T00:00:00,GHCND:USC00283662,18
94,",,7,",WDFG,2016-04-04T00:00:00,GHCND:USC00283662,45
95,",,7,",WDFG,2016-04-05T00:00:00,GHCND:USC00283662,26
96,",,7,",WDFG,2016-04-06T00:00:00,GHCND:USC00283662,27
97,",,7,",WDFG,2016-04-07T00:00:00,GHCND:USC00283662,26
98,",,7,",WDFG,2016-04-08T00:00:00,GHCND:USC00283662,41
99,",,7,",WDFG,2016-04-09T00:00:00,GHCND:USC00283662,29
100,",,7,",WDFG,2016-04-10T00:00:00,GHCND:USC00283662,24
101,",,7,",WDFG,2016-04-11T00:00:00,GHCND:USC00283662,22
102,",,7,",WDFG,2016-04-12T00:00:00,GHCND:USC00283662,29
103,",,7,",WDFG,2016-04-13T00:00:00,GHCND:USC00283662,25
104,",,7,",WDFG,2016-04-14T00:00:00,GHCND:USC00283662,19
105,",,7,",WDFG,2016-04-15T00:00:00,GHCND:USC00283662,18
106,",,7,",WDFG,2016-04-16T00:00:00,GHCND:USC00283662,18
107,",,7,",WDFG,2016-04-17T00:00:00,GHCND:USC00283662,19
108,",,7,",WDFG,2016-04-18T00:00:00,GHCND:USC00283662,16
109,",,7,",WDFG,2016-04-19T00:00:00,GHCND:USC00283662,14
110,",,7,",WDFG,2016-04-20T00:00:00,GHCND:USC00283662,28
111,",,7,",WDFG,2016-04-21T00:00:00,GHCND:USC00283662,18
112,",,7,",WDFG,2016-04-22T00:00:00,GHCND:USC00283662,26
113,",,7,",WDFG,2016-04-23T00:00:00,GHCND:USC00283662,22
114,",,7,",WDFG,2016-04-24T00:00:00,GHCND:USC00283662,20
115,",,7,",WDFG,2016-04-25T00:00:00,GHCND:USC00283662,14
116,",,7,",WDFG,2016-04-26T00:00:00,GHCND:USC00283662,22
117,",,7,",WDFG,2016-04-27T00:00:00,GHCND:USC00283662,34
118,",,7,",WDFG,2016-04-28T00:00:00,GHCND:USC00283662,12
119,",,7,",WDFG,2016-04-29T00:00:00,GHCND:USC00283662,14
120,",,7,",WDFG,2016-04-30T00:00:00,GHCND:USC00283662,15
121,",,7,",WDFG,2016-05-01T00:00:00,GHCND:USC00283662,13
122,",,7,",WDFG,2016-05-02T00:00:00,GHCND:USC00283662,12
123,",,7,",WDFG,2016-05-03T00:00:00,GHCND:USC00283662,11
124,",,7,",WDFG,2016-05-04T00:00:00,GHCND:USC00283662,12
125,",,7,",WDFG,2016-05-05T00:00:00,GHCND:USC00283662,17
126,",,7,",WDFG,2016-05-06T00:00:00,GHCND:USC00283662,15
127,",,7,",WDFG,2016-05-07T00:00:00,GHCND:USC00283662,17
128,",,7,",WDFG,2016-05-08T00:00:00,GHCND:USC00283662,11
129,",,7,",WDFG,2016-05-09T00:00:00,GHCND:USC00283662,33
130,",,7,",WDFG,2016-05-10T00:00:00,GHCND:USC00283662,27
131,",,7,",WDFG,2016-05-11T00:00:00,GHCND:USC00283662,7
132,",,7,",WDFG,2016-05-12T00:00:00,GHCND:USC00283662,10
133,",,7,",WDFG,2016-05-13T00:00:00,GHCND:USC00283662,12
134,",,7,",WDFG,2016-05-14T00:00:00,GHCND:USC00283662,14
135,",,7,",WDFG,2016-05-15T00:00:00,GHCND:USC00283662,32
136,",,7,",WDFG,2016-05-16T00:00:00,GHCND:USC00283662,33
137,",,7,",WDFG,2016-05-18T00:00:00,GHCND:USC00283662,14
138,",,7,",WDFG,2016-05-19T00:00:00,GHCND:USC00283662,16
139,",,7,",WDFG,2016-05-20T00:00:00,GHCND:USC00283662,14
140,",,7,",WDFG,2016-05-22T00:00:00,GHCND:USC00283662,15
141,",,7,",WDFG,2016-05-23T00:00:00,GHCND:USC00283662,12
142,",,7,",WDFG,2016-05-24T00:00:00,GHCND:USC00283662,17
143,",,7,",WDFG,2016-05-25T00:00:00,GHCND:USC00283662,16
144,",,7,",WDFG,2016-05-26T00:00:00,GHCND:USC00283662,21
145,",,7,",WDFG,2016-05-27T00:00:00,GHCND:USC00283662,16
146,",,7,",WDFG,2016-05-28T00:00:00,GHCND:USC00283662,21
147,",,7,",WDFG,2016-05-29T00:00:00,GHCND:USC00283662,20
148,",,7,",WDFG,2016-05-30T00:00:00,GHCND:USC00283662,17
149,",,7,",WDFG,2016-05-31T00:00:00,GHCND:USC00283662,13
150,",,7,",WDFG,2016-06-01T00:00:00,GHCND:USC00283662,14
