,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00013724,300
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00013724,280
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00013724,280
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00013724,320
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00013724,320
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00013724,200
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00013724,360
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00013724,40
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00013724,80
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00013724,290
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00013724,290
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00013724,300
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00013724,290
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00013724,290
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00013724,220
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00013724,290
16,",,Z,",WDF5,2016-01-17T00:00:00,GHCND:USW00013724,45
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00013724,310
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00013724,300
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00013724,300
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00013724,320
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00013724,50
22,",,Z,",WDF5,2016-01-23T00:00:00,GHCND:USW00013724,60
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00013724,30
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00013724,220
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00013724,230
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00013724,330
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00013724,190
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00013724,290
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00013724,220
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00013724,230
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00013724,270
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00013724,80
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00013724,170
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00013724,320
35,",,Z,",WDF5,2016-02-05T00:00:00,GHCND:USW00013724,320
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00013724,230
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00013724,50
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00013724,50
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00013724,360
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00013724,300
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00013724,290
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00013724,300
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00013724,310
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00013724,320
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00013724,130
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00013724,170
