,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00093730,9.4
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00093730,4.0
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00093730,6.9
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00093730,14.3
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00093730,8.9
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00093730,1.6
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00093730,1.8
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00093730,7.4
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00093730,8.3
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00093730,16.8
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00093730,11.4
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00093730,10.7
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00093730,13.0
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00093730,6.9
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00093730,5.6
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00093730,11.4
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00093730,7.8
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00093730,16.6
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00093730,17.7
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00093730,10.1
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00093730,10.3
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00093730,9.8
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00093730,27.5
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00093730,12.3
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00093730,3.6
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00093730,11.2
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00093730,9.8
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00093730,2.2
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00093730,10.7
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00093730,8.7
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00093730,7.8
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00093730,9.2
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00093730,6.9
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00093730,11.6
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00093730,8.3
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00093730,11.4
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00093730,3.8
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00093730,5.6
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00093730,13.0
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00093730,8.5
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00093730,12.8
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00093730,17.0
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00093730,6.0
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00093730,17.0
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00093730,10.3
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00093730,5.8
