,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00054768,260
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00054768,250
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00054768,270
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00054768,280
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00054768,260
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00054768,180
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00054768,290
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00054768,110
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00054768,100
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00054768,120
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00054768,240
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00054768,290
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00054768,280
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00054768,260
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00054768,110
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00054768,270
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00054768,280
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00054768,280
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00054768,270
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00054768,280
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00054768,260
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00054768,270
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00054768,90
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00054768,240
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00054768,240
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00054768,130
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00054768,270
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00054768,230
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00054768,260
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00054768,260
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00054768,160
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00054768,270
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00054768,330
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00054768,200
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00054768,270
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00054768,280
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00054768,250
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00054768,100
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00054768,90
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00054768,90
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00054768,260
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00054768,270
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00054768,260
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00054768,280
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00054768,270
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00054768,50
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00054768,110
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00054768,280
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00054768,270
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00054768,100
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00054768,210
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00054768,220
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00054768,340
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00054768,100
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00054768,90
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00054768,100
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00054768,260
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00054768,280
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00054768,230
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00054768,280
