,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00054768,30.0
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00054768,35.1
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00054768,23.0
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00054768,27.1
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00054768,21.0
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00054768,4.9
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00054768,6.9
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00054768,29.1
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00054768,23.0
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00054768,36.0
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00054768,51.0
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00054768,33.1
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00054768,40.9
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00054768,23.0
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00054768,25.1
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00054768,34.0
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00054768,30.0
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00054768,45.0
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00054768,45.0
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00054768,25.9
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00054768,29.1
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00054768,19.9
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00054768,23.9
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00054768,19.9
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00054768,10.1
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00054768,31.1
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00054768,38.0
27,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00054768,25.1
28,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00054768,25.1
29,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00054768,21.0
30,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00054768,21.9
31,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00054768,36.0
32,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00054768,16.1
33,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00054768,44.1
34,",,W,",WSF5,2016-02-04T00:00:00,GHCND:USW00054768,23.9
35,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00054768,25.1
36,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00054768,19.9
37,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00054768,19.0
38,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00054768,29.1
39,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00054768,16.1
40,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00054768,28.0
41,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00054768,42.1
42,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00054768,23.9
43,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00054768,42.9
44,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00054768,21.9
45,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00054768,30.0
46,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00054768,48.1
47,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00054768,30.0
48,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00054768,33.1
49,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00054768,36.0
50,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00054768,42.1
51,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00054768,35.1
52,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00054768,19.0
53,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00054768,31.1
54,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00054768,33.1
55,",,W,",WSF5,2016-02-25T00:00:00,GHCND:USW00054768,35.1
56,",,W,",WSF5,2016-02-26T00:00:00,GHCND:USW00054768,46.1
57,",,W,",WSF5,2016-02-27T00:00:00,GHCND:USW00054768,25.9
58,",,W,",WSF5,2016-02-28T00:00:00,GHCND:USW00054768,23.9
59,",,W,",WSF5,2016-02-29T00:00:00,GHCND:USW00054768,36.9
60,",,W,",WSF5,2016-03-01T00:00:00,GHCND:USW00054768,55.0
