,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00024036,3.6
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00024036,5.8
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00024036,5.4
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00024036,5.1
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00024036,3.8
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00024036,4.5
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00024036,8.9
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00024036,3.4
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00024036,2.9
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00024036,12.5
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00024036,11.4
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00024036,16.1
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00024036,19.0
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00024036,11.9
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00024036,8.1
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00024036,5.4
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00024036,5.1
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00024036,8.9
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00024036,5.8
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00024036,5.4
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00024036,7.6
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00024036,16.8
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00024036,9.4
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00024036,9.8
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00024036,6.5
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00024036,11.6
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00024036,12.3
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00024036,17.4
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00024036,13.0
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00024036,12.3
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00024036,8.5
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00024036,4.7
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00024036,6.7
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00024036,9.6
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00024036,13.6
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00024036,15.2
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00024036,25.3
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00024036,7.8
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00024036,10.1
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00024036,8.5
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00024036,9.4
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00024036,12.5
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00024036,9.8
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00024036,12.8
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00024036,13.6
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00024036,9.6
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00024036,11.4
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00024036,6.0
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00024036,14.5
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00024036,18.3
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00024036,14.3
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00024036,5.4
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00024036,12.5
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00024036,7.6
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00024036,5.4
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00024036,7.6
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00024036,7.6
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00024036,15.2
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00024036,11.2
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00024036,13.2
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00024036,7.6
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00024036,17.2
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00024036,12.3
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00024036,6.7
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00024036,11.4
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00024036,10.5
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00024036,9.2
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00024036,5.8
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00024036,6.3
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00024036,18.6
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00024036,10.1
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00024036,13.0
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00024036,10.3
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00024036,13.9
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00024036,13.9
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00024036,13.9
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00024036,10.5
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00024036,8.9
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00024036,6.7
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00024036,4.9
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00024036,13.2
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00024036,8.5
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00024036,8.1
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00024036,17.4
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00024036,6.7
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00024036,6.7
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00024036,6.9
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00024036,8.3
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00024036,6.7
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00024036,11.0
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00024036,10.3
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00024036,9.6
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00024036,13.6
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00024036,11.4
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00024036,12.8
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00024036,20.1
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00024036,17.2
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00024036,7.8
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00024036,9.8
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00024036,11.6
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00024036,9.4
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00024036,6.0
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00024036,5.1
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00024036,8.3
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00024036,11.2
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00024036,11.4
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00024036,4.5
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00024036,6.9
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00024036,4.7
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00024036,5.8
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00024036,6.7
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00024036,6.7
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00024036,6.3
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00024036,10.5
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00024036,7.4
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00024036,4.0
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00024036,7.2
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00024036,6.7
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00024036,9.6
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00024036,9.6
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00024036,7.6
121,",,W,",AWND,2016-05-01T00:00:00,GHCND:USW00024036,6.5
122,",,W,",AWND,2016-05-02T00:00:00,GHCND:USW00024036,4.7
123,",,W,",AWND,2016-05-03T00:00:00,GHCND:USW00024036,5.6
124,",,W,",AWND,2016-05-04T00:00:00,GHCND:USW00024036,7.2
125,",,W,",AWND,2016-05-05T00:00:00,GHCND:USW00024036,6.0
126,",,W,",AWND,2016-05-06T00:00:00,GHCND:USW00024036,4.3
127,",,W,",AWND,2016-05-07T00:00:00,GHCND:USW00024036,11.2
128,",,W,",AWND,2016-05-08T00:00:00,GHCND:USW00024036,6.7
129,",,W,",AWND,2016-05-09T00:00:00,GHCND:USW00024036,11.4
130,",,W,",AWND,2016-05-10T00:00:00,GHCND:USW00024036,21.5
131,",,W,",AWND,2016-05-11T00:00:00,GHCND:USW00024036,8.9
132,",,W,",AWND,2016-05-12T00:00:00,GHCND:USW00024036,9.6
133,",,W,",AWND,2016-05-13T00:00:00,GHCND:USW00024036,5.4
134,",,W,",AWND,2016-05-14T00:00:00,GHCND:USW00024036,10.1
135,",,W,",AWND,2016-05-15T00:00:00,GHCND:USW00024036,12.8
136,",,W,",AWND,2016-05-16T00:00:00,GHCND:USW00024036,12.3
137,",,W,",AWND,2016-05-17T00:00:00,GHCND:USW00024036,6.0
138,",,W,",AWND,2016-05-18T00:00:00,GHCND:USW00024036,5.8
139,",,W,",AWND,2016-05-19T00:00:00,GHCND:USW00024036,6.5
140,",,W,",AWND,2016-05-20T00:00:00,GHCND:USW00024036,5.4
141,",,W,",AWND,2016-05-21T00:00:00,GHCND:USW00024036,6.9
142,",,W,",AWND,2016-05-22T00:00:00,GHCND:USW00024036,17.7
143,",,W,",AWND,2016-05-23T00:00:00,GHCND:USW00024036,15.7
144,",,W,",AWND,2016-05-24T00:00:00,GHCND:USW00024036,4.5
145,",,W,",AWND,2016-05-25T00:00:00,GHCND:USW00024036,5.6
146,",,W,",AWND,2016-05-26T00:00:00,GHCND:USW00024036,8.1
147,",,W,",AWND,2016-05-27T00:00:00,GHCND:USW00024036,8.5
148,",,W,",AWND,2016-05-28T00:00:00,GHCND:USW00024036,7.8
149,",,W,",AWND,2016-05-29T00:00:00,GHCND:USW00024036,5.6
150,",,W,",AWND,2016-05-30T00:00:00,GHCND:USW00024036,11.6
151,",,W,",AWND,2016-05-31T00:00:00,GHCND:USW00024036,11.9
152,",,W,",AWND,2016-06-01T00:00:00,GHCND:USW00024036,5.6
153,",,W,",AWND,2016-06-02T00:00:00,GHCND:USW00024036,9.8
154,",,W,",AWND,2016-06-03T00:00:00,GHCND:USW00024036,9.6
155,",,W,",AWND,2016-06-04T00:00:00,GHCND:USW00024036,4.9
156,",,W,",AWND,2016-06-05T00:00:00,GHCND:USW00024036,5.8
