,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00094989,240
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00094989,310
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00094989,360
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00094989,150
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00094989,180
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00094989,150
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00094989,100
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00094989,340
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00094989,340
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00094989,320
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00094989,340
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00094989,340
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00094989,260
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00094989,290
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00094989,320
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00094989,350
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00094989,330
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00094989,290
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00094989,110
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00094989,170
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00094989,350
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00094989,20
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00094989,190
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00094989,210
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00094989,310
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00094989,320
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00094989,220
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00094989,340
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00094989,150
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00094989,190
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00094989,290
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00094989,60
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00094989,80
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00094989,330
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00094989,300
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00094989,160
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00094989,220
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00094989,270
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00094989,340
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00094989,340
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00094989,350
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00094989,30
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00094989,350
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00094989,140
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00094989,130
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00094989,150
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00094989,340
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00094989,120
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00094989,130
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00094989,280
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00094989,330
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00094989,350
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00094989,100
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00094989,350
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00094989,320
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00094989,350
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00094989,210
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00094989,220
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00094989,330
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00094989,40
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00094989,350
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00094989,130
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00094989,90
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00094989,180
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00094989,330
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00094989,180
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00094989,170
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00094989,220
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00094989,280
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00094989,20
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00094989,180
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00094989,120
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00094989,60
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00094989,140
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00094989,110
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00094989,290
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00094989,300
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00094989,330
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00094989,330
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00094989,320
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00094989,190
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00094989,220
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00094989,50
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00094989,10
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00094989,200
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00094989,240
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00094989,310
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00094989,170
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00094989,150
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00094989,210
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00094989,310
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00094989,320
