,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00023065,270
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00023065,330
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00023065,200
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00023065,170
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00023065,180
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00023065,350
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00023065,360
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00023065,360
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00023065,330
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00023065,300
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00023065,330
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00023065,330
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00023065,230
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00023065,330
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00023065,10
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00023065,300
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00023065,70
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00023065,170
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00023065,360
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00023065,330
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00023065,350
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00023065,200
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00023065,210
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00023065,340
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00023065,330
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00023065,270
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00023065,340
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00023065,300
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00023065,330
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00023065,10
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00023065,340
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00023065,70
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00023065,360
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00023065,310
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00023065,260
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00023065,320
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00023065,240
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00023065,340
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00023065,340
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00023065,270
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00023065,270
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00023065,330
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00023065,160
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00023065,170
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00023065,330
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00023065,350
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00023065,350
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00023065,180
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00023065,310
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00023065,310
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00023065,20
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00023065,360
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00023065,190
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00023065,350
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00023065,340
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00023065,210
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00023065,340
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00023065,340
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00023065,330
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00023065,360
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00023065,330
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00023065,320
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00023065,360
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00023065,360
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00023065,180
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00023065,190
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00023065,210
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00023065,330
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00023065,330
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00023065,320
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00023065,180
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00023065,170
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00023065,350
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00023065,340
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00023065,330
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00023065,300
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00023065,360
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00023065,20
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00023065,350
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00023065,190
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00023065,250
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00023065,250
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00023065,340
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00023065,330
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00023065,340
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00023065,350
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00023065,250
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00023065,170
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00023065,170
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00023065,290
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00023065,340
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00023065,330
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00023065,340
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00023065,340
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00023065,180
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00023065,330
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00023065,330
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00023065,360
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00023065,110
99,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00023065,210
100,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00023065,30
101,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00023065,220
102,",,W,",WDF2,2016-04-12T00:00:00,GHCND:USW00023065,180
103,",,W,",WDF2,2016-04-13T00:00:00,GHCND:USW00023065,160
104,",,W,",WDF2,2016-04-14T00:00:00,GHCND:USW00023065,170
105,",,W,",WDF2,2016-04-15T00:00:00,GHCND:USW00023065,50
106,",,W,",WDF2,2016-04-16T00:00:00,GHCND:USW00023065,20
107,",,W,",WDF2,2016-04-17T00:00:00,GHCND:USW00023065,350
108,",,W,",WDF2,2016-04-18T00:00:00,GHCND:USW00023065,340
109,",,W,",WDF2,2016-04-19T00:00:00,GHCND:USW00023065,200
110,",,W,",WDF2,2016-04-20T00:00:00,GHCND:USW00023065,340
111,",,W,",WDF2,2016-04-21T00:00:00,GHCND:USW00023065,360
112,",,W,",WDF2,2016-04-22T00:00:00,GHCND:USW00023065,170
113,",,W,",WDF2,2016-04-23T00:00:00,GHCND:USW00023065,190
114,",,W,",WDF2,2016-04-24T00:00:00,GHCND:USW00023065,260
115,",,W,",WDF2,2016-04-25T00:00:00,GHCND:USW00023065,120
116,",,W,",WDF2,2016-04-26T00:00:00,GHCND:USW00023065,320
117,",,W,",WDF2,2016-04-27T00:00:00,GHCND:USW00023065,340
118,",,W,",WDF2,2016-04-28T00:00:00,GHCND:USW00023065,80
119,",,W,",WDF2,2016-04-29T00:00:00,GHCND:USW00023065,40
120,",,W,",WDF2,2016-04-30T00:00:00,GHCND:USW00023065,340
121,",,W,",WDF2,2016-05-01T00:00:00,GHCND:USW00023065,20
122,",,W,",WDF2,2016-05-02T00:00:00,GHCND:USW00023065,320
123,",,W,",WDF2,2016-05-03T00:00:00,GHCND:USW00023065,360
124,",,W,",WDF2,2016-05-04T00:00:00,GHCND:USW00023065,20
125,",,W,",WDF2,2016-05-05T00:00:00,GHCND:USW00023065,160
126,",,W,",WDF2,2016-05-06T00:00:00,GHCND:USW00023065,180
127,",,W,",WDF2,2016-05-07T00:00:00,GHCND:USW00023065,160
128,",,W,",WDF2,2016-05-08T00:00:00,GHCND:USW00023065,320
129,",,W,",WDF2,2016-05-09T00:00:00,GHCND:USW00023065,30
130,",,W,",WDF2,2016-05-10T00:00:00,GHCND:USW00023065,20
131,",,W,",WDF2,2016-05-11T00:00:00,GHCND:USW00023065,50
132,",,W,",WDF2,2016-05-12T00:00:00,GHCND:USW00023065,210
133,",,W,",WDF2,2016-05-13T00:00:00,GHCND:USW00023065,360
134,",,W,",WDF2,2016-05-14T00:00:00,GHCND:USW00023065,90
135,",,W,",WDF2,2016-05-15T00:00:00,GHCND:USW00023065,170
136,",,W,",WDF2,2016-05-16T00:00:00,GHCND:USW00023065,60
