,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00024219,100
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00024219,110
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00024219,70
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00024219,240
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00024219,240
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00024219,220
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00024219,240
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00024219,80
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00024219,90
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00024219,100
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00024219,80
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00024219,70
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00024219,290
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00024219,250
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00024219,220
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00024219,80
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00024219,230
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00024219,240
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00024219,330
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00024219,290
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00024219,320
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00024219,290
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00024219,320
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00024219,330
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00024219,120
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00024219,80
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00024219,70
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00024219,300
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00024219,290
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00024219,300
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00024219,290
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00024219,310
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00024219,90
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00024219,80
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00024219,310
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00024219,280
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00024219,290
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00024219,80
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00024219,70
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00024219,100
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00024219,130
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00024219,200
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00024219,340
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00024219,340
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00024219,330
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00024219,330
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00024219,320
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00024219,320
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00024219,190
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00024219,290
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00024219,300
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00024219,300
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00024219,290
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00024219,70
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00024219,120
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00024219,70
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00024219,270
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00024219,330
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00024219,230
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00024219,330
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00024219,280
