,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00025501,65.1
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00025501,47.0
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00025501,46.1
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00025501,40.0
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00025501,36.9
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00025501,14.1
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00025501,36.9
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00025501,46.1
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00025501,51.0
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00025501,49.0
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00025501,25.1
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00025501,33.1
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00025501,23.0
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00025501,25.9
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00025501,45.0
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00025501,49.0
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00025501,30.0
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00025501,25.9
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00025501,29.1
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00025501,35.1
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00025501,45.0
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00025501,35.1
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00025501,35.1
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00025501,49.0
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00025501,50.1
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00025501,51.0
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00025501,59.1
27,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00025501,18.1
28,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00025501,13.0
29,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00025501,21.9
30,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00025501,45.0
31,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00025501,42.1
32,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00025501,42.9
33,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00025501,46.1
34,",,W,",WSF5,2016-02-04T00:00:00,GHCND:USW00025501,35.1
35,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00025501,23.9
36,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00025501,28.0
37,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00025501,52.1
38,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00025501,38.9
39,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00025501,45.0
40,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00025501,45.0
41,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00025501,33.1
42,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00025501,25.9
43,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00025501,31.1
44,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00025501,19.9
45,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00025501,15.0
46,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00025501,17.0
47,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00025501,38.9
48,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00025501,34.0
49,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00025501,40.0
50,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00025501,42.9
51,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00025501,32.0
52,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00025501,23.9
53,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00025501,55.0
54,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00025501,35.1
55,",,W,",WSF5,2016-02-25T00:00:00,GHCND:USW00025501,36.0
56,",,W,",WSF5,2016-02-26T00:00:00,GHCND:USW00025501,38.0
57,",,W,",WSF5,2016-02-27T00:00:00,GHCND:USW00025501,53.9
58,",,W,",WSF5,2016-02-28T00:00:00,GHCND:USW00025501,36.9
59,",,W,",WSF5,2016-02-29T00:00:00,GHCND:USW00025501,61.1
60,",,W,",WSF5,2016-03-01T00:00:00,GHCND:USW00025501,57.0
61,",,W,",WSF5,2016-03-02T00:00:00,GHCND:USW00025501,23.0
62,",,W,",WSF5,2016-03-03T00:00:00,GHCND:USW00025501,27.1
63,",,W,",WSF5,2016-03-04T00:00:00,GHCND:USW00025501,38.9
64,",,W,",WSF5,2016-03-05T00:00:00,GHCND:USW00025501,25.1
65,",,W,",WSF5,2016-03-06T00:00:00,GHCND:USW00025501,29.1
66,",,W,",WSF5,2016-03-07T00:00:00,GHCND:USW00025501,19.9
67,",,W,",WSF5,2016-03-08T00:00:00,GHCND:USW00025501,21.0
68,",,W,",WSF5,2016-03-09T00:00:00,GHCND:USW00025501,34.0
69,",,W,",WSF5,2016-03-10T00:00:00,GHCND:USW00025501,36.0
70,",,W,",WSF5,2016-03-11T00:00:00,GHCND:USW00025501,36.9
71,",,W,",WSF5,2016-03-12T00:00:00,GHCND:USW00025501,28.0
72,",,W,",WSF5,2016-03-13T00:00:00,GHCND:USW00025501,16.1
73,",,W,",WSF5,2016-03-14T00:00:00,GHCND:USW00025501,16.1
74,",,W,",WSF5,2016-03-15T00:00:00,GHCND:USW00025501,13.0
75,",,W,",WSF5,2016-03-16T00:00:00,GHCND:USW00025501,19.9
76,",,W,",WSF5,2016-03-17T00:00:00,GHCND:USW00025501,34.0
77,",,W,",WSF5,2016-03-18T00:00:00,GHCND:USW00025501,29.1
78,",,W,",WSF5,2016-03-19T00:00:00,GHCND:USW00025501,21.9
79,",,W,",WSF5,2016-03-20T00:00:00,GHCND:USW00025501,33.1
80,",,W,",WSF5,2016-03-21T00:00:00,GHCND:USW00025501,23.9
81,",,W,",WSF5,2016-03-22T00:00:00,GHCND:USW00025501,36.9
82,",,W,",WSF5,2016-03-23T00:00:00,GHCND:USW00025501,36.0
83,",,W,",WSF5,2016-03-24T00:00:00,GHCND:USW00025501,21.0
84,",,W,",WSF5,2016-03-25T00:00:00,GHCND:USW00025501,18.1
85,",,W,",WSF5,2016-03-26T00:00:00,GHCND:USW00025501,19.0
86,",,W,",WSF5,2016-03-27T00:00:00,GHCND:USW00025501,21.9
87,",,W,",WSF5,2016-03-28T00:00:00,GHCND:USW00025501,19.9
88,",,W,",WSF5,2016-03-29T00:00:00,GHCND:USW00025501,21.0
89,",,W,",WSF5,2016-03-30T00:00:00,GHCND:USW00025501,25.9
90,",,W,",WSF5,2016-03-31T00:00:00,GHCND:USW00025501,28.0
91,",,W,",WSF5,2016-04-01T00:00:00,GHCND:USW00025501,38.9
92,",,W,",WSF5,2016-04-02T00:00:00,GHCND:USW00025501,21.9
93,",,W,",WSF5,2016-04-03T00:00:00,GHCND:USW00025501,34.0
94,",,W,",WSF5,2016-04-04T00:00:00,GHCND:USW00025501,35.1
95,",,W,",WSF5,2016-04-05T00:00:00,GHCND:USW00025501,18.1
96,",,W,",WSF5,2016-04-06T00:00:00,GHCND:USW00025501,19.9
97,",,W,",WSF5,2016-04-07T00:00:00,GHCND:USW00025501,18.1
98,",,W,",WSF5,2016-04-08T00:00:00,GHCND:USW00025501,29.1
99,",,W,",WSF5,2016-04-09T00:00:00,GHCND:USW00025501,35.1
100,",,W,",WSF5,2016-04-10T00:00:00,GHCND:USW00025501,29.1
101,",,W,",WSF5,2016-04-11T00:00:00,GHCND:USW00025501,35.1
102,",,W,",WSF5,2016-04-12T00:00:00,GHCND:USW00025501,36.0
103,",,W,",WSF5,2016-04-13T00:00:00,GHCND:USW00025501,18.1
104,",,W,",WSF5,2016-04-14T00:00:00,GHCND:USW00025501,23.9
105,",,W,",WSF5,2016-04-15T00:00:00,GHCND:USW00025501,15.0
106,",,W,",WSF5,2016-04-16T00:00:00,GHCND:USW00025501,16.1
107,",,W,",WSF5,2016-04-17T00:00:00,GHCND:USW00025501,13.0
108,",,W,",WSF5,2016-04-18T00:00:00,GHCND:USW00025501,34.0
109,",,W,",WSF5,2016-04-19T00:00:00,GHCND:USW00025501,38.9
110,",,W,",WSF5,2016-04-20T00:00:00,GHCND:USW00025501,34.0
111,",,W,",WSF5,2016-04-21T00:00:00,GHCND:USW00025501,21.9
112,",,W,",WSF5,2016-04-22T00:00:00,GHCND:USW00025501,23.0
113,",,W,",WSF5,2016-04-23T00:00:00,GHCND:USW00025501,33.1
114,",,W,",WSF5,2016-04-24T00:00:00,GHCND:USW00025501,35.1
115,",,W,",WSF5,2016-04-25T00:00:00,GHCND:USW00025501,48.1
