,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00025507,1029
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00025507,1921
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00025507,2105
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00025507,851
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00025507,1328
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00025507,1207
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00025507,2203
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00025507,2257
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00025507,455
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00025507,708
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00025507,138
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00025507,523
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00025507,2024
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00025507,1909
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00025507,1723
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00025507,2334
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00025507,437
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00025507,1947
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00025507,1729
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00025507,810
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00025507,424
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00025507,619
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00025507,1838
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00025507,2352
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00025507,421
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00025507,2354
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00025507,325
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00025507,1858
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00025507,1308
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00025507,1829
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00025507,1525
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00025507,745
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00025507,1610
