,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00025516,180
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00025516,160
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00025516,20
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00025516,10
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00025516,160
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00025516,350
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00025516,10
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00025516,10
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00025516,140
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00025516,30
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00025516,150
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00025516,360
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00025516,30
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00025516,360
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00025516,10
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00025516,360
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00025516,70
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00025516,40
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00025516,200
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00025516,180
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00025516,30
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00025516,10
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00025516,40
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00025516,130
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00025516,110
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00025516,30
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00025516,10
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00025516,190
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00025516,190
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00025516,150
