,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00014910,1035
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00014910,1031
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00014910,517
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00014910,2356
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00014910,521
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00014910,1728
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00014910,1020
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00014910,1806
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00014910,1346
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00014910,42
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00014910,1846
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00014910,153
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00014910,935
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00014910,2357
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00014910,1452
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00014910,1105
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00014910,1409
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00014910,434
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00014910,2321
19,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00014910,2356
20,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00014910,1140
21,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00014910,15
22,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00014910,2233
23,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00014910,17
24,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00014910,1140
25,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00014910,417
26,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00014910,1057
27,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00014910,818
28,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00014910,1601
29,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00014910,1404
30,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00014910,1723
31,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00014910,1228
32,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00014910,1233
33,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00014910,1106
34,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00014910,1128
35,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00014910,1431
36,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00014910,4
37,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00014910,930
38,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00014910,1331
