,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014914,310
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014914,350
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014914,350
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014914,160
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014914,170
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014914,80
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014914,350
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014914,340
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014914,350
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014914,140
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014914,340
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014914,330
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014914,180
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014914,340
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014914,340
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014914,230
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014914,300
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014914,110
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014914,180
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014914,170
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014914,330
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014914,160
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014914,170
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014914,350
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014914,340
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014914,230
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014914,280
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014914,340
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014914,160
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014914,240
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014914,360
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014914,180
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014914,360
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014914,360
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014914,350
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014914,170
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014914,250
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014914,330
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014914,340
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014914,360
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014914,20
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014914,350
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014914,350
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014914,150
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014914,170
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014914,190
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014914,360
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00014914,140
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014914,160
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014914,270
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014914,280
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014914,10
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014914,180
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014914,330
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00014914,340
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00014914,330
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00014914,250
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00014914,340
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00014914,340
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00014914,350
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00014914,290
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00014914,220
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00014914,360
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00014914,310
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00014914,160
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00014914,160
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00014914,140
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00014914,350
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00014914,350
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00014914,160
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00014914,160
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00014914,130
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00014914,160
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00014914,150
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00014914,300
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00014914,300
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00014914,300
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00014914,340
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00014914,340
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00014914,290
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00014914,70
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00014914,30
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00014914,30
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00014914,170
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00014914,350
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00014914,10
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00014914,220
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00014914,50
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00014914,190
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00014914,350
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00014914,360
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00014914,350
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00014914,340
