,attributes,datatype,date,station,value
0,",,C,",WDFG,2016-01-01T00:00:00,GHCND:CA005021849,29
1,",,C,",WDFG,2016-01-02T00:00:00,GHCND:CA005021849,30
2,",,C,",WDFG,2016-01-03T00:00:00,GHCND:CA005021849,0
3,",,C,",WDFG,2016-01-04T00:00:00,GHCND:CA005021849,18
4,",,C,",WDFG,2016-01-05T00:00:00,GHCND:CA005021849,25
5,",,C,",WDFG,2016-01-06T00:00:00,GHCND:CA005021849,0
6,",,C,",WDFG,2016-01-07T00:00:00,GHCND:CA005021849,0
7,",,C,",WDFG,2016-01-08T00:00:00,GHCND:CA005021849,35
8,",,C,",WDFG,2016-01-09T00:00:00,GHCND:CA005021849,35
9,",,C,",WDFG,2016-01-10T00:00:00,GHCND:CA005021849,0
10,",,C,",WDFG,2016-01-11T00:00:00,GHCND:CA005021849,34
11,",,C,",WDFG,2016-01-12T00:00:00,GHCND:CA005021849,0
12,",,C,",WDFG,2016-01-13T00:00:00,GHCND:CA005021849,0
13,",,C,",WDFG,2016-01-14T00:00:00,GHCND:CA005021849,0
14,",,C,",WDFG,2016-01-15T00:00:00,GHCND:CA005021849,0
15,",,C,",WDFG,2016-01-16T00:00:00,GHCND:CA005021849,30
16,",,C,",WDFG,2016-01-17T00:00:00,GHCND:CA005021849,0
17,",,C,",WDFG,2016-01-18T00:00:00,GHCND:CA005021849,0
18,",,C,",WDFG,2016-01-19T00:00:00,GHCND:CA005021849,0
19,",,C,",WDFG,2016-01-20T00:00:00,GHCND:CA005021849,0
20,",,C,",WDFG,2016-01-21T00:00:00,GHCND:CA005021849,0
21,",,C,",WDFG,2016-01-22T00:00:00,GHCND:CA005021849,19
22,",,C,",WDFG,2016-01-23T00:00:00,GHCND:CA005021849,23
23,",,C,",WDFG,2016-01-24T00:00:00,GHCND:CA005021849,0
24,",,C,",WDFG,2016-01-25T00:00:00,GHCND:CA005021849,34
25,",,C,",WDFG,2016-01-26T00:00:00,GHCND:CA005021849,26
26,",,C,",WDFG,2016-01-27T00:00:00,GHCND:CA005021849,32
27,",,C,",WDFG,2016-01-28T00:00:00,GHCND:CA005021849,35
28,",,C,",WDFG,2016-01-29T00:00:00,GHCND:CA005021849,28
29,",,C,",WDFG,2016-01-30T00:00:00,GHCND:CA005021849,29
30,",,C,",WDFG,2016-01-31T00:00:00,GHCND:CA005021849,0
31,",,C,",WDFG,2016-02-01T00:00:00,GHCND:CA005021849,0
32,",,C,",WDFG,2016-02-02T00:00:00,GHCND:CA005021849,0
33,",,C,",WDFG,2016-02-03T00:00:00,GHCND:CA005021849,0
34,",,C,",WDFG,2016-02-04T00:00:00,GHCND:CA005021849,0
35,",,C,",WDFG,2016-02-05T00:00:00,GHCND:CA005021849,0
36,",,C,",WDFG,2016-02-06T00:00:00,GHCND:CA005021849,29
37,",,C,",WDFG,2016-02-07T00:00:00,GHCND:CA005021849,34
38,",,C,",WDFG,2016-02-08T00:00:00,GHCND:CA005021849,35
39,",,C,",WDFG,2016-02-09T00:00:00,GHCND:CA005021849,0
40,",,C,",WDFG,2016-02-10T00:00:00,GHCND:CA005021849,0
41,",,C,",WDFG,2016-02-11T00:00:00,GHCND:CA005021849,0
42,",,C,",WDFG,2016-02-12T00:00:00,GHCND:CA005021849,35
43,",,C,",WDFG,2016-02-13T00:00:00,GHCND:CA005021849,16
44,",,C,",WDFG,2016-02-14T00:00:00,GHCND:CA005021849,16
45,",,C,",WDFG,2016-02-15T00:00:00,GHCND:CA005021849,29
46,",,C,",WDFG,2016-02-16T00:00:00,GHCND:CA005021849,0
47,",,C,",WDFG,2016-02-17T00:00:00,GHCND:CA005021849,19
48,",,C,",WDFG,2016-02-18T00:00:00,GHCND:CA005021849,17
49,",,C,",WDFG,2016-02-19T00:00:00,GHCND:CA005021849,32
50,",,C,",WDFG,2016-02-20T00:00:00,GHCND:CA005021849,34
51,",,C,",WDFG,2016-02-21T00:00:00,GHCND:CA005021849,0
52,",,C,",WDFG,2016-02-22T00:00:00,GHCND:CA005021849,0
53,",,C,",WDFG,2016-02-23T00:00:00,GHCND:CA005021849,0
54,",,C,",WDFG,2016-02-24T00:00:00,GHCND:CA005021849,34
55,",,C,",WDFG,2016-02-25T00:00:00,GHCND:CA005021849,0
56,",,C,",WDFG,2016-02-26T00:00:00,GHCND:CA005021849,28
57,",,C,",WDFG,2016-02-27T00:00:00,GHCND:CA005021849,3
58,",,C,",WDFG,2016-02-28T00:00:00,GHCND:CA005021849,36
59,",,C,",WDFG,2016-02-29T00:00:00,GHCND:CA005021849,2
60,",,C,",WDFG,2016-03-01T00:00:00,GHCND:CA005021849,0
61,",,C,",WDFG,2016-03-02T00:00:00,GHCND:CA005021849,0
62,",,C,",WDFG,2016-03-03T00:00:00,GHCND:CA005021849,0
63,",,C,",WDFG,2016-03-04T00:00:00,GHCND:CA005021849,15
64,",,C,",WDFG,2016-03-05T00:00:00,GHCND:CA005021849,15
65,",,C,",WDFG,2016-03-06T00:00:00,GHCND:CA005021849,22
66,",,C,",WDFG,2016-03-07T00:00:00,GHCND:CA005021849,0
67,",,C,",WDFG,2016-03-08T00:00:00,GHCND:CA005021849,35
68,",,C,",WDFG,2016-03-09T00:00:00,GHCND:CA005021849,0
69,",,C,",WDFG,2016-03-10T00:00:00,GHCND:CA005021849,16
70,",,C,",WDFG,2016-03-11T00:00:00,GHCND:CA005021849,24
71,",,C,",WDFG,2016-03-12T00:00:00,GHCND:CA005021849,12
72,",,C,",WDFG,2016-03-13T00:00:00,GHCND:CA005021849,0
73,",,C,",WDFG,2016-03-14T00:00:00,GHCND:CA005021849,21
74,",,C,",WDFG,2016-03-15T00:00:00,GHCND:CA005021849,29
75,",,C,",WDFG,2016-03-16T00:00:00,GHCND:CA005021849,34
76,",,C,",WDFG,2016-03-17T00:00:00,GHCND:CA005021849,0
77,",,C,",WDFG,2016-03-18T00:00:00,GHCND:CA005021849,0
78,",,C,",WDFG,2016-03-19T00:00:00,GHCND:CA005021849,0
79,",,C,",WDFG,2016-03-20T00:00:00,GHCND:CA005021849,0
80,",,C,",WDFG,2016-03-21T00:00:00,GHCND:CA005021849,12
81,",,C,",WDFG,2016-03-22T00:00:00,GHCND:CA005021849,2
82,",,C,",WDFG,2016-03-23T00:00:00,GHCND:CA005021849,0
83,",,C,",WDFG,2016-03-24T00:00:00,GHCND:CA005021849,36
84,",,C,",WDFG,2016-03-25T00:00:00,GHCND:CA005021849,4
85,",,C,",WDFG,2016-03-26T00:00:00,GHCND:CA005021849,0
86,",,C,",WDFG,2016-03-27T00:00:00,GHCND:CA005021849,26
87,",,C,",WDFG,2016-03-28T00:00:00,GHCND:CA005021849,0
88,",,C,",WDFG,2016-03-29T00:00:00,GHCND:CA005021849,0
89,",,C,",WDFG,2016-03-30T00:00:00,GHCND:CA005021849,3
90,",,C,",WDFG,2016-03-31T00:00:00,GHCND:CA005021849,3
91,",,C,",WDFG,2016-04-01T00:00:00,GHCND:CA005021849,35
92,",,C,",WDFG,2016-04-02T00:00:00,GHCND:CA005021849,35
93,",,C,",WDFG,2016-04-03T00:00:00,GHCND:CA005021849,13
94,",,C,",WDFG,2016-04-04T00:00:00,GHCND:CA005021849,0
95,",,C,",WDFG,2016-04-05T00:00:00,GHCND:CA005021849,15
96,",,C,",WDFG,2016-04-06T00:00:00,GHCND:CA005021849,0
97,",,C,",WDFG,2016-04-07T00:00:00,GHCND:CA005021849,32
98,",,C,",WDFG,2016-04-08T00:00:00,GHCND:CA005021849,36
99,",,C,",WDFG,2016-04-09T00:00:00,GHCND:CA005021849,15
100,",,C,",WDFG,2016-04-10T00:00:00,GHCND:CA005021849,32
101,",,C,",WDFG,2016-04-11T00:00:00,GHCND:CA005021849,1
102,",,C,",WDFG,2016-04-12T00:00:00,GHCND:CA005021849,18
103,",,C,",WDFG,2016-04-13T00:00:00,GHCND:CA005021849,15
104,",,C,",WDFG,2016-04-14T00:00:00,GHCND:CA005021849,0
105,",,C,",WDFG,2016-04-15T00:00:00,GHCND:CA005021849,35
106,",,C,",WDFG,2016-04-16T00:00:00,GHCND:CA005021849,2
107,",,C,",WDFG,2016-04-17T00:00:00,GHCND:CA005021849,3
108,",,C,",WDFG,2016-04-18T00:00:00,GHCND:CA005021849,2
109,",,C,",WDFG,2016-04-19T00:00:00,GHCND:CA005021849,0
110,",,C,",WDFG,2016-04-20T00:00:00,GHCND:CA005021849,1
111,",,C,",WDFG,2016-04-21T00:00:00,GHCND:CA005021849,35
112,",,C,",WDFG,2016-04-22T00:00:00,GHCND:CA005021849,0
113,",,C,",WDFG,2016-04-23T00:00:00,GHCND:CA005021849,6
114,",,C,",WDFG,2016-04-24T00:00:00,GHCND:CA005021849,7
115,",,C,",WDFG,2016-04-25T00:00:00,GHCND:CA005021849,5
116,",,C,",WDFG,2016-04-26T00:00:00,GHCND:CA005021849,13
117,",,C,",WDFG,2016-04-27T00:00:00,GHCND:CA005021849,6
118,",,C,",WDFG,2016-04-28T00:00:00,GHCND:CA005021849,5
119,",,C,",WDFG,2016-04-29T00:00:00,GHCND:CA005021849,3
120,",,C,",WDFG,2016-04-30T00:00:00,GHCND:CA005021849,4
121,",,C,",WDFG,2016-05-01T00:00:00,GHCND:CA005021849,0
122,",,C,",WDFG,2016-05-02T00:00:00,GHCND:CA005021849,0
123,",,C,",WDFG,2016-05-03T00:00:00,GHCND:CA005021849,1
124,",,C,",WDFG,2016-05-04T00:00:00,GHCND:CA005021849,23
125,",,C,",WDFG,2016-05-05T00:00:00,GHCND:CA005021849,27
126,",,C,",WDFG,2016-05-06T00:00:00,GHCND:CA005021849,35
127,",,C,",WDFG,2016-05-07T00:00:00,GHCND:CA005021849,31
128,",,C,",WDFG,2016-05-08T00:00:00,GHCND:CA005021849,24
129,",,C,",WDFG,2016-05-09T00:00:00,GHCND:CA005021849,13
130,",,C,",WDFG,2016-05-10T00:00:00,GHCND:CA005021849,14
131,",,C,",WDFG,2016-05-11T00:00:00,GHCND:CA005021849,22
132,",,C,",WDFG,2016-05-12T00:00:00,GHCND:CA005021849,32
133,",,C,",WDFG,2016-05-13T00:00:00,GHCND:CA005021849,36
134,",,C,",WDFG,2016-05-14T00:00:00,GHCND:CA005021849,34
135,",,C,",WDFG,2016-05-15T00:00:00,GHCND:CA005021849,35
136,",,C,",WDFG,2016-05-16T00:00:00,GHCND:CA005021849,1
137,",,C,",WDFG,2016-05-17T00:00:00,GHCND:CA005021849,0
138,",,C,",WDFG,2016-05-18T00:00:00,GHCND:CA005021849,20
139,",,C,",WDFG,2016-05-19T00:00:00,GHCND:CA005021849,14
140,",,C,",WDFG,2016-05-20T00:00:00,GHCND:CA005021849,18
141,",,C,",WDFG,2016-05-21T00:00:00,GHCND:CA005021849,16
142,",,C,",WDFG,2016-05-22T00:00:00,GHCND:CA005021849,19
143,",,C,",WDFG,2016-05-23T00:00:00,GHCND:CA005021849,25
144,",,C,",WDFG,2016-05-24T00:00:00,GHCND:CA005021849,12
145,",,C,",WDFG,2016-05-25T00:00:00,GHCND:CA005021849,17
146,",,C,",WDFG,2016-05-26T00:00:00,GHCND:CA005021849,31
147,",,C,",WDFG,2016-05-27T00:00:00,GHCND:CA005021849,35
148,",,C,",WDFG,2016-05-28T00:00:00,GHCND:CA005021849,0
149,",,C,",WDFG,2016-05-29T00:00:00,GHCND:CA005021849,0
150,",,C,",WDFG,2016-05-30T00:00:00,GHCND:CA005021849,0
151,",,C,",WDFG,2016-05-31T00:00:00,GHCND:CA005021849,11
152,",,C,",WDFG,2016-06-01T00:00:00,GHCND:CA005021849,34
153,",,C,",WDFG,2016-06-02T00:00:00,GHCND:CA005021849,17
154,",,C,",WDFG,2016-06-03T00:00:00,GHCND:CA005021849,0
155,",,C,",WDFG,2016-06-04T00:00:00,GHCND:CA005021849,0
156,",,C,",WDFG,2016-06-05T00:00:00,GHCND:CA005021849,32
157,",,C,",WDFG,2016-06-06T00:00:00,GHCND:CA005021849,35
158,",,C,",WDFG,2016-06-07T00:00:00,GHCND:CA005021849,0
159,",,C,",WDFG,2016-06-08T00:00:00,GHCND:CA005021849,14
160,",,C,",WDFG,2016-06-09T00:00:00,GHCND:CA005021849,19
161,",,C,",WDFG,2016-06-10T00:00:00,GHCND:CA005021849,27
162,",,C,",WDFG,2016-06-11T00:00:00,GHCND:CA005021849,1
163,",,C,",WDFG,2016-06-12T00:00:00,GHCND:CA005021849,15
164,",,C,",WDFG,2016-06-13T00:00:00,GHCND:CA005021849,0
165,",,C,",WDFG,2016-06-14T00:00:00,GHCND:CA005021849,13
166,",,C,",WDFG,2016-06-15T00:00:00,GHCND:CA005021849,0
167,",,C,",WDFG,2016-06-16T00:00:00,GHCND:CA005021849,11
168,",,C,",WDFG,2016-06-17T00:00:00,GHCND:CA005021849,34
169,",,C,",WDFG,2016-06-18T00:00:00,GHCND:CA005021849,0
170,",,C,",WDFG,2016-06-19T00:00:00,GHCND:CA005021849,28
171,",,C,",WDFG,2016-06-20T00:00:00,GHCND:CA005021849,29
172,",,C,",WDFG,2016-06-21T00:00:00,GHCND:CA005021849,0
173,",,C,",WDFG,2016-06-22T00:00:00,GHCND:CA005021849,10
174,",,C,",WDFG,2016-06-23T00:00:00,GHCND:CA005021849,0
175,",,C,",WDFG,2016-06-24T00:00:00,GHCND:CA005021849,13
176,",,C,",WDFG,2016-06-25T00:00:00,GHCND:CA005021849,26
177,",,C,",WDFG,2016-06-26T00:00:00,GHCND:CA005021849,31
178,",,C,",WDFG,2016-06-27T00:00:00,GHCND:CA005021849,0
179,",,C,",WDFG,2016-06-28T00:00:00,GHCND:CA005021849,0
180,",,C,",WDFG,2016-06-29T00:00:00,GHCND:CA005021849,33
181,",,C,",WDFG,2016-06-30T00:00:00,GHCND:CA005021849,2
182,",,C,",WDFG,2016-07-01T00:00:00,GHCND:CA005021849,0
183,",,C,",WDFG,2016-07-02T00:00:00,GHCND:CA005021849,0
184,",,C,",WDFG,2016-07-03T00:00:00,GHCND:CA005021849,19
185,",,C,",WDFG,2016-07-04T00:00:00,GHCND:CA005021849,32
186,",,C,",WDFG,2016-07-05T00:00:00,GHCND:CA005021849,25
187,",,C,",WDFG,2016-07-06T00:00:00,GHCND:CA005021849,0
188,",,C,",WDFG,2016-07-07T00:00:00,GHCND:CA005021849,0
189,",,C,",WDFG,2016-07-08T00:00:00,GHCND:CA005021849,0
190,",,C,",WDFG,2016-07-09T00:00:00,GHCND:CA005021849,14
191,",,C,",WDFG,2016-07-10T00:00:00,GHCND:CA005021849,0
192,",,C,",WDFG,2016-07-11T00:00:00,GHCND:CA005021849,25
193,",,C,",WDFG,2016-07-12T00:00:00,GHCND:CA005021849,24
194,",,C,",WDFG,2016-07-13T00:00:00,GHCND:CA005021849,30
195,",,C,",WDFG,2016-07-14T00:00:00,GHCND:CA005021849,33
196,",,C,",WDFG,2016-07-15T00:00:00,GHCND:CA005021849,0
197,",,C,",WDFG,2016-07-16T00:00:00,GHCND:CA005021849,24
198,",,C,",WDFG,2016-07-17T00:00:00,GHCND:CA005021849,33
199,",,C,",WDFG,2016-07-18T00:00:00,GHCND:CA005021849,0
200,",,C,",WDFG,2016-07-19T00:00:00,GHCND:CA005021849,20
201,",,C,",WDFG,2016-07-20T00:00:00,GHCND:CA005021849,32
202,",,C,",WDFG,2016-07-21T00:00:00,GHCND:CA005021849,29
203,",,C,",WDFG,2016-07-22T00:00:00,GHCND:CA005021849,0
204,",,C,",WDFG,2016-07-23T00:00:00,GHCND:CA005021849,20
205,",,C,",WDFG,2016-07-24T00:00:00,GHCND:CA005021849,30
206,",,C,",WDFG,2016-07-25T00:00:00,GHCND:CA005021849,0
207,",,C,",WDFG,2016-07-26T00:00:00,GHCND:CA005021849,0
208,",,C,",WDFG,2016-07-27T00:00:00,GHCND:CA005021849,0
209,",,C,",WDFG,2016-07-28T00:00:00,GHCND:CA005021849,0
210,",,C,",WDFG,2016-07-29T00:00:00,GHCND:CA005021849,0
211,",,C,",WDFG,2016-07-30T00:00:00,GHCND:CA005021849,22
212,",,C,",WDFG,2016-07-31T00:00:00,GHCND:CA005021849,19
213,",,C,",WDFG,2016-08-01T00:00:00,GHCND:CA005021849,0
214,",,C,",WDFG,2016-08-02T00:00:00,GHCND:CA005021849,28
215,",,C,",WDFG,2016-08-03T00:00:00,GHCND:CA005021849,19
216,",,C,",WDFG,2016-08-04T00:00:00,GHCND:CA005021849,30
217,",,C,",WDFG,2016-08-05T00:00:00,GHCND:CA005021849,32
218,",,C,",WDFG,2016-08-06T00:00:00,GHCND:CA005021849,0
219,",,C,",WDFG,2016-08-07T00:00:00,GHCND:CA005021849,0
220,",,C,",WDFG,2016-08-08T00:00:00,GHCND:CA005021849,17
