,attributes,datatype,date,station,value
0,",,C,",WSFG,2016-01-01T00:00:00,GHCND:CA005021849,102.9
1,",,C,",WSFG,2016-01-02T00:00:00,GHCND:CA005021849,96.2
2,",,C,",WSFG,2016-01-03T00:00:00,GHCND:CA005021849,0.0
3,",,C,",WSFG,2016-01-04T00:00:00,GHCND:CA005021849,87.2
4,",,C,",WSFG,2016-01-05T00:00:00,GHCND:CA005021849,73.8
5,",,C,",WSFG,2016-01-06T00:00:00,GHCND:CA005021849,0.0
6,",,C,",WSFG,2016-01-07T00:00:00,GHCND:CA005021849,0.0
7,",,C,",WSFG,2016-01-08T00:00:00,GHCND:CA005021849,87.2
8,",,C,",WSFG,2016-01-09T00:00:00,GHCND:CA005021849,73.8
9,",,C,",WSFG,2016-01-10T00:00:00,GHCND:CA005021849,0.0
10,",,C,",WSFG,2016-01-11T00:00:00,GHCND:CA005021849,78.3
11,",,C,",WSFG,2016-01-12T00:00:00,GHCND:CA005021849,0.0
12,",,C,",WSFG,2016-01-13T00:00:00,GHCND:CA005021849,0.0
13,",,C,",WSFG,2016-01-14T00:00:00,GHCND:CA005021849,0.0
14,",,C,",WSFG,2016-01-15T00:00:00,GHCND:CA005021849,0.0
15,",,C,",WSFG,2016-01-16T00:00:00,GHCND:CA005021849,73.8
16,",,C,",WSFG,2016-01-17T00:00:00,GHCND:CA005021849,0.0
17,",,C,",WSFG,2016-01-18T00:00:00,GHCND:CA005021849,0.0
18,",,C,",WSFG,2016-01-19T00:00:00,GHCND:CA005021849,0.0
19,",,C,",WSFG,2016-01-20T00:00:00,GHCND:CA005021849,0.0
20,",,C,",WSFG,2016-01-21T00:00:00,GHCND:CA005021849,0.0
21,",,C,",WSFG,2016-01-22T00:00:00,GHCND:CA005021849,102.9
22,",,C,",WSFG,2016-01-23T00:00:00,GHCND:CA005021849,98.4
23,",,C,",WSFG,2016-01-24T00:00:00,GHCND:CA005021849,0.0
24,",,C,",WSFG,2016-01-25T00:00:00,GHCND:CA005021849,71.6
25,",,C,",WSFG,2016-01-26T00:00:00,GHCND:CA005021849,98.4
26,",,C,",WSFG,2016-01-27T00:00:00,GHCND:CA005021849,136.5
27,",,C,",WSFG,2016-01-28T00:00:00,GHCND:CA005021849,102.9
28,",,C,",WSFG,2016-01-29T00:00:00,GHCND:CA005021849,107.4
29,",,C,",WSFG,2016-01-30T00:00:00,GHCND:CA005021849,82.8
30,",,C,",WSFG,2016-01-31T00:00:00,GHCND:CA005021849,0.0
31,",,C,",WSFG,2016-02-01T00:00:00,GHCND:CA005021849,0.0
32,",,C,",WSFG,2016-02-02T00:00:00,GHCND:CA005021849,0.0
