,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00003802,957
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00003802,1341
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00003802,1035
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00003802,1307
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00003802,15
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00003802,1459
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00003802,1325
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00003802,1744
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00003802,1746
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00003802,1155
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00003802,37
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00003802,1618
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00003802,101
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00003802,215
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00003802,1701
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00003802,1046
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00003802,2305
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00003802,4
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00003802,1008
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00003802,2320
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00003802,205
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00003802,1929
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00003802,148
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00003802,1002
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00003802,1345
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00003802,1155
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00003802,355
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00003802,1237
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00003802,902
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00003802,1417
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00003802,1208
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00003802,638
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00003802,2203
33,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00003802,425
34,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00003802,136
35,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00003802,530
36,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00003802,1228
37,",,W,",PGTM,2016-02-07T00:00:00,GHCND:USW00003802,1452
38,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00003802,1215
39,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00003802,748
40,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00003802,1541
41,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00003802,1247
42,",,W,",PGTM,2016-02-12T00:00:00,GHCND:USW00003802,2351
43,",,W,",PGTM,2016-02-13T00:00:00,GHCND:USW00003802,1
44,",,W,",PGTM,2016-02-14T00:00:00,GHCND:USW00003802,1340
45,",,W,",PGTM,2016-02-15T00:00:00,GHCND:USW00003802,42
46,",,W,",PGTM,2016-02-16T00:00:00,GHCND:USW00003802,1016
47,",,W,",PGTM,2016-02-17T00:00:00,GHCND:USW00003802,1223
48,",,W,",PGTM,2016-02-18T00:00:00,GHCND:USW00003802,650
49,",,W,",PGTM,2016-02-19T00:00:00,GHCND:USW00003802,1443
50,",,W,",PGTM,2016-02-20T00:00:00,GHCND:USW00003802,1513
51,",,W,",PGTM,2016-02-21T00:00:00,GHCND:USW00003802,821
52,",,W,",PGTM,2016-02-22T00:00:00,GHCND:USW00003802,1853
53,",,W,",PGTM,2016-02-23T00:00:00,GHCND:USW00003802,1426
54,",,W,",PGTM,2016-02-24T00:00:00,GHCND:USW00003802,1523
55,",,W,",PGTM,2016-02-25T00:00:00,GHCND:USW00003802,35
56,",,W,",PGTM,2016-02-26T00:00:00,GHCND:USW00003802,749
57,",,W,",PGTM,2016-02-27T00:00:00,GHCND:USW00003802,1210
58,",,W,",PGTM,2016-02-28T00:00:00,GHCND:USW00003802,2345
59,",,W,",PGTM,2016-02-29T00:00:00,GHCND:USW00003802,514
60,",,W,",PGTM,2016-03-01T00:00:00,GHCND:USW00003802,2139
61,",,W,",PGTM,2016-03-02T00:00:00,GHCND:USW00003802,30
62,",,W,",PGTM,2016-03-03T00:00:00,GHCND:USW00003802,1509
63,",,W,",PGTM,2016-03-04T00:00:00,GHCND:USW00003802,1729
64,",,W,",PGTM,2016-03-05T00:00:00,GHCND:USW00003802,1310
65,",,W,",PGTM,2016-03-06T00:00:00,GHCND:USW00003802,1555
66,",,W,",PGTM,2016-03-07T00:00:00,GHCND:USW00003802,1346
67,",,W,",PGTM,2016-03-08T00:00:00,GHCND:USW00003802,1412
68,",,W,",PGTM,2016-03-09T00:00:00,GHCND:USW00003802,1146
69,",,W,",PGTM,2016-03-10T00:00:00,GHCND:USW00003802,1331
70,",,W,",PGTM,2016-03-11T00:00:00,GHCND:USW00003802,153
71,",,W,",PGTM,2016-03-12T00:00:00,GHCND:USW00003802,1354
72,",,W,",PGTM,2016-03-13T00:00:00,GHCND:USW00003802,1417
73,",,W,",PGTM,2016-03-14T00:00:00,GHCND:USW00003802,1856
74,",,W,",PGTM,2016-03-15T00:00:00,GHCND:USW00003802,718
75,",,W,",PGTM,2016-03-16T00:00:00,GHCND:USW00003802,1156
76,",,W,",PGTM,2016-03-17T00:00:00,GHCND:USW00003802,1649
77,",,W,",PGTM,2016-03-18T00:00:00,GHCND:USW00003802,1120
78,",,W,",PGTM,2016-03-19T00:00:00,GHCND:USW00003802,1336
79,",,W,",PGTM,2016-03-20T00:00:00,GHCND:USW00003802,1929
80,",,W,",PGTM,2016-03-21T00:00:00,GHCND:USW00003802,1229
81,",,W,",PGTM,2016-03-22T00:00:00,GHCND:USW00003802,1033
82,",,W,",PGTM,2016-03-23T00:00:00,GHCND:USW00003802,916
83,",,W,",PGTM,2016-03-24T00:00:00,GHCND:USW00003802,1917
84,",,W,",PGTM,2016-03-25T00:00:00,GHCND:USW00003802,319
85,",,W,",PGTM,2016-03-26T00:00:00,GHCND:USW00003802,1534
86,",,W,",PGTM,2016-03-27T00:00:00,GHCND:USW00003802,2019
87,",,W,",PGTM,2016-03-28T00:00:00,GHCND:USW00003802,542
88,",,W,",PGTM,2016-03-29T00:00:00,GHCND:USW00003802,1118
89,",,W,",PGTM,2016-03-30T00:00:00,GHCND:USW00003802,1428
90,",,W,",PGTM,2016-03-31T00:00:00,GHCND:USW00003802,1315
91,",,W,",PGTM,2016-04-01T00:00:00,GHCND:USW00003802,1548
92,",,W,",PGTM,2016-04-02T00:00:00,GHCND:USW00003802,1921
93,",,W,",PGTM,2016-04-03T00:00:00,GHCND:USW00003802,18
94,",,W,",PGTM,2016-04-04T00:00:00,GHCND:USW00003802,907
95,",,W,",PGTM,2016-04-05T00:00:00,GHCND:USW00003802,101
96,",,W,",PGTM,2016-04-06T00:00:00,GHCND:USW00003802,2142
97,",,W,",PGTM,2016-04-07T00:00:00,GHCND:USW00003802,133
98,",,W,",PGTM,2016-04-08T00:00:00,GHCND:USW00003802,37
99,",,W,",PGTM,2016-04-09T00:00:00,GHCND:USW00003802,1126
100,",,W,",PGTM,2016-04-10T00:00:00,GHCND:USW00003802,2212
101,",,W,",PGTM,2016-04-11T00:00:00,GHCND:USW00003802,1102
102,",,W,",PGTM,2016-04-12T00:00:00,GHCND:USW00003802,345
103,",,W,",PGTM,2016-04-13T00:00:00,GHCND:USW00003802,1037
104,",,W,",PGTM,2016-04-14T00:00:00,GHCND:USW00003802,2046
105,",,W,",PGTM,2016-04-15T00:00:00,GHCND:USW00003802,2047
106,",,W,",PGTM,2016-04-16T00:00:00,GHCND:USW00003802,1413
107,",,W,",PGTM,2016-04-17T00:00:00,GHCND:USW00003802,1637
108,",,W,",PGTM,2016-04-18T00:00:00,GHCND:USW00003802,1348
109,",,W,",PGTM,2016-04-19T00:00:00,GHCND:USW00003802,1448
110,",,W,",PGTM,2016-04-20T00:00:00,GHCND:USW00003802,1153
111,",,W,",PGTM,2016-04-21T00:00:00,GHCND:USW00003802,955
112,",,W,",PGTM,2016-04-22T00:00:00,GHCND:USW00003802,2132
113,",,W,",PGTM,2016-04-23T00:00:00,GHCND:USW00003802,1039
114,",,W,",PGTM,2016-04-24T00:00:00,GHCND:USW00003802,1541
115,",,W,",PGTM,2016-04-25T00:00:00,GHCND:USW00003802,1602
116,",,W,",PGTM,2016-04-26T00:00:00,GHCND:USW00003802,727
117,",,W,",PGTM,2016-04-27T00:00:00,GHCND:USW00003802,557
118,",,W,",PGTM,2016-04-28T00:00:00,GHCND:USW00003802,1644
119,",,W,",PGTM,2016-04-29T00:00:00,GHCND:USW00003802,1650
120,",,W,",PGTM,2016-04-30T00:00:00,GHCND:USW00003802,2217
121,",,W,",PGTM,2016-05-01T00:00:00,GHCND:USW00003802,1846
122,",,W,",PGTM,2016-05-02T00:00:00,GHCND:USW00003802,1714
123,",,W,",PGTM,2016-05-03T00:00:00,GHCND:USW00003802,1701
124,",,W,",PGTM,2016-05-04T00:00:00,GHCND:USW00003802,1233
125,",,W,",PGTM,2016-05-05T00:00:00,GHCND:USW00003802,1410
126,",,W,",PGTM,2016-05-06T00:00:00,GHCND:USW00003802,1748
127,",,W,",PGTM,2016-05-07T00:00:00,GHCND:USW00003802,1730
128,",,W,",PGTM,2016-05-08T00:00:00,GHCND:USW00003802,1305
129,",,W,",PGTM,2016-05-09T00:00:00,GHCND:USW00003802,1751
130,",,W,",PGTM,2016-05-10T00:00:00,GHCND:USW00003802,2116
131,",,W,",PGTM,2016-05-11T00:00:00,GHCND:USW00003802,1602
132,",,W,",PGTM,2016-05-12T00:00:00,GHCND:USW00003802,1445
133,",,W,",PGTM,2016-05-13T00:00:00,GHCND:USW00003802,555
134,",,W,",PGTM,2016-05-14T00:00:00,GHCND:USW00003802,1349
135,",,W,",PGTM,2016-05-15T00:00:00,GHCND:USW00003802,1340
136,",,W,",PGTM,2016-05-16T00:00:00,GHCND:USW00003802,1546
137,",,W,",PGTM,2016-05-17T00:00:00,GHCND:USW00003802,2358
138,",,W,",PGTM,2016-05-18T00:00:00,GHCND:USW00003802,1505
139,",,W,",PGTM,2016-05-19T00:00:00,GHCND:USW00003802,1451
140,",,W,",PGTM,2016-05-20T00:00:00,GHCND:USW00003802,1200
141,",,W,",PGTM,2016-05-21T00:00:00,GHCND:USW00003802,1506
142,",,W,",PGTM,2016-05-22T00:00:00,GHCND:USW00003802,1638
143,",,W,",PGTM,2016-05-23T00:00:00,GHCND:USW00003802,1608
144,",,W,",PGTM,2016-05-24T00:00:00,GHCND:USW00003802,1607
145,",,W,",PGTM,2016-05-25T00:00:00,GHCND:USW00003802,1153
146,",,W,",PGTM,2016-05-26T00:00:00,GHCND:USW00003802,1415
147,",,W,",PGTM,2016-05-27T00:00:00,GHCND:USW00003802,1434
148,",,W,",PGTM,2016-05-28T00:00:00,GHCND:USW00003802,947
149,",,W,",PGTM,2016-05-29T00:00:00,GHCND:USW00003802,1314
150,",,W,",PGTM,2016-05-30T00:00:00,GHCND:USW00003802,1415
151,",,W,",PGTM,2016-05-31T00:00:00,GHCND:USW00003802,1144
152,",,W,",PGTM,2016-06-01T00:00:00,GHCND:USW00003802,1521
153,",,W,",PGTM,2016-06-02T00:00:00,GHCND:USW00003802,1653
154,",,W,",PGTM,2016-06-03T00:00:00,GHCND:USW00003802,1158
155,",,W,",PGTM,2016-06-04T00:00:00,GHCND:USW00003802,1347
156,",,W,",PGTM,2016-06-05T00:00:00,GHCND:USW00003802,1847
157,",,W,",PGTM,2016-06-06T00:00:00,GHCND:USW00003802,1746
158,",,W,",PGTM,2016-06-07T00:00:00,GHCND:USW00003802,1252
159,",,W,",PGTM,2016-06-08T00:00:00,GHCND:USW00003802,1104
160,",,W,",PGTM,2016-06-09T00:00:00,GHCND:USW00003802,1452
161,",,W,",PGTM,2016-06-10T00:00:00,GHCND:USW00003802,1359
162,",,W,",PGTM,2016-06-11T00:00:00,GHCND:USW00003802,1540
163,",,W,",PGTM,2016-06-12T00:00:00,GHCND:USW00003802,1244
