,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00003802,230
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00003802,220
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00003802,240
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00003802,340
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00003802,350
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00003802,220
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00003802,220
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00003802,180
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00003802,110
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00003802,250
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00003802,260
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00003802,290
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00003802,260
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00003802,250
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00003802,190
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00003802,290
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00003802,300
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00003802,280
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00003802,290
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00003802,270
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00003802,290
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00003802,50
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00003802,20
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00003802,220
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00003802,240
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00003802,210
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00003802,250
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00003802,210
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00003802,290
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00003802,210
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00003802,210
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00003802,340
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00003802,170
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00003802,170
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00003802,320
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00003802,280
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00003802,220
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00003802,190
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00003802,220
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00003802,230
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00003802,250
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00003802,280
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00003802,290
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00003802,290
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00003802,20
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00003802,120
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00003802,270
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00003802,270
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00003802,30
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00003802,200
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00003802,220
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00003802,30
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00003802,30
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00003802,90
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00003802,230
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00003802,240
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00003802,310
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00003802,230
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00003802,220
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00003802,250
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00003802,190
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00003802,270
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00003802,230
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00003802,280
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00003802,220
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00003802,210
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00003802,220
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00003802,240
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00003802,250
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00003802,260
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00003802,10
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00003802,270
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00003802,80
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00003802,260
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00003802,260
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00003802,240
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00003802,270
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00003802,290
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00003802,30
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00003802,300
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00003802,280
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00003802,240
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00003802,240
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00003802,210
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00003802,290
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00003802,290
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00003802,160
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00003802,270
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00003802,340
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00003802,210
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00003802,210
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00003802,340
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00003802,270
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00003802,290
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00003802,240
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00003802,320
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00003802,220
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00003802,210
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00003802,240
99,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00003802,290
100,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00003802,170
101,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00003802,220
102,",,W,",WDF2,2016-04-12T00:00:00,GHCND:USW00003802,340
103,",,W,",WDF2,2016-04-13T00:00:00,GHCND:USW00003802,30
104,",,W,",WDF2,2016-04-14T00:00:00,GHCND:USW00003802,80
105,",,W,",WDF2,2016-04-15T00:00:00,GHCND:USW00003802,90
106,",,W,",WDF2,2016-04-16T00:00:00,GHCND:USW00003802,340
107,",,W,",WDF2,2016-04-17T00:00:00,GHCND:USW00003802,40
108,",,W,",WDF2,2016-04-18T00:00:00,GHCND:USW00003802,280
109,",,W,",WDF2,2016-04-19T00:00:00,GHCND:USW00003802,20
110,",,W,",WDF2,2016-04-20T00:00:00,GHCND:USW00003802,80
111,",,W,",WDF2,2016-04-21T00:00:00,GHCND:USW00003802,250
112,",,W,",WDF2,2016-04-22T00:00:00,GHCND:USW00003802,280
113,",,W,",WDF2,2016-04-23T00:00:00,GHCND:USW00003802,350
114,",,W,",WDF2,2016-04-24T00:00:00,GHCND:USW00003802,250
115,",,W,",WDF2,2016-04-25T00:00:00,GHCND:USW00003802,220
116,",,W,",WDF2,2016-04-26T00:00:00,GHCND:USW00003802,350
117,",,W,",WDF2,2016-04-27T00:00:00,GHCND:USW00003802,20
118,",,W,",WDF2,2016-04-28T00:00:00,GHCND:USW00003802,350
119,",,W,",WDF2,2016-04-29T00:00:00,GHCND:USW00003802,310
120,",,W,",WDF2,2016-04-30T00:00:00,GHCND:USW00003802,120
121,",,W,",WDF2,2016-05-01T00:00:00,GHCND:USW00003802,40
122,",,W,",WDF2,2016-05-02T00:00:00,GHCND:USW00003802,240
123,",,W,",WDF2,2016-05-03T00:00:00,GHCND:USW00003802,310
124,",,W,",WDF2,2016-05-04T00:00:00,GHCND:USW00003802,230
125,",,W,",WDF2,2016-05-05T00:00:00,GHCND:USW00003802,300
126,",,W,",WDF2,2016-05-06T00:00:00,GHCND:USW00003802,10
127,",,W,",WDF2,2016-05-07T00:00:00,GHCND:USW00003802,240
128,",,W,",WDF2,2016-05-08T00:00:00,GHCND:USW00003802,310
129,",,W,",WDF2,2016-05-09T00:00:00,GHCND:USW00003802,20
130,",,W,",WDF2,2016-05-10T00:00:00,GHCND:USW00003802,280
131,",,W,",WDF2,2016-05-11T00:00:00,GHCND:USW00003802,270
132,",,W,",WDF2,2016-05-12T00:00:00,GHCND:USW00003802,230
133,",,W,",WDF2,2016-05-13T00:00:00,GHCND:USW00003802,310
134,",,W,",WDF2,2016-05-14T00:00:00,GHCND:USW00003802,290
135,",,W,",WDF2,2016-05-15T00:00:00,GHCND:USW00003802,290
136,",,W,",WDF2,2016-05-16T00:00:00,GHCND:USW00003802,210
137,",,W,",WDF2,2016-05-17T00:00:00,GHCND:USW00003802,80
138,",,W,",WDF2,2016-05-18T00:00:00,GHCND:USW00003802,20
139,",,W,",WDF2,2016-05-19T00:00:00,GHCND:USW00003802,40
140,",,W,",WDF2,2016-05-20T00:00:00,GHCND:USW00003802,110
141,",,W,",WDF2,2016-05-21T00:00:00,GHCND:USW00003802,320
142,",,W,",WDF2,2016-05-22T00:00:00,GHCND:USW00003802,50
143,",,W,",WDF2,2016-05-23T00:00:00,GHCND:USW00003802,80
144,",,W,",WDF2,2016-05-24T00:00:00,GHCND:USW00003802,300
145,",,W,",WDF2,2016-05-25T00:00:00,GHCND:USW00003802,250
146,",,W,",WDF2,2016-05-26T00:00:00,GHCND:USW00003802,220
147,",,W,",WDF2,2016-05-27T00:00:00,GHCND:USW00003802,220
148,",,W,",WDF2,2016-05-28T00:00:00,GHCND:USW00003802,220
149,",,W,",WDF2,2016-05-29T00:00:00,GHCND:USW00003802,220
150,",,W,",WDF2,2016-05-30T00:00:00,GHCND:USW00003802,360
151,",,W,",WDF2,2016-05-31T00:00:00,GHCND:USW00003802,10
152,",,W,",WDF2,2016-06-01T00:00:00,GHCND:USW00003802,200
153,",,W,",WDF2,2016-06-02T00:00:00,GHCND:USW00003802,300
154,",,W,",WDF2,2016-06-03T00:00:00,GHCND:USW00003802,290
155,",,W,",WDF2,2016-06-04T00:00:00,GHCND:USW00003802,160
156,",,W,",WDF2,2016-06-05T00:00:00,GHCND:USW00003802,280
157,",,W,",WDF2,2016-06-06T00:00:00,GHCND:USW00003802,210
158,",,W,",WDF2,2016-06-07T00:00:00,GHCND:USW00003802,310
159,",,W,",WDF2,2016-06-08T00:00:00,GHCND:USW00003802,300
160,",,W,",WDF2,2016-06-09T00:00:00,GHCND:USW00003802,290
161,",,W,",WDF2,2016-06-10T00:00:00,GHCND:USW00003802,230
162,",,W,",WDF2,2016-06-11T00:00:00,GHCND:USW00003802,250
163,",,W,",WDF2,2016-06-12T00:00:00,GHCND:USW00003802,310
164,",,W,",WDF2,2016-06-13T00:00:00,GHCND:USW00003802,280
165,",,W,",WDF2,2016-06-14T00:00:00,GHCND:USW00003802,50
166,",,W,",WDF2,2016-06-15T00:00:00,GHCND:USW00003802,210
167,",,W,",WDF2,2016-06-16T00:00:00,GHCND:USW00003802,320
168,",,W,",WDF2,2016-06-17T00:00:00,GHCND:USW00003802,80
169,",,W,",WDF2,2016-06-18T00:00:00,GHCND:USW00003802,10
170,",,W,",WDF2,2016-06-19T00:00:00,GHCND:USW00003802,260
171,",,W,",WDF2,2016-06-20T00:00:00,GHCND:USW00003802,230
172,",,W,",WDF2,2016-06-21T00:00:00,GHCND:USW00003802,20
173,",,W,",WDF2,2016-06-22T00:00:00,GHCND:USW00003802,230
174,",,W,",WDF2,2016-06-23T00:00:00,GHCND:USW00003802,30
175,",,W,",WDF2,2016-06-24T00:00:00,GHCND:USW00003802,20
176,",,W,",WDF2,2016-06-25T00:00:00,GHCND:USW00003802,90
177,",,W,",WDF2,2016-06-26T00:00:00,GHCND:USW00003802,230
178,",,W,",WDF2,2016-06-27T00:00:00,GHCND:USW00003802,200
179,",,W,",WDF2,2016-06-28T00:00:00,GHCND:USW00003802,300
180,",,W,",WDF2,2016-06-29T00:00:00,GHCND:USW00003802,300
181,",,W,",WDF2,2016-06-30T00:00:00,GHCND:USW00003802,190
182,",,W,",WDF2,2016-07-01T00:00:00,GHCND:USW00003802,230
183,",,W,",WDF2,2016-07-02T00:00:00,GHCND:USW00003802,30
184,",,W,",WDF2,2016-07-03T00:00:00,GHCND:USW00003802,210
185,",,W,",WDF2,2016-07-04T00:00:00,GHCND:USW00003802,300
186,",,W,",WDF2,2016-07-05T00:00:00,GHCND:USW00003802,230
187,",,W,",WDF2,2016-07-06T00:00:00,GHCND:USW00003802,250
188,",,W,",WDF2,2016-07-07T00:00:00,GHCND:USW00003802,220
189,",,W,",WDF2,2016-07-08T00:00:00,GHCND:USW00003802,230
190,",,W,",WDF2,2016-07-09T00:00:00,GHCND:USW00003802,290
191,",,W,",WDF2,2016-07-10T00:00:00,GHCND:USW00003802,320
192,",,W,",WDF2,2016-07-11T00:00:00,GHCND:USW00003802,40
193,",,W,",WDF2,2016-07-12T00:00:00,GHCND:USW00003802,220
194,",,W,",WDF2,2016-07-13T00:00:00,GHCND:USW00003802,210
195,",,W,",WDF2,2016-07-14T00:00:00,GHCND:USW00003802,210
196,",,W,",WDF2,2016-07-15T00:00:00,GHCND:USW00003802,300
197,",,W,",WDF2,2016-07-16T00:00:00,GHCND:USW00003802,260
198,",,W,",WDF2,2016-07-17T00:00:00,GHCND:USW00003802,220
199,",,W,",WDF2,2016-07-18T00:00:00,GHCND:USW00003802,270
200,",,W,",WDF2,2016-07-19T00:00:00,GHCND:USW00003802,280
201,",,W,",WDF2,2016-07-20T00:00:00,GHCND:USW00003802,320
202,",,W,",WDF2,2016-07-21T00:00:00,GHCND:USW00003802,220
203,",,W,",WDF2,2016-07-22T00:00:00,GHCND:USW00003802,220
204,",,W,",WDF2,2016-07-23T00:00:00,GHCND:USW00003802,280
205,",,W,",WDF2,2016-07-24T00:00:00,GHCND:USW00003802,210
206,",,W,",WDF2,2016-07-25T00:00:00,GHCND:USW00003802,20
207,",,W,",WDF2,2016-07-26T00:00:00,GHCND:USW00003802,210
208,",,W,",WDF2,2016-07-27T00:00:00,GHCND:USW00003802,230
209,",,W,",WDF2,2016-07-28T00:00:00,GHCND:USW00003802,340
210,",,W,",WDF2,2016-07-29T00:00:00,GHCND:USW00003802,100
211,",,W,",WDF2,2016-07-30T00:00:00,GHCND:USW00003802,210
212,",,W,",WDF2,2016-07-31T00:00:00,GHCND:USW00003802,280
213,",,W,",WDF2,2016-08-01T00:00:00,GHCND:USW00003802,270
214,",,W,",WDF2,2016-08-02T00:00:00,GHCND:USW00003802,10
215,",,W,",WDF2,2016-08-03T00:00:00,GHCND:USW00003802,180
216,",,W,",WDF2,2016-08-04T00:00:00,GHCND:USW00003802,140
217,",,W,",WDF2,2016-08-05T00:00:00,GHCND:USW00003802,190
218,",,W,",WDF2,2016-08-06T00:00:00,GHCND:USW00003802,360
219,",,W,",WDF2,2016-08-07T00:00:00,GHCND:USW00003802,40
220,",,W,",WDF2,2016-08-08T00:00:00,GHCND:USW00003802,200
221,",,W,",WDF2,2016-08-09T00:00:00,GHCND:USW00003802,140
222,",,W,",WDF2,2016-08-10T00:00:00,GHCND:USW00003802,180
223,",,W,",WDF2,2016-08-11T00:00:00,GHCND:USW00003802,230
224,",,W,",WDF2,2016-08-12T00:00:00,GHCND:USW00003802,210
225,",,W,",WDF2,2016-08-13T00:00:00,GHCND:USW00003802,250
226,",,W,",WDF2,2016-08-14T00:00:00,GHCND:USW00003802,260
227,",,W,",WDF2,2016-08-15T00:00:00,GHCND:USW00003802,300
228,",,W,",WDF2,2016-08-16T00:00:00,GHCND:USW00003802,230
229,",,W,",WDF2,2016-08-17T00:00:00,GHCND:USW00003802,210
230,",,W,",WDF2,2016-08-18T00:00:00,GHCND:USW00003802,300
231,",,W,",WDF2,2016-08-19T00:00:00,GHCND:USW00003802,300
232,",,W,",WDF2,2016-08-20T00:00:00,GHCND:USW00003802,210
233,",,W,",WDF2,2016-08-21T00:00:00,GHCND:USW00003802,280
234,",,W,",WDF2,2016-08-22T00:00:00,GHCND:USW00003802,270
235,",,W,",WDF2,2016-08-23T00:00:00,GHCND:USW00003802,210
236,",,W,",WDF2,2016-08-24T00:00:00,GHCND:USW00003802,240
