,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00094822,230
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00094822,240
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00094822,330
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00094822,10
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00094822,190
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00094822,190
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00094822,150
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00094822,120
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00094822,340
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00094822,340
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00094822,280
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00094822,300
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00094822,180
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00094822,200
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00094822,320
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00094822,280
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00094822,280
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00094822,290
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00094822,330
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00094822,260
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00094822,20
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00094822,10
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00094822,10
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00094822,220
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00094822,230
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00094822,270
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00094822,220
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00094822,270
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00094822,160
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00094822,300
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00094822,290
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00094822,240
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00094822,60
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00094822,290
34,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00094822,320
35,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00094822,240
36,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00094822,260
37,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00094822,310
38,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00094822,320
39,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00094822,340
40,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00094822,330
41,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00094822,300
42,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00094822,10
43,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00094822,130
44,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00094822,280
45,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00094822,320
46,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00094822,30
47,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00094822,150
48,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00094822,270
49,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00094822,250
50,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00094822,60
51,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00094822,80
52,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00094822,50
53,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00094822,20
54,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00094822,350
