,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00094822,23.9
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00094822,25.9
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00094822,19.0
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00094822,21.0
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00094822,19.0
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00094822,17.0
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00094822,19.0
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00094822,18.1
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00094822,30.0
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00094822,33.1
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00094822,28.0
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00094822,36.0
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00094822,23.9
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00094822,19.0
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00094822,21.9
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00094822,31.1
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00094822,29.1
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00094822,21.9
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00094822,16.1
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00094822,15.0
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00094822,14.1
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00094822,23.9
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00094822,13.0
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00094822,19.9
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00094822,21.0
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00094822,29.1
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00094822,28.0
27,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00094822,23.9
28,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00094822,28.0
29,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00094822,19.0
30,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00094822,12.1
31,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00094822,15.0
32,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00094822,35.1
33,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00094822,28.0
34,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00094822,21.0
35,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00094822,19.9
36,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00094822,25.9
37,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00094822,25.1
38,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00094822,27.1
39,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00094822,23.0
40,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00094822,14.1
41,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00094822,36.9
42,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00094822,25.9
43,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00094822,29.1
44,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00094822,15.0
45,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00094822,12.1
46,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00094822,17.0
47,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00094822,36.9
48,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00094822,61.1
49,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00094822,32.0
50,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00094822,15.0
51,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00094822,12.1
52,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00094822,19.0
53,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00094822,38.0
54,",,W,",WSF5,2016-02-25T00:00:00,GHCND:USW00094822,32.0
55,",,W,",WSF5,2016-02-26T00:00:00,GHCND:USW00094822,18.1
56,",,W,",WSF5,2016-02-27T00:00:00,GHCND:USW00094822,23.0
57,",,W,",WSF5,2016-02-28T00:00:00,GHCND:USW00094822,44.1
58,",,W,",WSF5,2016-02-29T00:00:00,GHCND:USW00094822,31.1
59,",,W,",WSF5,2016-03-01T00:00:00,GHCND:USW00094822,32.0
60,",,W,",WSF5,2016-03-02T00:00:00,GHCND:USW00094822,17.0
61,",,W,",WSF5,2016-03-03T00:00:00,GHCND:USW00094822,19.0
62,",,W,",WSF5,2016-03-04T00:00:00,GHCND:USW00094822,19.9
63,",,W,",WSF5,2016-03-05T00:00:00,GHCND:USW00094822,23.9
64,",,W,",WSF5,2016-03-06T00:00:00,GHCND:USW00094822,31.1
65,",,W,",WSF5,2016-03-07T00:00:00,GHCND:USW00094822,25.9
66,",,W,",WSF5,2016-03-08T00:00:00,GHCND:USW00094822,33.1
67,",,W,",WSF5,2016-03-09T00:00:00,GHCND:USW00094822,25.9
68,",,W,",WSF5,2016-03-10T00:00:00,GHCND:USW00094822,16.1
69,",,W,",WSF5,2016-03-11T00:00:00,GHCND:USW00094822,19.0
70,",,W,",WSF5,2016-03-12T00:00:00,GHCND:USW00094822,15.0
71,",,W,",WSF5,2016-03-13T00:00:00,GHCND:USW00094822,23.9
72,",,W,",WSF5,2016-03-14T00:00:00,GHCND:USW00094822,13.0
73,",,W,",WSF5,2016-03-15T00:00:00,GHCND:USW00094822,28.0
74,",,W,",WSF5,2016-03-16T00:00:00,GHCND:USW00094822,50.1
75,",,W,",WSF5,2016-03-17T00:00:00,GHCND:USW00094822,36.0
76,",,W,",WSF5,2016-03-18T00:00:00,GHCND:USW00094822,19.0
77,",,W,",WSF5,2016-03-19T00:00:00,GHCND:USW00094822,21.0
78,",,W,",WSF5,2016-03-20T00:00:00,GHCND:USW00094822,23.0
79,",,W,",WSF5,2016-03-21T00:00:00,GHCND:USW00094822,18.1
80,",,W,",WSF5,2016-03-22T00:00:00,GHCND:USW00094822,25.9
81,",,W,",WSF5,2016-03-23T00:00:00,GHCND:USW00094822,32.0
82,",,W,",WSF5,2016-03-24T00:00:00,GHCND:USW00094822,34.0
83,",,W,",WSF5,2016-03-25T00:00:00,GHCND:USW00094822,15.0
84,",,W,",WSF5,2016-03-26T00:00:00,GHCND:USW00094822,21.0
85,",,W,",WSF5,2016-03-27T00:00:00,GHCND:USW00094822,21.0
86,",,W,",WSF5,2016-03-28T00:00:00,GHCND:USW00094822,21.9
87,",,W,",WSF5,2016-03-29T00:00:00,GHCND:USW00094822,23.9
88,",,W,",WSF5,2016-03-30T00:00:00,GHCND:USW00094822,31.1
89,",,W,",WSF5,2016-03-31T00:00:00,GHCND:USW00094822,36.0
90,",,W,",WSF5,2016-04-01T00:00:00,GHCND:USW00094822,34.0
91,",,W,",WSF5,2016-04-02T00:00:00,GHCND:USW00094822,53.9
92,",,W,",WSF5,2016-04-03T00:00:00,GHCND:USW00094822,40.0
93,",,W,",WSF5,2016-04-04T00:00:00,GHCND:USW00094822,25.9
94,",,W,",WSF5,2016-04-05T00:00:00,GHCND:USW00094822,29.1
95,",,W,",WSF5,2016-04-06T00:00:00,GHCND:USW00094822,27.1
96,",,W,",WSF5,2016-04-07T00:00:00,GHCND:USW00094822,29.1
97,",,W,",WSF5,2016-04-08T00:00:00,GHCND:USW00094822,40.0
98,",,W,",WSF5,2016-04-09T00:00:00,GHCND:USW00094822,23.9
99,",,W,",WSF5,2016-04-10T00:00:00,GHCND:USW00094822,36.0
100,",,W,",WSF5,2016-04-11T00:00:00,GHCND:USW00094822,38.0
101,",,W,",WSF5,2016-04-12T00:00:00,GHCND:USW00094822,21.0
102,",,W,",WSF5,2016-04-13T00:00:00,GHCND:USW00094822,23.9
103,",,W,",WSF5,2016-04-14T00:00:00,GHCND:USW00094822,21.9
104,",,W,",WSF5,2016-04-15T00:00:00,GHCND:USW00094822,21.9
105,",,W,",WSF5,2016-04-16T00:00:00,GHCND:USW00094822,21.9
106,",,W,",WSF5,2016-04-17T00:00:00,GHCND:USW00094822,19.0
107,",,W,",WSF5,2016-04-18T00:00:00,GHCND:USW00094822,23.0
108,",,W,",WSF5,2016-04-19T00:00:00,GHCND:USW00094822,21.9
109,",,W,",WSF5,2016-04-20T00:00:00,GHCND:USW00094822,25.9
110,",,W,",WSF5,2016-04-21T00:00:00,GHCND:USW00094822,29.1
111,",,W,",WSF5,2016-04-22T00:00:00,GHCND:USW00094822,23.9
112,",,W,",WSF5,2016-04-24T00:00:00,GHCND:USW00094822,21.9
113,",,W,",WSF5,2016-04-25T00:00:00,GHCND:USW00094822,36.0
114,",,W,",WSF5,2016-04-26T00:00:00,GHCND:USW00094822,28.0
115,",,W,",WSF5,2016-04-27T00:00:00,GHCND:USW00094822,36.0
116,",,W,",WSF5,2016-04-28T00:00:00,GHCND:USW00094822,34.0
117,",,W,",WSF5,2016-04-29T00:00:00,GHCND:USW00094822,19.9
118,",,W,",WSF5,2016-04-30T00:00:00,GHCND:USW00094822,38.9
119,",,W,",WSF5,2016-05-01T00:00:00,GHCND:USW00094822,23.9
120,",,W,",WSF5,2016-05-02T00:00:00,GHCND:USW00094822,21.0
121,",,W,",WSF5,2016-05-03T00:00:00,GHCND:USW00094822,36.0
122,",,W,",WSF5,2016-05-04T00:00:00,GHCND:USW00094822,33.1
123,",,W,",WSF5,2016-05-05T00:00:00,GHCND:USW00094822,21.0
124,",,W,",WSF5,2016-05-06T00:00:00,GHCND:USW00094822,21.9
125,",,W,",WSF5,2016-05-07T00:00:00,GHCND:USW00094822,33.1
126,",,W,",WSF5,2016-05-08T00:00:00,GHCND:USW00094822,19.0
127,",,W,",WSF5,2016-05-09T00:00:00,GHCND:USW00094822,31.1
128,",,W,",WSF5,2016-05-10T00:00:00,GHCND:USW00094822,23.9
129,",,W,",WSF5,2016-05-11T00:00:00,GHCND:USW00094822,32.0
130,",,W,",WSF5,2016-05-12T00:00:00,GHCND:USW00094822,31.1
131,",,W,",WSF5,2016-05-13T00:00:00,GHCND:USW00094822,33.1
132,",,W,",WSF5,2016-05-14T00:00:00,GHCND:USW00094822,30.0
133,",,W,",WSF5,2016-05-15T00:00:00,GHCND:USW00094822,27.1
134,",,W,",WSF5,2016-05-16T00:00:00,GHCND:USW00094822,25.9
135,",,W,",WSF5,2016-05-17T00:00:00,GHCND:USW00094822,23.0
136,",,W,",WSF5,2016-05-18T00:00:00,GHCND:USW00094822,19.9
137,",,W,",WSF5,2016-05-19T00:00:00,GHCND:USW00094822,18.1
138,",,W,",WSF5,2016-05-20T00:00:00,GHCND:USW00094822,17.0
139,",,W,",WSF5,2016-05-21T00:00:00,GHCND:USW00094822,21.0
140,",,W,",WSF5,2016-05-22T00:00:00,GHCND:USW00094822,17.0
141,",,W,",WSF5,2016-05-23T00:00:00,GHCND:USW00094822,29.1
142,",,W,",WSF5,2016-05-24T00:00:00,GHCND:USW00094822,23.0
143,",,W,",WSF5,2016-05-25T00:00:00,GHCND:USW00094822,38.9
144,",,W,",WSF5,2016-05-26T00:00:00,GHCND:USW00094822,36.9
145,",,W,",WSF5,2016-05-27T00:00:00,GHCND:USW00094822,40.9
146,",,W,",WSF5,2016-05-28T00:00:00,GHCND:USW00094822,36.0
147,",,W,",WSF5,2016-05-29T00:00:00,GHCND:USW00094822,25.1
148,",,W,",WSF5,2016-05-30T00:00:00,GHCND:USW00094822,23.9
149,",,W,",WSF5,2016-05-31T00:00:00,GHCND:USW00094822,30.0
150,",,W,",WSF5,2016-06-01T00:00:00,GHCND:USW00094822,23.0
151,",,W,",WSF5,2016-06-02T00:00:00,GHCND:USW00094822,21.9
152,",,W,",WSF5,2016-06-03T00:00:00,GHCND:USW00094822,19.9
153,",,W,",WSF5,2016-06-04T00:00:00,GHCND:USW00094822,21.9
154,",,W,",WSF5,2016-06-05T00:00:00,GHCND:USW00094822,34.0
