,attributes,datatype,date,station,value
0,",,7,",AWND,2016-01-04T00:00:00,GHCND:USC00237862,8.9
1,",,7,",AWND,2016-01-05T00:00:00,GHCND:USC00237862,4.0
2,",,7,",AWND,2016-01-07T00:00:00,GHCND:USC00237862,2.9
3,",,7,",AWND,2016-01-08T00:00:00,GHCND:USC00237862,2.0
4,",,7,",AWND,2016-01-09T00:00:00,GHCND:USC00237862,8.1
5,",,7,",AWND,2016-01-10T00:00:00,GHCND:USC00237862,8.9
6,",,7,",AWND,2016-01-11T00:00:00,GHCND:USC00237862,4.9
7,",,7,",AWND,2016-01-12T00:00:00,GHCND:USC00237862,17.9
8,",,7,",AWND,2016-01-13T00:00:00,GHCND:USC00237862,4.9
9,",,7,",AWND,2016-01-14T00:00:00,GHCND:USC00237862,6.9
10,",,7,",AWND,2016-01-15T00:00:00,GHCND:USC00237862,11.0
11,",,7,",AWND,2016-01-19T00:00:00,GHCND:USC00237862,8.9
12,",,7,",AWND,2016-01-20T00:00:00,GHCND:USC00237862,0.9
13,",,7,",AWND,2016-01-21T00:00:00,GHCND:USC00237862,8.1
14,",,7,",AWND,2016-01-22T00:00:00,GHCND:USC00237862,6.9
15,",,7,",AWND,2016-01-25T00:00:00,GHCND:USC00237862,4.9
16,",,7,",AWND,2016-01-26T00:00:00,GHCND:USC00237862,11.0
17,",,7,",AWND,2016-01-27T00:00:00,GHCND:USC00237862,2.9
18,",,7,",AWND,2016-01-28T00:00:00,GHCND:USC00237862,8.1
19,",,7,",AWND,2016-01-29T00:00:00,GHCND:USC00237862,6.9
20,",,7,",AWND,2016-02-01T00:00:00,GHCND:USC00237862,4.9
21,",,7,",AWND,2016-02-02T00:00:00,GHCND:USC00237862,8.1
22,",,7,",AWND,2016-02-03T00:00:00,GHCND:USC00237862,19.9
23,",,7,",AWND,2016-02-04T00:00:00,GHCND:USC00237862,6.0
24,",,7,",AWND,2016-02-05T00:00:00,GHCND:USC00237862,2.0
25,",,7,",AWND,2016-02-08T00:00:00,GHCND:USC00237862,28.0
26,",,7,",AWND,2016-02-09T00:00:00,GHCND:USC00237862,13.0
27,",,7,",AWND,2016-02-10T00:00:00,GHCND:USC00237862,6.0
28,",,7,",AWND,2016-02-11T00:00:00,GHCND:USC00237862,13.0
29,",,7,",AWND,2016-02-12T00:00:00,GHCND:USC00237862,6.0
30,",,7,",AWND,2016-02-16T00:00:00,GHCND:USC00237862,21.9
31,",,7,",AWND,2016-02-17T00:00:00,GHCND:USC00237862,2.9
32,",,7,",AWND,2016-02-18T00:00:00,GHCND:USC00237862,10.1
33,",,7,",AWND,2016-02-19T00:00:00,GHCND:USC00237862,14.1
34,",,7,",AWND,2016-02-22T00:00:00,GHCND:USC00237862,2.9
