,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014920,300
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014920,270
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014920,350
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014920,330
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014920,200
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014920,180
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014920,150
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014920,330
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014920,330
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014920,320
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014920,320
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014920,320
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014920,200
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014920,90
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014920,340
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014920,310
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014920,320
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014920,330
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014920,180
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014920,190
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014920,330
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014920,60
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014920,170
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014920,230
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014920,310
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014920,310
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014920,220
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014920,360
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014920,170
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014920,230
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014920,330
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014920,150
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014920,40
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014920,320
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014920,170
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014920,180
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014920,180
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014920,310
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014920,320
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014920,340
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014920,330
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014920,210
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014920,330
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014920,330
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014920,150
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014920,160
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014920,310
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00014920,140
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014920,150
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014920,270
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014920,290
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014920,310
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014920,130
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014920,170
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00014920,360
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00014920,350
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00014920,280
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00014920,200
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00014920,310
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00014920,340
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00014920,310
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00014920,190
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00014920,100
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00014920,230
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00014920,350
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00014920,170
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00014920,170
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00014920,220
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00014920,270
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00014920,320
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00014920,160
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00014920,180
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00014920,150
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00014920,160
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00014920,70
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00014920,270
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00014920,260
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00014920,280
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00014920,70
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00014920,320
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00014920,160
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00014920,100
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00014920,30
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00014920,360
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00014920,180
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00014920,160
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00014920,330
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00014920,350
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00014920,170
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00014920,140
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00014920,50
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00014920,320
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00014920,320
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00014920,320
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00014920,340
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00014920,150
96,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00014920,350
97,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00014920,330
98,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00014920,320
99,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00014920,150
100,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00014920,310
101,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00014920,310
102,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00014920,170
103,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00014920,180
104,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00014920,180
105,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00014920,170
106,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00014920,180
107,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00014920,180
