,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00003024,240
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00003024,250
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00003024,360
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00003024,190
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00003024,190
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00003024,210
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00003024,200
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00003024,10
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00003024,330
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00003024,170
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00003024,260
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00003024,230
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00003024,210
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00003024,360
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00003024,70
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00003024,80
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00003024,40
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00003024,180
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00003024,10
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00003024,230
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00003024,350
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00003024,170
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00003024,170
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00003024,250
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00003024,350
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00003024,280
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00003024,240
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00003024,220
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00003024,350
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00003024,230
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00003024,340
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00003024,250
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00003024,260
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00003024,30
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00003024,250
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00003024,350
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00003024,200
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00003024,10
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00003024,350
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00003024,340
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00003024,250
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00003024,200
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00003024,140
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00003024,200
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00003024,340
