,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00014748,11.6
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00014748,9.6
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00014748,9.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00014748,8.5
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00014748,2.5
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00014748,0.9
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00014748,0.9
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00014748,3.6
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00014748,4.0
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00014748,13.9
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00014748,12.3
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00014748,10.3
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00014748,11.2
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00014748,5.4
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00014748,0.4
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00014748,5.1
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00014748,4.7
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00014748,15.0
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00014748,13.4
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00014748,6.3
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00014748,5.6
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00014748,4.9
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00014748,10.5
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00014748,2.9
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00014748,3.4
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00014748,9.8
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00014748,8.3
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00014748,7.4
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00014748,10.3
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00014748,5.8
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00014748,3.1
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00014748,7.8
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00014748,4.9
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00014748,6.7
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00014748,7.6
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00014748,8.5
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00014748,3.8
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00014748,1.3
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00014748,3.6
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00014748,2.9
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00014748,10.7
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00014748,11.4
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00014748,8.1
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00014748,10.3
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00014748,3.8
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00014748,4.5
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00014748,5.4
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00014748,8.5
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00014748,5.4
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00014748,4.7
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00014748,8.9
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00014748,4.9
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00014748,6.7
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00014748,4.7
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00014748,6.3
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00014748,10.3
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00014748,11.2
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00014748,10.7
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00014748,8.5
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00014748,13.4
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00014748,8.9
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00014748,16.3
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00014748,5.8
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00014748,5.8
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00014748,2.9
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00014748,2.0
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00014748,7.8
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00014748,3.1
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00014748,4.9
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00014748,4.7
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00014748,6.0
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00014748,2.9
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00014748,2.9
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00014748,4.0
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00014748,2.9
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00014748,5.1
