,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014748,290
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014748,240
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014748,270
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014748,10
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014748,10
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014748,240
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014748,80
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014748,130
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014748,210
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014748,250
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014748,250
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014748,300
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014748,270
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014748,260
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014748,150
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014748,270
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014748,320
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014748,270
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014748,290
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014748,270
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014748,290
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014748,20
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014748,10
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014748,320
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014748,180
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014748,260
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014748,300
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014748,240
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014748,280
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014748,220
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014748,210
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014748,260
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014748,160
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014748,210
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014748,270
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014748,20
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014748,240
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014748,230
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014748,140
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014748,280
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014748,280
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014748,270
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014748,220
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014748,300
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014748,310
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014748,160
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014748,280
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00014748,320
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014748,30
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014748,210
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014748,230
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014748,340
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014748,50
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014748,140
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00014748,250
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00014748,330
