,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-01-01T00:00:00,GHCND:USC00414967,83.9
1,",,7,",WDMV,2016-01-02T00:00:00,GHCND:USC00414967,47.8
2,",,7,",WDMV,2016-01-03T00:00:00,GHCND:USC00414967,95.7
3,",,7,",WDMV,2016-01-04T00:00:00,GHCND:USC00414967,42.3
4,",,7,",WDMV,2016-01-05T00:00:00,GHCND:USC00414967,36.0
5,",,7,",WDMV,2016-01-06T00:00:00,GHCND:USC00414967,101.9
6,",,7,",WDMV,2016-01-07T00:00:00,GHCND:USC00414967,108.7
7,",,7,",WDMV,2016-01-08T00:00:00,GHCND:USC00414967,144.8
8,",,7,",WDMV,2016-01-09T00:00:00,GHCND:USC00414967,93.8
9,",,7,",WDMV,2016-01-10T00:00:00,GHCND:USC00414967,75.8
10,",,7,",WDMV,2016-01-11T00:00:00,GHCND:USC00414967,49.1
11,",,7,",WDMV,2016-01-12T00:00:00,GHCND:USC00414967,65.9
12,",,7,",WDMV,2016-01-13T00:00:00,GHCND:USC00414967,75.8
13,",,7,",WDMV,2016-01-14T00:00:00,GHCND:USC00414967,106.9
14,",,7,",WDMV,2016-01-15T00:00:00,GHCND:USC00414967,208.2
15,",,7,",WDMV,2016-01-16T00:00:00,GHCND:USC00414967,93.8
16,",,7,",WDMV,2016-01-17T00:00:00,GHCND:USC00414967,67.1
17,",,7,",WDMV,2016-01-18T00:00:00,GHCND:USC00414967,98.2
18,",,7,",WDMV,2016-01-19T00:00:00,GHCND:USC00414967,113.1
19,",,7,",WDMV,2016-01-20T00:00:00,GHCND:USC00414967,101.9
20,",,7,",WDMV,2016-01-21T00:00:00,GHCND:USC00414967,103.1
21,",,7,",WDMV,2016-01-22T00:00:00,GHCND:USC00414967,177.1
22,",,7,",WDMV,2016-01-23T00:00:00,GHCND:USC00414967,49.1
23,",,7,",WDMV,2016-01-24T00:00:00,GHCND:USC00414967,139.8
24,",,7,",WDMV,2016-01-25T00:00:00,GHCND:USC00414967,144.8
25,",,7,",WDMV,2016-01-26T00:00:00,GHCND:USC00414967,96.9
26,",,7,",WDMV,2016-01-27T00:00:00,GHCND:USC00414967,65.2
27,",,7,",WDMV,2016-01-28T00:00:00,GHCND:USC00414967,131.1
28,",,7,",WDMV,2016-01-29T00:00:00,GHCND:USC00414967,67.1
29,",,7,",WDMV,2016-01-30T00:00:00,GHCND:USC00414967,152.2
30,",,7,",WDMV,2016-01-31T00:00:00,GHCND:USC00414967,220.0
31,",,7,",WDMV,2016-02-01T00:00:00,GHCND:USC00414967,34.2
32,",,7,",WDMV,2016-02-02T00:00:00,GHCND:USC00414967,182.1
33,",,7,",WDMV,2016-02-03T00:00:00,GHCND:USC00414967,172.1
34,",,7,",WDMV,2016-02-04T00:00:00,GHCND:USC00414967,62.8
35,",,7,",WDMV,2016-02-05T00:00:00,GHCND:USC00414967,47.2
36,",,7,",WDMV,2016-02-06T00:00:00,GHCND:USC00414967,92.0
37,",,7,",WDMV,2016-02-07T00:00:00,GHCND:USC00414967,95.7
38,",,7,",WDMV,2016-02-08T00:00:00,GHCND:USC00414967,126.1
39,",,7,",WDMV,2016-02-09T00:00:00,GHCND:USC00414967,174.0
40,",,7,",WDMV,2016-02-10T00:00:00,GHCND:USC00414967,57.2
41,",,7,",WDMV,2016-02-11T00:00:00,GHCND:USC00414967,169.0
42,",,7,",WDMV,2016-02-12T00:00:00,GHCND:USC00414967,62.8
43,",,7,",WDMV,2016-02-13T00:00:00,GHCND:USC00414967,62.1
44,",,7,",WDMV,2016-02-14T00:00:00,GHCND:USC00414967,183.9
45,",,7,",WDMV,2016-02-15T00:00:00,GHCND:USC00414967,42.3
46,",,7,",WDMV,2016-02-16T00:00:00,GHCND:USC00414967,103.8
47,",,7,",WDMV,2016-02-17T00:00:00,GHCND:USC00414967,75.2
48,",,7,",WDMV,2016-02-18T00:00:00,GHCND:USC00414967,165.9
49,",,7,",WDMV,2016-02-19T00:00:00,GHCND:USC00414967,205.1
50,",,7,",WDMV,2016-02-20T00:00:00,GHCND:USC00414967,111.8
51,",,7,",WDMV,2016-02-21T00:00:00,GHCND:USC00414967,60.9
52,",,7,",WDMV,2016-02-22T00:00:00,GHCND:USC00414967,124.9
53,",,7,",WDMV,2016-02-23T00:00:00,GHCND:USC00414967,136.7
54,",,7,",WDMV,2016-02-24T00:00:00,GHCND:USC00414967,185.2
55,",,7,",WDMV,2016-02-25T00:00:00,GHCND:USC00414967,139.8
56,",,7,",WDMV,2016-02-26T00:00:00,GHCND:USC00414967,70.8
57,",,7,",WDMV,2016-02-27T00:00:00,GHCND:USC00414967,96.9
58,",,7,",WDMV,2016-02-28T00:00:00,GHCND:USC00414967,190.1
59,",,7,",WDMV,2016-02-29T00:00:00,GHCND:USC00414967,73.9
60,",,7,",WDMV,2016-03-01T00:00:00,GHCND:USC00414967,164.0
61,",,7,",WDMV,2016-03-02T00:00:00,GHCND:USC00414967,108.7
62,",,7,",WDMV,2016-03-03T00:00:00,GHCND:USC00414967,165.3
63,",,7,",WDMV,2016-03-04T00:00:00,GHCND:USC00414967,95.1
64,",,7,",WDMV,2016-03-05T00:00:00,GHCND:USC00414967,98.8
65,",,7,",WDMV,2016-03-06T00:00:00,GHCND:USC00414967,124.9
66,",,7,",WDMV,2016-03-07T00:00:00,GHCND:USC00414967,203.2
67,",,7,",WDMV,2016-03-08T00:00:00,GHCND:USC00414967,116.2
68,",,7,",WDMV,2016-03-09T00:00:00,GHCND:USC00414967,98.8
69,",,7,",WDMV,2016-03-10T00:00:00,GHCND:USC00414967,46.0
70,",,7,",WDMV,2016-03-11T00:00:00,GHCND:USC00414967,128.0
71,",,7,",WDMV,2016-03-12T00:00:00,GHCND:USC00414967,106.9
72,",,7,",WDMV,2016-03-13T00:00:00,GHCND:USC00414967,177.7
73,",,7,",WDMV,2016-03-14T00:00:00,GHCND:USC00414967,121.8
74,",,7,",WDMV,2016-03-15T00:00:00,GHCND:USC00414967,188.3
75,",,7,",WDMV,2016-03-16T00:00:00,GHCND:USC00414967,103.1
76,",,7,",WDMV,2016-03-17T00:00:00,GHCND:USC00414967,80.8
77,",,7,",WDMV,2016-03-18T00:00:00,GHCND:USC00414967,59.0
