,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00024022,3.8
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00024022,3.4
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00024022,4.9
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00024022,6.3
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00024022,5.8
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00024022,7.2
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00024022,4.5
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00024022,5.6
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00024022,3.6
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00024022,6.9
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00024022,7.4
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00024022,16.6
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00024022,16.6
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00024022,18.6
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00024022,11.9
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00024022,12.3
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00024022,14.8
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00024022,16.8
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00024022,8.5
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00024022,19.5
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00024022,12.3
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00024022,6.9
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00024022,12.5
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00024022,10.7
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00024022,14.8
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00024022,8.3
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00024022,5.4
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00024022,14.3
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00024022,19.2
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00024022,15.9
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00024022,9.8
