,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00024022,40
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00024022,320
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00024022,170
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00024022,200
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00024022,220
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00024022,230
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00024022,360
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00024022,160
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00024022,220
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00024022,230
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00024022,250
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00024022,270
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00024022,220
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00024022,260
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00024022,240
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00024022,250
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00024022,300
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00024022,250
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00024022,210
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00024022,260
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00024022,300
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00024022,230
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00024022,230
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00024022,320
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00024022,320
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00024022,240
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00024022,20
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00024022,230
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00024022,230
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00024022,220
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00024022,150
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00024022,150
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00024022,100
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00024022,260
