,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-04-22T00:00:00,GHCND:USC00129670,14.9
1,",,7,",WDMV,2016-04-23T00:00:00,GHCND:USC00129670,34.8
2,",,7,",WDMV,2016-04-24T00:00:00,GHCND:USC00129670,21.7
3,",,7,",WDMV,2016-04-25T00:00:00,GHCND:USC00129670,24.2
4,",,7,",WDMV,2016-04-26T00:00:00,GHCND:USC00129670,47.8
5,",,7,",WDMV,2016-04-27T00:00:00,GHCND:USC00129670,70.2
6,",,7,",WDMV,2016-04-28T00:00:00,GHCND:USC00129670,70.8
7,",,7,",WDMV,2016-04-29T00:00:00,GHCND:USC00129670,26.1
8,",,7,",WDMV,2016-04-30T00:00:00,GHCND:USC00129670,26.1
9,",,7,",WDMV,2016-05-01T00:00:00,GHCND:USC00129670,44.1
10,",,7,",WDMV,2016-05-02T00:00:00,GHCND:USC00129670,31.7
11,",,7,",WDMV,2016-05-03T00:00:00,GHCND:USC00129670,19.9
12,",,7,",WDMV,2016-05-04T00:00:00,GHCND:USC00129670,34.2
13,",,7,",WDMV,2016-05-05T00:00:00,GHCND:USC00129670,62.1
14,",,7,",WDMV,2016-05-06T00:00:00,GHCND:USC00129670,31.7
15,",,7,",WDMV,2016-05-07T00:00:00,GHCND:USC00129670,16.8
16,",,7,",WDMV,2016-05-08T00:00:00,GHCND:USC00129670,34.2
17,",,7,",WDMV,2016-05-09T00:00:00,GHCND:USC00129670,14.3
18,",,7,",WDMV,2016-05-10T00:00:00,GHCND:USC00129670,52.8
19,",,7,",WDMV,2016-05-11T00:00:00,GHCND:USC00129670,18.0
20,",,7,",WDMV,2016-05-12T00:00:00,GHCND:USC00129670,8.7
21,",,7,",WDMV,2016-05-13T00:00:00,GHCND:USC00129670,34.8
22,",,7,",WDMV,2016-05-14T00:00:00,GHCND:USC00129670,49.1
23,",,7,",WDMV,2016-05-15T00:00:00,GHCND:USC00129670,37.9
24,",,7,",WDMV,2016-05-16T00:00:00,GHCND:USC00129670,34.2
25,",,7,",WDMV,2016-05-17T00:00:00,GHCND:USC00129670,29.2
26,",,7,",WDMV,2016-05-18T00:00:00,GHCND:USC00129670,16.8
27,",,7,",WDMV,2016-05-19T00:00:00,GHCND:USC00129670,24.2
28,",,7,",WDMV,2016-05-20T00:00:00,GHCND:USC00129670,13.0
29,",,7,",WDMV,2016-05-21T00:00:00,GHCND:USC00129670,34.8
30,",,7,",WDMV,2016-05-22T00:00:00,GHCND:USC00129670,31.7
31,",,7,",WDMV,2016-05-23T00:00:00,GHCND:USC00129670,34.2
32,",,7,",WDMV,2016-05-24T00:00:00,GHCND:USC00129670,14.3
33,",,7,",WDMV,2016-05-25T00:00:00,GHCND:USC00129670,19.9
34,",,7,",WDMV,2016-05-26T00:00:00,GHCND:USC00129670,34.2
