,attributes,datatype,date,station,value
0,",,7,",AWND,2016-01-01T00:00:00,GHCND:USC00418040,0.0
1,",,7,",AWND,2016-01-02T00:00:00,GHCND:USC00418040,8.1
2,",,7,",AWND,2016-01-03T00:00:00,GHCND:USC00418040,6.9
3,",,7,",AWND,2016-01-04T00:00:00,GHCND:USC00418040,4.9
4,",,7,",AWND,2016-01-05T00:00:00,GHCND:USC00418040,0.9
5,",,7,",AWND,2016-01-06T00:00:00,GHCND:USC00418040,17.9
6,",,7,",AWND,2016-01-07T00:00:00,GHCND:USC00418040,0.0
7,",,7,",AWND,2016-01-08T00:00:00,GHCND:USC00418040,6.0
8,",,7,",AWND,2016-01-09T00:00:00,GHCND:USC00418040,4.9
9,",,7,",AWND,2016-01-10T00:00:00,GHCND:USC00418040,0.9
10,",,7,",AWND,2016-01-11T00:00:00,GHCND:USC00418040,6.9
11,",,7,",AWND,2016-01-12T00:00:00,GHCND:USC00418040,0.9
12,",,7,",AWND,2016-01-13T00:00:00,GHCND:USC00418040,2.9
13,",,7,",AWND,2016-01-14T00:00:00,GHCND:USC00418040,8.1
14,",,7,",AWND,2016-01-15T00:00:00,GHCND:USC00418040,4.9
15,",,7,",AWND,2016-01-16T00:00:00,GHCND:USC00418040,0.9
16,",,7,",AWND,2016-01-17T00:00:00,GHCND:USC00418040,4.0
17,",,7,",AWND,2016-01-18T00:00:00,GHCND:USC00418040,2.9
18,",,7,",AWND,2016-01-19T00:00:00,GHCND:USC00418040,6.0
19,",,7,",AWND,2016-01-20T00:00:00,GHCND:USC00418040,0.0
20,",,7,",AWND,2016-01-21T00:00:00,GHCND:USC00418040,14.1
21,",,7,",AWND,2016-01-22T00:00:00,GHCND:USC00418040,8.1
22,",,7,",AWND,2016-01-23T00:00:00,GHCND:USC00418040,0.0
23,",,7,",AWND,2016-01-24T00:00:00,GHCND:USC00418040,12.1
24,",,7,",AWND,2016-01-25T00:00:00,GHCND:USC00418040,17.9
25,",,7,",AWND,2016-01-26T00:00:00,GHCND:USC00418040,6.0
26,",,7,",AWND,2016-01-27T00:00:00,GHCND:USC00418040,4.9
27,",,7,",AWND,2016-01-28T00:00:00,GHCND:USC00418040,2.0
28,",,7,",AWND,2016-01-29T00:00:00,GHCND:USC00418040,12.1
29,",,7,",AWND,2016-01-30T00:00:00,GHCND:USC00418040,4.9
30,",,7,",AWND,2016-01-31T00:00:00,GHCND:USC00418040,4.9
31,",,7,",AWND,2016-02-01T00:00:00,GHCND:USC00418040,4.9
32,",,7,",AWND,2016-02-02T00:00:00,GHCND:USC00418040,31.1
33,",,7,",AWND,2016-02-03T00:00:00,GHCND:USC00418040,6.0
34,",,7,",AWND,2016-02-04T00:00:00,GHCND:USC00418040,16.1
35,",,7,",AWND,2016-02-05T00:00:00,GHCND:USC00418040,11.0
36,",,7,",AWND,2016-02-06T00:00:00,GHCND:USC00418040,8.9
