,attributes,datatype,date,station,value
0,",,C,",WSFG,2016-01-01T00:00:00,GHCND:CA006127510,98.4
1,",,C,",WSFG,2016-01-02T00:00:00,GHCND:CA006127510,98.4
2,",,C,",WSFG,2016-01-03T00:00:00,GHCND:CA006127510,116.3
3,",,C,",WSFG,2016-01-04T00:00:00,GHCND:CA006127510,107.4
4,",,C,",WSFG,2016-01-05T00:00:00,GHCND:CA006127510,78.3
5,",,C,",WSFG,2016-01-06T00:00:00,GHCND:CA006127510,0.0
6,",,C,",WSFG,2016-01-07T00:00:00,GHCND:CA006127510,111.8
7,",,C,",WSFG,2016-01-08T00:00:00,GHCND:CA006127510,0.0
8,",,C,",WSFG,2016-01-09T00:00:00,GHCND:CA006127510,0.0
9,",,C,",WSFG,2016-01-10T00:00:00,GHCND:CA006127510,161.1
10,",,C,",WSFG,2016-01-11T00:00:00,GHCND:CA006127510,98.4
11,",,C,",WSFG,2016-01-12T00:00:00,GHCND:CA006127510,125.3
12,",,C,",WSFG,2016-01-13T00:00:00,GHCND:CA006127510,98.4
13,",,C,",WSFG,2016-01-14T00:00:00,GHCND:CA006127510,73.8
14,",,C,",WSFG,2016-01-15T00:00:00,GHCND:CA006127510,73.8
15,",,C,",WSFG,2016-01-16T00:00:00,GHCND:CA006127510,107.4
16,",,C,",WSFG,2016-01-17T00:00:00,GHCND:CA006127510,107.4
17,",,C,",WSFG,2016-01-18T00:00:00,GHCND:CA006127510,111.8
18,",,C,",WSFG,2016-01-19T00:00:00,GHCND:CA006127510,87.2
19,",,C,",WSFG,2016-01-20T00:00:00,GHCND:CA006127510,0.0
20,",,C,",WSFG,2016-01-21T00:00:00,GHCND:CA006127510,0.0
21,",,C,",WSFG,2016-01-22T00:00:00,GHCND:CA006127510,78.3
22,",,C,",WSFG,2016-01-23T00:00:00,GHCND:CA006127510,98.4
23,",,C,",WSFG,2016-01-24T00:00:00,GHCND:CA006127510,73.8
24,",,C,",WSFG,2016-01-25T00:00:00,GHCND:CA006127510,102.9
25,",,C,",WSFG,2016-01-26T00:00:00,GHCND:CA006127510,140.9
26,",,C,",WSFG,2016-01-27T00:00:00,GHCND:CA006127510,127.5
27,",,C,",WSFG,2016-01-28T00:00:00,GHCND:CA006127510,116.3
28,",,C,",WSFG,2016-01-29T00:00:00,GHCND:CA006127510,125.3
29,",,C,",WSFG,2016-01-30T00:00:00,GHCND:CA006127510,111.8
30,",,C,",WSFG,2016-01-31T00:00:00,GHCND:CA006127510,98.4
31,",,C,",WSFG,2016-02-01T00:00:00,GHCND:CA006127510,73.8
32,",,C,",WSFG,2016-02-02T00:00:00,GHCND:CA006127510,125.3
33,",,C,",WSFG,2016-02-03T00:00:00,GHCND:CA006127510,149.9
34,",,C,",WSFG,2016-02-04T00:00:00,GHCND:CA006127510,71.6
35,",,C,",WSFG,2016-02-05T00:00:00,GHCND:CA006127510,71.6
36,",,C,",WSFG,2016-02-06T00:00:00,GHCND:CA006127510,91.7
37,",,C,",WSFG,2016-02-07T00:00:00,GHCND:CA006127510,98.4
38,",,C,",WSFG,2016-02-08T00:00:00,GHCND:CA006127510,0.0
39,",,C,",WSFG,2016-02-09T00:00:00,GHCND:CA006127510,107.4
40,",,C,",WSFG,2016-02-10T00:00:00,GHCND:CA006127510,111.8
41,",,C,",WSFG,2016-02-11T00:00:00,GHCND:CA006127510,120.8
42,",,C,",WSFG,2016-02-12T00:00:00,GHCND:CA006127510,156.6
43,",,C,",WSFG,2016-02-13T00:00:00,GHCND:CA006127510,154.3
44,",,C,",WSFG,2016-02-14T00:00:00,GHCND:CA006127510,71.6
45,",,C,",WSFG,2016-02-15T00:00:00,GHCND:CA006127510,73.8
46,",,C,",WSFG,2016-02-16T00:00:00,GHCND:CA006127510,0.0
47,",,C,",WSFG,2016-02-17T00:00:00,GHCND:CA006127510,91.7
48,",,C,",WSFG,2016-02-18T00:00:00,GHCND:CA006127510,98.4
49,",,C,",WSFG,2016-02-19T00:00:00,GHCND:CA006127510,183.4
50,",,C,",WSFG,2016-02-20T00:00:00,GHCND:CA006127510,149.9
51,",,C,",WSFG,2016-02-21T00:00:00,GHCND:CA006127510,78.3
52,",,C,",WSFG,2016-02-22T00:00:00,GHCND:CA006127510,73.8
53,",,C,",WSFG,2016-02-23T00:00:00,GHCND:CA006127510,73.8
54,",,C,",WSFG,2016-02-24T00:00:00,GHCND:CA006127510,140.9
55,",,C,",WSFG,2016-02-25T00:00:00,GHCND:CA006127510,174.5
56,",,C,",WSFG,2016-02-26T00:00:00,GHCND:CA006127510,136.5
57,",,C,",WSFG,2016-02-27T00:00:00,GHCND:CA006127510,116.3
58,",,C,",WSFG,2016-02-28T00:00:00,GHCND:CA006127510,116.3
59,",,C,",WSFG,2016-02-29T00:00:00,GHCND:CA006127510,149.9
60,",,C,",WSFG,2016-03-01T00:00:00,GHCND:CA006127510,145.4
61,",,C,",WSFG,2016-03-02T00:00:00,GHCND:CA006127510,149.9
62,",,C,",WSFG,2016-03-03T00:00:00,GHCND:CA006127510,0.0
63,",,C,",WSFG,2016-03-04T00:00:00,GHCND:CA006127510,0.0
64,",,C,",WSFG,2016-03-05T00:00:00,GHCND:CA006127510,0.0
65,",,C,",WSFG,2016-03-06T00:00:00,GHCND:CA006127510,107.4
66,",,C,",WSFG,2016-03-07T00:00:00,GHCND:CA006127510,116.3
67,",,C,",WSFG,2016-03-08T00:00:00,GHCND:CA006127510,87.2
68,",,C,",WSFG,2016-03-09T00:00:00,GHCND:CA006127510,98.4
69,",,C,",WSFG,2016-03-10T00:00:00,GHCND:CA006127510,82.8
70,",,C,",WSFG,2016-03-11T00:00:00,GHCND:CA006127510,73.8
71,",,C,",WSFG,2016-03-12T00:00:00,GHCND:CA006127510,0.0
72,",,C,",WSFG,2016-03-13T00:00:00,GHCND:CA006127510,78.3
73,",,C,",WSFG,2016-03-14T00:00:00,GHCND:CA006127510,82.8
74,",,C,",WSFG,2016-03-15T00:00:00,GHCND:CA006127510,73.8
75,",,C,",WSFG,2016-03-16T00:00:00,GHCND:CA006127510,145.4
76,",,C,",WSFG,2016-03-17T00:00:00,GHCND:CA006127510,132.0
77,",,C,",WSFG,2016-03-18T00:00:00,GHCND:CA006127510,96.2
78,",,C,",WSFG,2016-03-19T00:00:00,GHCND:CA006127510,91.7
79,",,C,",WSFG,2016-03-20T00:00:00,GHCND:CA006127510,71.6
80,",,C,",WSFG,2016-03-21T00:00:00,GHCND:CA006127510,91.7
81,",,C,",WSFG,2016-03-22T00:00:00,GHCND:CA006127510,102.9
82,",,C,",WSFG,2016-03-23T00:00:00,GHCND:CA006127510,107.4
83,",,C,",WSFG,2016-03-24T00:00:00,GHCND:CA006127510,107.4
84,",,C,",WSFG,2016-03-25T00:00:00,GHCND:CA006127510,107.4
85,",,C,",WSFG,2016-03-26T00:00:00,GHCND:CA006127510,0.0
86,",,C,",WSFG,2016-03-27T00:00:00,GHCND:CA006127510,140.9
87,",,C,",WSFG,2016-03-28T00:00:00,GHCND:CA006127510,149.9
88,",,C,",WSFG,2016-03-29T00:00:00,GHCND:CA006127510,87.2
89,",,C,",WSFG,2016-03-30T00:00:00,GHCND:CA006127510,116.3
90,",,C,",WSFG,2016-03-31T00:00:00,GHCND:CA006127510,140.9
91,",,C,",WSFG,2016-04-01T00:00:00,GHCND:CA006127510,96.2
92,",,C,",WSFG,2016-04-02T00:00:00,GHCND:CA006127510,161.1
93,",,C,",WSFG,2016-04-03T00:00:00,GHCND:CA006127510,140.9
94,",,C,",WSFG,2016-04-04T00:00:00,GHCND:CA006127510,127.5
95,",,C,",WSFG,2016-04-05T00:00:00,GHCND:CA006127510,78.3
96,",,C,",WSFG,2016-04-06T00:00:00,GHCND:CA006127510,127.5
97,",,C,",WSFG,2016-04-07T00:00:00,GHCND:CA006127510,111.8
98,",,C,",WSFG,2016-04-08T00:00:00,GHCND:CA006127510,107.4
99,",,C,",WSFG,2016-04-09T00:00:00,GHCND:CA006127510,127.5
100,",,C,",WSFG,2016-04-10T00:00:00,GHCND:CA006127510,120.8
101,",,C,",WSFG,2016-04-11T00:00:00,GHCND:CA006127510,102.9
102,",,C,",WSFG,2016-04-12T00:00:00,GHCND:CA006127510,102.9
103,",,C,",WSFG,2016-04-13T00:00:00,GHCND:CA006127510,0.0
104,",,C,",WSFG,2016-04-14T00:00:00,GHCND:CA006127510,82.8
105,",,C,",WSFG,2016-04-15T00:00:00,GHCND:CA006127510,0.0
106,",,C,",WSFG,2016-04-16T00:00:00,GHCND:CA006127510,0.0
107,",,C,",WSFG,2016-04-17T00:00:00,GHCND:CA006127510,0.0
108,",,C,",WSFG,2016-04-18T00:00:00,GHCND:CA006127510,102.9
109,",,C,",WSFG,2016-04-19T00:00:00,GHCND:CA006127510,111.8
110,",,C,",WSFG,2016-04-20T00:00:00,GHCND:CA006127510,91.7
111,",,C,",WSFG,2016-04-21T00:00:00,GHCND:CA006127510,91.7
112,",,C,",WSFG,2016-04-22T00:00:00,GHCND:CA006127510,111.8
113,",,C,",WSFG,2016-04-23T00:00:00,GHCND:CA006127510,98.4
114,",,C,",WSFG,2016-04-24T00:00:00,GHCND:CA006127510,0.0
115,",,C,",WSFG,2016-04-25T00:00:00,GHCND:CA006127510,107.4
116,",,C,",WSFG,2016-04-26T00:00:00,GHCND:CA006127510,87.2
117,",,C,",WSFG,2016-04-27T00:00:00,GHCND:CA006127510,78.3
118,",,C,",WSFG,2016-04-28T00:00:00,GHCND:CA006127510,78.3
119,",,C,",WSFG,2016-04-29T00:00:00,GHCND:CA006127510,78.3
120,",,C,",WSFG,2016-04-30T00:00:00,GHCND:CA006127510,82.8
121,",,C,",WSFG,2016-05-01T00:00:00,GHCND:CA006127510,73.8
122,",,C,",WSFG,2016-05-02T00:00:00,GHCND:CA006127510,73.8
123,",,C,",WSFG,2016-05-03T00:00:00,GHCND:CA006127510,73.8
124,",,C,",WSFG,2016-05-04T00:00:00,GHCND:CA006127510,98.4
125,",,C,",WSFG,2016-05-05T00:00:00,GHCND:CA006127510,116.3
126,",,C,",WSFG,2016-05-06T00:00:00,GHCND:CA006127510,0.0
127,",,C,",WSFG,2016-05-07T00:00:00,GHCND:CA006127510,120.8
128,",,C,",WSFG,2016-05-08T00:00:00,GHCND:CA006127510,111.8
129,",,C,",WSFG,2016-05-09T00:00:00,GHCND:CA006127510,78.3
130,",,C,",WSFG,2016-05-10T00:00:00,GHCND:CA006127510,91.7
131,",,C,",WSFG,2016-05-11T00:00:00,GHCND:CA006127510,91.7
132,",,C,",WSFG,2016-05-12T00:00:00,GHCND:CA006127510,91.7
133,",,C,",WSFG,2016-05-13T00:00:00,GHCND:CA006127510,96.2
134,",,C,",WSFG,2016-05-14T00:00:00,GHCND:CA006127510,174.5
135,",,C,",WSFG,2016-05-15T00:00:00,GHCND:CA006127510,116.3
136,",,C,",WSFG,2016-05-16T00:00:00,GHCND:CA006127510,149.9
137,",,C,",WSFG,2016-05-17T00:00:00,GHCND:CA006127510,71.6
138,",,C,",WSFG,2016-05-18T00:00:00,GHCND:CA006127510,0.0
139,",,C,",WSFG,2016-05-19T00:00:00,GHCND:CA006127510,0.0
140,",,C,",WSFG,2016-05-20T00:00:00,GHCND:CA006127510,71.6
141,",,C,",WSFG,2016-05-21T00:00:00,GHCND:CA006127510,73.8
142,",,C,",WSFG,2016-05-22T00:00:00,GHCND:CA006127510,116.3
143,",,C,",WSFG,2016-05-23T00:00:00,GHCND:CA006127510,0.0
144,",,C,",WSFG,2016-05-24T00:00:00,GHCND:CA006127510,0.0
145,",,C,",WSFG,2016-05-25T00:00:00,GHCND:CA006127510,91.7
146,",,C,",WSFG,2016-05-26T00:00:00,GHCND:CA006127510,87.2
147,",,C,",WSFG,2016-05-27T00:00:00,GHCND:CA006127510,0.0
148,",,C,",WSFG,2016-05-28T00:00:00,GHCND:CA006127510,107.4
149,",,C,",WSFG,2016-05-29T00:00:00,GHCND:CA006127510,149.9
150,",,C,",WSFG,2016-05-30T00:00:00,GHCND:CA006127510,0.0
151,",,C,",WSFG,2016-05-31T00:00:00,GHCND:CA006127510,91.7
152,",,C,",WSFG,2016-06-01T00:00:00,GHCND:CA006127510,82.8
153,",,C,",WSFG,2016-06-02T00:00:00,GHCND:CA006127510,87.2
154,",,C,",WSFG,2016-06-03T00:00:00,GHCND:CA006127510,0.0
155,",,C,",WSFG,2016-06-04T00:00:00,GHCND:CA006127510,91.7
156,",,C,",WSFG,2016-06-05T00:00:00,GHCND:CA006127510,174.5
157,",,C,",WSFG,2016-06-06T00:00:00,GHCND:CA006127510,154.3
158,",,C,",WSFG,2016-06-07T00:00:00,GHCND:CA006127510,107.4
159,",,C,",WSFG,2016-06-08T00:00:00,GHCND:CA006127510,102.9
160,",,C,",WSFG,2016-06-09T00:00:00,GHCND:CA006127510,0.0
161,",,C,",WSFG,2016-06-10T00:00:00,GHCND:CA006127510,71.6
162,",,C,",WSFG,2016-06-11T00:00:00,GHCND:CA006127510,116.3
163,",,C,",WSFG,2016-06-12T00:00:00,GHCND:CA006127510,111.8
164,",,C,",WSFG,2016-06-13T00:00:00,GHCND:CA006127510,71.6
165,",,C,",WSFG,2016-06-14T00:00:00,GHCND:CA006127510,0.0
166,",,C,",WSFG,2016-06-15T00:00:00,GHCND:CA006127510,78.3
167,",,C,",WSFG,2016-06-16T00:00:00,GHCND:CA006127510,73.8
168,",,C,",WSFG,2016-06-17T00:00:00,GHCND:CA006127510,0.0
169,",,C,",WSFG,2016-06-18T00:00:00,GHCND:CA006127510,0.0
170,",,C,",WSFG,2016-06-19T00:00:00,GHCND:CA006127510,78.3
171,",,C,",WSFG,2016-06-20T00:00:00,GHCND:CA006127510,127.5
172,",,C,",WSFG,2016-06-21T00:00:00,GHCND:CA006127510,78.3
173,",,C,",WSFG,2016-06-22T00:00:00,GHCND:CA006127510,71.6
174,",,C,",WSFG,2016-06-23T00:00:00,GHCND:CA006127510,87.2
175,",,C,",WSFG,2016-06-24T00:00:00,GHCND:CA006127510,0.0
176,",,C,",WSFG,2016-06-25T00:00:00,GHCND:CA006127510,0.0
177,",,C,",WSFG,2016-06-26T00:00:00,GHCND:CA006127510,111.8
178,",,C,",WSFG,2016-06-27T00:00:00,GHCND:CA006127510,111.8
179,",,C,",WSFG,2016-06-28T00:00:00,GHCND:CA006127510,96.2
180,",,C,",WSFG,2016-06-29T00:00:00,GHCND:CA006127510,0.0
181,",,C,",WSFG,2016-06-30T00:00:00,GHCND:CA006127510,0.0
182,",,C,",WSFG,2016-07-01T00:00:00,GHCND:CA006127510,107.4
183,",,C,",WSFG,2016-07-02T00:00:00,GHCND:CA006127510,0.0
184,",,C,",WSFG,2016-07-03T00:00:00,GHCND:CA006127510,0.0
185,",,C,",WSFG,2016-07-04T00:00:00,GHCND:CA006127510,78.3
186,",,C,",WSFG,2016-07-05T00:00:00,GHCND:CA006127510,0.0
187,",,C,",WSFG,2016-07-06T00:00:00,GHCND:CA006127510,87.2
188,",,C,",WSFG,2016-07-08T00:00:00,GHCND:CA006127510,116.3
189,",,C,",WSFG,2016-07-09T00:00:00,GHCND:CA006127510,82.8
190,",,C,",WSFG,2016-07-10T00:00:00,GHCND:CA006127510,0.0
191,",,C,",WSFG,2016-07-11T00:00:00,GHCND:CA006127510,0.0
192,",,C,",WSFG,2016-07-12T00:00:00,GHCND:CA006127510,102.9
193,",,C,",WSFG,2016-07-13T00:00:00,GHCND:CA006127510,127.5
194,",,C,",WSFG,2016-07-14T00:00:00,GHCND:CA006127510,96.2
195,",,C,",WSFG,2016-07-15T00:00:00,GHCND:CA006127510,78.3
196,",,C,",WSFG,2016-07-16T00:00:00,GHCND:CA006127510,0.0
197,",,C,",WSFG,2016-07-17T00:00:00,GHCND:CA006127510,111.8
198,",,C,",WSFG,2016-07-18T00:00:00,GHCND:CA006127510,73.8
199,",,C,",WSFG,2016-07-19T00:00:00,GHCND:CA006127510,87.2
200,",,C,",WSFG,2016-07-20T00:00:00,GHCND:CA006127510,0.0
201,",,C,",WSFG,2016-07-21T00:00:00,GHCND:CA006127510,107.4
202,",,C,",WSFG,2016-07-22T00:00:00,GHCND:CA006127510,78.3
203,",,C,",WSFG,2016-07-23T00:00:00,GHCND:CA006127510,71.6
204,",,C,",WSFG,2016-07-24T00:00:00,GHCND:CA006127510,0.0
205,",,C,",WSFG,2016-07-25T00:00:00,GHCND:CA006127510,78.3
206,",,C,",WSFG,2016-07-26T00:00:00,GHCND:CA006127510,0.0
207,",,C,",WSFG,2016-07-27T00:00:00,GHCND:CA006127510,125.3
208,",,C,",WSFG,2016-07-28T00:00:00,GHCND:CA006127510,73.8
209,",,C,",WSFG,2016-07-29T00:00:00,GHCND:CA006127510,98.4
210,",,C,",WSFG,2016-07-30T00:00:00,GHCND:CA006127510,82.8
211,",,C,",WSFG,2016-07-31T00:00:00,GHCND:CA006127510,71.6
212,",,C,",WSFG,2016-08-01T00:00:00,GHCND:CA006127510,0.0
213,",,C,",WSFG,2016-08-02T00:00:00,GHCND:CA006127510,0.0
214,",,C,",WSFG,2016-08-03T00:00:00,GHCND:CA006127510,0.0
215,",,C,",WSFG,2016-08-04T00:00:00,GHCND:CA006127510,78.3
216,",,C,",WSFG,2016-08-05T00:00:00,GHCND:CA006127510,91.7
217,",,C,",WSFG,2016-08-06T00:00:00,GHCND:CA006127510,71.6
218,",,C,",WSFG,2016-08-07T00:00:00,GHCND:CA006127510,78.3
219,",,C,",WSFG,2016-08-08T00:00:00,GHCND:CA006127510,73.8
220,",,C,",WSFG,2016-08-09T00:00:00,GHCND:CA006127510,78.3
221,",,C,",WSFG,2016-08-10T00:00:00,GHCND:CA006127510,0.0
222,",,C,",WSFG,2016-08-11T00:00:00,GHCND:CA006127510,91.7
223,",,C,",WSFG,2016-08-12T00:00:00,GHCND:CA006127510,120.8
224,",,C,",WSFG,2016-08-13T00:00:00,GHCND:CA006127510,96.2
225,",,C,",WSFG,2016-08-14T00:00:00,GHCND:CA006127510,0.0
226,",,C,",WSFG,2016-08-15T00:00:00,GHCND:CA006127510,82.8
227,",,C,",WSFG,2016-08-16T00:00:00,GHCND:CA006127510,111.8
228,",,C,",WSFG,2016-08-17T00:00:00,GHCND:CA006127510,127.5
229,",,C,",WSFG,2016-08-18T00:00:00,GHCND:CA006127510,0.0
230,",,C,",WSFG,2016-08-19T00:00:00,GHCND:CA006127510,78.3
231,",,C,",WSFG,2016-08-20T00:00:00,GHCND:CA006127510,107.4
232,",,C,",WSFG,2016-08-21T00:00:00,GHCND:CA006127510,102.9
233,",,C,",WSFG,2016-08-22T00:00:00,GHCND:CA006127510,0.0
234,",,C,",WSFG,2016-08-23T00:00:00,GHCND:CA006127510,96.2
235,",,C,",WSFG,2016-08-24T00:00:00,GHCND:CA006127510,116.3
236,",,C,",WSFG,2016-08-25T00:00:00,GHCND:CA006127510,96.2
237,",,C,",WSFG,2016-08-26T00:00:00,GHCND:CA006127510,0.0
238,",,C,",WSFG,2016-08-27T00:00:00,GHCND:CA006127510,73.8
239,",,C,",WSFG,2016-08-28T00:00:00,GHCND:CA006127510,0.0
240,",,C,",WSFG,2016-08-29T00:00:00,GHCND:CA006127510,0.0
241,",,C,",WSFG,2016-08-30T00:00:00,GHCND:CA006127510,73.8
242,",,C,",WSFG,2016-08-31T00:00:00,GHCND:CA006127510,98.4
243,",,C,",WSFG,2016-09-01T00:00:00,GHCND:CA006127510,107.4
244,",,C,",WSFG,2016-09-02T00:00:00,GHCND:CA006127510,87.2
245,",,C,",WSFG,2016-09-03T00:00:00,GHCND:CA006127510,0.0
246,",,C,",WSFG,2016-09-04T00:00:00,GHCND:CA006127510,0.0
247,",,C,",WSFG,2016-09-05T00:00:00,GHCND:CA006127510,0.0
248,",,C,",WSFG,2016-09-06T00:00:00,GHCND:CA006127510,0.0
249,",,C,",WSFG,2016-09-07T00:00:00,GHCND:CA006127510,73.8
250,",,C,",WSFG,2016-09-08T00:00:00,GHCND:CA006127510,87.2
251,",,C,",WSFG,2016-09-09T00:00:00,GHCND:CA006127510,0.0
252,",,C,",WSFG,2016-09-10T00:00:00,GHCND:CA006127510,127.5
253,",,C,",WSFG,2016-09-11T00:00:00,GHCND:CA006127510,0.0
254,",,C,",WSFG,2016-09-12T00:00:00,GHCND:CA006127510,71.6
255,",,C,",WSFG,2016-09-13T00:00:00,GHCND:CA006127510,107.4
256,",,C,",WSFG,2016-09-14T00:00:00,GHCND:CA006127510,82.8
257,",,C,",WSFG,2016-09-15T00:00:00,GHCND:CA006127510,0.0
258,",,C,",WSFG,2016-09-16T00:00:00,GHCND:CA006127510,82.8
259,",,C,",WSFG,2016-09-17T00:00:00,GHCND:CA006127510,102.9
260,",,C,",WSFG,2016-09-18T00:00:00,GHCND:CA006127510,0.0
261,",,C,",WSFG,2016-09-19T00:00:00,GHCND:CA006127510,0.0
262,",,C,",WSFG,2016-09-20T00:00:00,GHCND:CA006127510,0.0
263,",,C,",WSFG,2016-09-21T00:00:00,GHCND:CA006127510,0.0
264,",,C,",WSFG,2016-09-22T00:00:00,GHCND:CA006127510,0.0
265,",,C,",WSFG,2016-09-23T00:00:00,GHCND:CA006127510,91.7
266,",,C,",WSFG,2016-09-24T00:00:00,GHCND:CA006127510,0.0
267,",,C,",WSFG,2016-09-25T00:00:00,GHCND:CA006127510,73.8
268,",,C,",WSFG,2016-09-26T00:00:00,GHCND:CA006127510,107.4
