,attributes,datatype,date,station,value
0,",,7,0830",TMIN,2016-01-01T00:00:00,GHCND:USC00202423,22.0
1,",,7,0830",TMIN,2016-01-02T00:00:00,GHCND:USC00202423,22.0
2,",,7,0830",TMIN,2016-01-03T00:00:00,GHCND:USC00202423,27.0
3,",,7,0830",TMIN,2016-01-04T00:00:00,GHCND:USC00202423,17.0
4,",,7,0830",TMIN,2016-01-05T00:00:00,GHCND:USC00202423,0.0
5,",,7,0830",TMIN,2016-01-06T00:00:00,GHCND:USC00202423,8.0
6,",,7,0830",TMIN,2016-01-07T00:00:00,GHCND:USC00202423,22.0
7,",,7,0830",TMIN,2016-01-08T00:00:00,GHCND:USC00202423,27.0
8,",,7,0830",TMIN,2016-01-09T00:00:00,GHCND:USC00202423,32.0
9,",,7,0830",TMIN,2016-01-10T00:00:00,GHCND:USC00202423,24.0
10,",,7,0830",TMIN,2016-01-11T00:00:00,GHCND:USC00202423,7.0
11,",,7,0830",TMIN,2016-01-12T00:00:00,GHCND:USC00202423,7.0
12,",,7,0830",TMIN,2016-01-13T00:00:00,GHCND:USC00202423,8.0
13,",,7,0830",TMIN,2016-01-14T00:00:00,GHCND:USC00202423,10.0
14,",,7,0830",TMIN,2016-01-15T00:00:00,GHCND:USC00202423,11.0
15,",,7,0830",TMIN,2016-01-16T00:00:00,GHCND:USC00202423,19.0
16,",,7,0830",TMIN,2016-01-17T00:00:00,GHCND:USC00202423,8.0
17,",,7,0830",TMIN,2016-01-18T00:00:00,GHCND:USC00202423,6.0
18,",,7,0830",TMIN,2016-01-19T00:00:00,GHCND:USC00202423,4.0
19,",,7,0830",TMIN,2016-01-20T00:00:00,GHCND:USC00202423,8.0
20,",,7,0830",TMIN,2016-01-21T00:00:00,GHCND:USC00202423,3.0
21,",,7,0830",TMIN,2016-01-22T00:00:00,GHCND:USC00202423,2.0
22,",,7,0830",TMIN,2016-01-23T00:00:00,GHCND:USC00202423,18.0
23,",,7,0830",TMIN,2016-01-24T00:00:00,GHCND:USC00202423,13.0
24,",,7,0830",TMIN,2016-01-25T00:00:00,GHCND:USC00202423,24.0
25,",,7,0830",TMIN,2016-01-26T00:00:00,GHCND:USC00202423,28.0
26,",,7,0830",TMIN,2016-01-27T00:00:00,GHCND:USC00202423,23.0
27,",,7,0830",TMIN,2016-01-28T00:00:00,GHCND:USC00202423,24.0
28,",,7,0830",TMIN,2016-01-29T00:00:00,GHCND:USC00202423,11.0
29,",,7,0830",TMIN,2016-01-30T00:00:00,GHCND:USC00202423,12.0
30,",,7,0830",TMIN,2016-01-31T00:00:00,GHCND:USC00202423,30.0
31,",,7,0830",TMIN,2016-02-01T00:00:00,GHCND:USC00202423,28.0
32,",,7,0830",TMIN,2016-02-02T00:00:00,GHCND:USC00202423,18.0
33,",,7,0830",TMIN,2016-02-03T00:00:00,GHCND:USC00202423,18.0
34,",,7,0830",TMIN,2016-02-04T00:00:00,GHCND:USC00202423,20.0
35,",,7,0830",TMIN,2016-02-05T00:00:00,GHCND:USC00202423,14.0
36,",,7,0830",TMIN,2016-02-06T00:00:00,GHCND:USC00202423,20.0
37,",,7,0830",TMIN,2016-02-07T00:00:00,GHCND:USC00202423,25.0
38,",,7,0830",TMIN,2016-02-08T00:00:00,GHCND:USC00202423,30.0
39,",,7,0830",TMIN,2016-02-09T00:00:00,GHCND:USC00202423,25.0
40,",,7,0830",TMIN,2016-02-10T00:00:00,GHCND:USC00202423,10.0
41,",,7,0830",TMIN,2016-02-11T00:00:00,GHCND:USC00202423,-5.0
42,",,7,0830",TMIN,2016-02-12T00:00:00,GHCND:USC00202423,0.0
43,",,7,0830",TMIN,2016-02-13T00:00:00,GHCND:USC00202423,-11.0
44,",,7,0830",TMIN,2016-02-14T00:00:00,GHCND:USC00202423,-10.0
45,",,7,0830",TMIN,2016-02-15T00:00:00,GHCND:USC00202423,-10.0
46,",,7,0830",TMIN,2016-02-16T00:00:00,GHCND:USC00202423,18.0
47,",,7,0830",TMIN,2016-02-17T00:00:00,GHCND:USC00202423,18.0
48,",,7,0830",TMIN,2016-02-18T00:00:00,GHCND:USC00202423,-8.0
49,",,7,0830",TMIN,2016-02-19T00:00:00,GHCND:USC00202423,-2.0
50,",,7,0830",TMIN,2016-02-20T00:00:00,GHCND:USC00202423,31.0
51,",,7,0830",TMIN,2016-02-21T00:00:00,GHCND:USC00202423,33.0
52,",,7,0830",TMIN,2016-02-22T00:00:00,GHCND:USC00202423,20.0
53,",,7,0830",TMIN,2016-02-23T00:00:00,GHCND:USC00202423,21.0
54,",,7,0830",TMIN,2016-02-24T00:00:00,GHCND:USC00202423,20.0
55,",,7,0830",TMIN,2016-02-25T00:00:00,GHCND:USC00202423,27.0
56,",,7,0830",TMIN,2016-02-26T00:00:00,GHCND:USC00202423,5.0
57,",,7,0830",TMIN,2016-02-27T00:00:00,GHCND:USC00202423,13.0
58,",,7,0830",TMIN,2016-02-28T00:00:00,GHCND:USC00202423,27.0
59,",,7,0830",TMIN,2016-02-29T00:00:00,GHCND:USC00202423,23.0
60,",,7,0830",TMIN,2016-03-01T00:00:00,GHCND:USC00202423,11.0
61,",,7,0830",TMIN,2016-03-02T00:00:00,GHCND:USC00202423,14.0
62,",,7,0830",TMIN,2016-03-03T00:00:00,GHCND:USC00202423,-3.0
63,",,7,0830",TMIN,2016-03-04T00:00:00,GHCND:USC00202423,-4.0
64,",,7,0830",TMIN,2016-03-05T00:00:00,GHCND:USC00202423,6.0
65,",,7,0830",TMIN,2016-03-06T00:00:00,GHCND:USC00202423,16.0
66,",,7,0830",TMIN,2016-03-07T00:00:00,GHCND:USC00202423,18.0
67,",,7,0830",TMIN,2016-03-08T00:00:00,GHCND:USC00202423,33.0
68,",,7,0830",TMIN,2016-03-09T00:00:00,GHCND:USC00202423,38.0
69,",,7,0830",TMIN,2016-03-10T00:00:00,GHCND:USC00202423,35.0
70,",,7,0830",TMIN,2016-03-11T00:00:00,GHCND:USC00202423,28.0
71,",,7,0830",TMIN,2016-03-12T00:00:00,GHCND:USC00202423,25.0
72,",,7,0830",TMIN,2016-03-13T00:00:00,GHCND:USC00202423,34.0
73,",,7,0830",TMIN,2016-03-14T00:00:00,GHCND:USC00202423,35.0
74,",,7,0830",TMIN,2016-03-15T00:00:00,GHCND:USC00202423,36.0
75,",,7,0830",TMIN,2016-03-16T00:00:00,GHCND:USC00202423,32.0
76,",,7,0830",TMIN,2016-03-17T00:00:00,GHCND:USC00202423,38.0
77,",,7,0830",TMIN,2016-03-18T00:00:00,GHCND:USC00202423,28.0
78,",,7,0830",TMIN,2016-03-19T00:00:00,GHCND:USC00202423,20.0
79,",,7,0830",TMIN,2016-03-20T00:00:00,GHCND:USC00202423,19.0
80,",,7,0830",TMIN,2016-03-21T00:00:00,GHCND:USC00202423,21.0
81,",,7,0830",TMIN,2016-03-22T00:00:00,GHCND:USC00202423,26.0
82,",,7,0830",TMIN,2016-03-23T00:00:00,GHCND:USC00202423,33.0
83,",,7,0830",TMIN,2016-03-24T00:00:00,GHCND:USC00202423,28.0
84,",,7,0830",TMIN,2016-03-25T00:00:00,GHCND:USC00202423,23.0
85,",,7,0830",TMIN,2016-03-26T00:00:00,GHCND:USC00202423,24.0
86,",,7,0830",TMIN,2016-03-27T00:00:00,GHCND:USC00202423,25.0
87,",,7,0830",TMIN,2016-03-28T00:00:00,GHCND:USC00202423,34.0
88,",,7,0830",TMIN,2016-03-29T00:00:00,GHCND:USC00202423,26.0
89,",,7,0830",TMIN,2016-03-30T00:00:00,GHCND:USC00202423,28.0
90,",,7,0830",TMIN,2016-03-31T00:00:00,GHCND:USC00202423,38.0
91,",,7,0830",TMIN,2016-04-01T00:00:00,GHCND:USC00202423,34.0
92,",,7,0830",TMIN,2016-04-02T00:00:00,GHCND:USC00202423,28.0
93,",,7,0830",TMIN,2016-04-03T00:00:00,GHCND:USC00202423,18.0
94,",,7,0830",TMIN,2016-04-04T00:00:00,GHCND:USC00202423,20.0
95,",,7,0830",TMIN,2016-04-05T00:00:00,GHCND:USC00202423,11.0
96,",,7,0830",TMIN,2016-04-06T00:00:00,GHCND:USC00202423,18.0
97,",,7,0830",TMIN,2016-04-07T00:00:00,GHCND:USC00202423,30.0
98,",,7,0830",TMIN,2016-04-08T00:00:00,GHCND:USC00202423,20.0
99,",,7,0830",TMIN,2016-04-09T00:00:00,GHCND:USC00202423,21.0
100,",,7,0830",TMIN,2016-04-10T00:00:00,GHCND:USC00202423,21.0
101,",,7,0830",TMIN,2016-04-11T00:00:00,GHCND:USC00202423,27.0
102,",,7,0830",TMIN,2016-04-12T00:00:00,GHCND:USC00202423,31.0
103,",,7,0830",TMIN,2016-04-13T00:00:00,GHCND:USC00202423,28.0
104,",,7,0830",TMIN,2016-04-14T00:00:00,GHCND:USC00202423,28.0
105,",,7,0830",TMIN,2016-04-15T00:00:00,GHCND:USC00202423,29.0
106,",,7,0830",TMIN,2016-04-16T00:00:00,GHCND:USC00202423,31.0
107,",,7,0830",TMIN,2016-04-17T00:00:00,GHCND:USC00202423,35.0
108,",,7,0830",TMIN,2016-04-18T00:00:00,GHCND:USC00202423,39.0
109,",,7,0830",TMIN,2016-04-19T00:00:00,GHCND:USC00202423,37.0
110,",,7,0830",TMIN,2016-04-20T00:00:00,GHCND:USC00202423,30.0
111,",,7,0830",TMIN,2016-04-21T00:00:00,GHCND:USC00202423,40.0
112,",,7,0830",TMIN,2016-04-22T00:00:00,GHCND:USC00202423,44.0
113,",,7,0830",TMIN,2016-04-23T00:00:00,GHCND:USC00202423,33.0
114,",,7,0830",TMIN,2016-04-24T00:00:00,GHCND:USC00202423,30.0
115,",,7,0830",TMIN,2016-04-25T00:00:00,GHCND:USC00202423,38.0
116,",,7,0830",TMIN,2016-04-26T00:00:00,GHCND:USC00202423,36.0
117,",,7,0830",TMIN,2016-04-27T00:00:00,GHCND:USC00202423,27.0
118,",,7,0830",TMIN,2016-04-28T00:00:00,GHCND:USC00202423,32.0
119,",,7,0830",TMIN,2016-04-29T00:00:00,GHCND:USC00202423,39.0
120,",,7,0830",TMIN,2016-04-30T00:00:00,GHCND:USC00202423,28.0
121,",,7,0830",TMIN,2016-05-01T00:00:00,GHCND:USC00202423,40.0
122,",,7,0830",TMIN,2016-05-02T00:00:00,GHCND:USC00202423,38.0
123,",,7,0830",TMIN,2016-05-03T00:00:00,GHCND:USC00202423,32.0
124,",,7,0830",TMIN,2016-05-04T00:00:00,GHCND:USC00202423,44.0
125,",,7,0830",TMIN,2016-05-05T00:00:00,GHCND:USC00202423,42.0
126,",,7,0830",TMIN,2016-05-06T00:00:00,GHCND:USC00202423,37.0
127,",,7,0830",TMIN,2016-05-07T00:00:00,GHCND:USC00202423,47.0
128,",,7,0830",TMIN,2016-05-08T00:00:00,GHCND:USC00202423,38.0
129,",,7,0830",TMIN,2016-05-09T00:00:00,GHCND:USC00202423,32.0
130,",,7,0830",TMIN,2016-05-10T00:00:00,GHCND:USC00202423,33.0
131,",,7,0830",TMIN,2016-05-11T00:00:00,GHCND:USC00202423,44.0
132,",,7,0830",TMIN,2016-05-12T00:00:00,GHCND:USC00202423,48.0
133,",,7,0830",TMIN,2016-05-13T00:00:00,GHCND:USC00202423,53.0
134,",,7,0830",TMIN,2016-05-14T00:00:00,GHCND:USC00202423,36.0
135,",,7,0830",TMIN,2016-05-15T00:00:00,GHCND:USC00202423,33.0
136,",,7,0830",TMIN,2016-05-16T00:00:00,GHCND:USC00202423,30.0
137,",,7,0830",TMIN,2016-05-17T00:00:00,GHCND:USC00202423,32.0
138,",,7,0830",TMIN,2016-05-18T00:00:00,GHCND:USC00202423,31.0
139,",,7,0830",TMIN,2016-05-19T00:00:00,GHCND:USC00202423,34.0
140,",,7,0830",TMIN,2016-05-20T00:00:00,GHCND:USC00202423,40.0
141,",,7,0830",TMIN,2016-05-21T00:00:00,GHCND:USC00202423,45.0
142,",,7,0830",TMIN,2016-05-22T00:00:00,GHCND:USC00202423,51.0
143,",,7,0830",TMIN,2016-05-23T00:00:00,GHCND:USC00202423,33.0
144,",,7,0830",TMIN,2016-05-24T00:00:00,GHCND:USC00202423,43.0
145,",,7,0830",TMIN,2016-05-25T00:00:00,GHCND:USC00202423,57.0
146,",,7,0830",TMIN,2016-05-26T00:00:00,GHCND:USC00202423,55.0
147,",,7,0830",TMIN,2016-05-27T00:00:00,GHCND:USC00202423,57.0
148,",,7,0830",TMIN,2016-05-28T00:00:00,GHCND:USC00202423,60.0
149,",,7,0830",TMIN,2016-05-29T00:00:00,GHCND:USC00202423,64.0
150,",,7,0830",TMIN,2016-05-30T00:00:00,GHCND:USC00202423,59.0
151,",,7,0830",TMIN,2016-05-31T00:00:00,GHCND:USC00202423,48.0
152,",,7,0830",TMIN,2016-06-01T00:00:00,GHCND:USC00202423,48.0
153,",,7,0830",TMIN,2016-06-02T00:00:00,GHCND:USC00202423,50.0
154,",,7,0830",TMIN,2016-06-03T00:00:00,GHCND:USC00202423,44.0
155,",,7,0830",TMIN,2016-06-04T00:00:00,GHCND:USC00202423,50.0
156,",,7,0830",TMIN,2016-06-05T00:00:00,GHCND:USC00202423,58.0
157,",,7,0830",TMIN,2016-06-06T00:00:00,GHCND:USC00202423,53.0
158,",,7,0830",TMIN,2016-06-07T00:00:00,GHCND:USC00202423,49.0
159,",,7,0830",TMIN,2016-06-08T00:00:00,GHCND:USC00202423,41.0
160,",,7,0830",TMIN,2016-06-09T00:00:00,GHCND:USC00202423,39.0
161,",,7,0830",TMIN,2016-06-10T00:00:00,GHCND:USC00202423,41.0
162,",,7,0830",TMIN,2016-06-11T00:00:00,GHCND:USC00202423,57.0
163,",,7,0830",TMIN,2016-06-12T00:00:00,GHCND:USC00202423,53.0
164,",,7,0830",TMIN,2016-06-13T00:00:00,GHCND:USC00202423,45.0
165,",,7,0830",TMIN,2016-06-14T00:00:00,GHCND:USC00202423,45.0
166,",,7,0830",TMIN,2016-06-15T00:00:00,GHCND:USC00202423,51.0
167,",,7,0830",TMIN,2016-06-16T00:00:00,GHCND:USC00202423,56.0
168,",,7,0830",TMIN,2016-06-17T00:00:00,GHCND:USC00202423,56.0
169,",,7,0830",TMIN,2016-06-18T00:00:00,GHCND:USC00202423,50.0
170,",,7,0830",TMIN,2016-06-19T00:00:00,GHCND:USC00202423,59.0
171,",,7,0830",TMIN,2016-06-20T00:00:00,GHCND:USC00202423,66.0
172,",,7,0830",TMIN,2016-06-21T00:00:00,GHCND:USC00202423,52.0
173,",,7,0830",TMIN,2016-06-22T00:00:00,GHCND:USC00202423,50.0
174,",,7,0830",TMIN,2016-06-23T00:00:00,GHCND:USC00202423,47.0
175,",,7,0830",TMIN,2016-06-24T00:00:00,GHCND:USC00202423,45.0
176,",,7,0830",TMIN,2016-06-25T00:00:00,GHCND:USC00202423,51.0
177,",,7,0830",TMIN,2016-06-26T00:00:00,GHCND:USC00202423,67.0
178,",,7,0830",TMIN,2016-06-27T00:00:00,GHCND:USC00202423,65.0
179,",,7,0830",TMIN,2016-06-28T00:00:00,GHCND:USC00202423,54.0
180,",,7,0830",TMIN,2016-06-29T00:00:00,GHCND:USC00202423,42.0
181,",,7,0830",TMIN,2016-06-30T00:00:00,GHCND:USC00202423,43.0
182,",,7,0830",TMIN,2016-07-01T00:00:00,GHCND:USC00202423,59.0
183,",,7,0830",TMIN,2016-07-02T00:00:00,GHCND:USC00202423,48.0
184,",,7,0830",TMIN,2016-07-03T00:00:00,GHCND:USC00202423,47.0
185,",,7,0830",TMIN,2016-07-04T00:00:00,GHCND:USC00202423,53.0
186,",,7,0830",TMIN,2016-07-05T00:00:00,GHCND:USC00202423,59.0
187,",,7,0830",TMIN,2016-07-06T00:00:00,GHCND:USC00202423,62.0
188,",,7,0830",TMIN,2016-07-07T00:00:00,GHCND:USC00202423,64.0
