,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00093129,2.0
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00093129,2.9
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00093129,3.1
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00093129,5.8
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00093129,8.3
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00093129,10.5
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00093129,8.5
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00093129,6.0
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00093129,4.3
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00093129,4.9
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00093129,2.0
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00093129,2.9
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00093129,8.5
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00093129,5.8
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00093129,8.7
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00093129,3.8
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00093129,3.4
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00093129,6.7
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00093129,7.2
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00093129,8.5
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00093129,2.2
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00093129,7.6
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00093129,11.4
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00093129,4.0
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00093129,8.1
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00093129,3.6
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00093129,2.5
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00093129,3.1
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00093129,6.7
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00093129,13.0
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00093129,5.4
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00093129,7.8
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00093129,4.3
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00093129,2.7
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00093129,4.0
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00093129,3.8
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00093129,4.0
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00093129,3.1
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00093129,3.1
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00093129,1.8
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00093129,2.7
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00093129,2.0
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00093129,1.6
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00093129,4.0
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00093129,4.0
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00093129,3.6
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00093129,2.9
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00093129,13.2
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00093129,19.2
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00093129,7.6
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00093129,5.6
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00093129,4.0
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00093129,7.4
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00093129,9.6
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00093129,3.1
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00093129,3.8
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00093129,3.4
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00093129,6.5
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00093129,3.8
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00093129,4.9
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00093129,5.8
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00093129,5.4
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00093129,7.8
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00093129,6.9
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00093129,13.2
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00093129,17.9
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00093129,5.6
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00093129,3.8
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00093129,6.3
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00093129,6.7
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00093129,14.3
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00093129,12.3
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00093129,13.2
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00093129,12.1
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00093129,5.1
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00093129,3.6
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00093129,5.6
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00093129,5.4
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00093129,2.9
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00093129,9.4
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00093129,21.9
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00093129,12.3
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00093129,8.5
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00093129,4.7
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00093129,7.2
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00093129,9.2
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00093129,9.6
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00093129,23.7
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00093129,17.7
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00093129,4.7
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00093129,6.5
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00093129,6.7
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00093129,5.1
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00093129,5.4
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00093129,8.9
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00093129,7.8
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00093129,8.1
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00093129,4.0
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00093129,6.7
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00093129,9.8
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00093129,9.2
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00093129,5.6
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00093129,6.5
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00093129,11.4
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00093129,17.0
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00093129,14.3
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00093129,17.7
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00093129,10.3
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00093129,5.6
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00093129,4.7
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00093129,6.7
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00093129,8.5
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00093129,19.0
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00093129,13.6
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00093129,8.5
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00093129,13.2
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00093129,3.8
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00093129,5.8
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00093129,5.4
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00093129,3.8
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00093129,5.1
