,attributes,datatype,date,station,value
0,",,W,",TMIN,2016-01-01T00:00:00,GHCND:USW00023176,-7.0
1,",,W,",TMIN,2016-01-02T00:00:00,GHCND:USW00023176,-4.0
2,",,W,",TMIN,2016-01-03T00:00:00,GHCND:USW00023176,9.0
3,",,W,",TMIN,2016-01-04T00:00:00,GHCND:USW00023176,17.0
4,",,W,",TMIN,2016-01-05T00:00:00,GHCND:USW00023176,22.0
5,",,W,",TMIN,2016-01-06T00:00:00,GHCND:USW00023176,33.0
6,",,W,",TMIN,2016-01-07T00:00:00,GHCND:USW00023176,29.0
7,",,W,",TMIN,2016-01-08T00:00:00,GHCND:USW00023176,27.0
8,",,W,",TMIN,2016-01-09T00:00:00,GHCND:USW00023176,19.0
9,",,W,",TMIN,2016-01-10T00:00:00,GHCND:USW00023176,22.0
10,",,W,",TMIN,2016-01-11T00:00:00,GHCND:USW00023176,12.0
11,",,W,",TMIN,2016-01-12T00:00:00,GHCND:USW00023176,10.0
12,",,W,",TMIN,2016-01-13T00:00:00,GHCND:USW00023176,14.0
13,",,W,",TMIN,2016-01-14T00:00:00,GHCND:USW00023176,24.0
14,",,W,",TMIN,2016-01-15T00:00:00,GHCND:USW00023176,25.0
15,",,W,",TMIN,2016-01-16T00:00:00,GHCND:USW00023176,22.0
16,",,W,",TMIN,2016-01-17T00:00:00,GHCND:USW00023176,22.0
17,",,W,",TMIN,2016-01-18T00:00:00,GHCND:USW00023176,30.0
18,",,W,",TMIN,2016-01-19T00:00:00,GHCND:USW00023176,26.0
19,",,W,",TMIN,2016-01-20T00:00:00,GHCND:USW00023176,26.0
20,",,W,",TMIN,2016-01-21T00:00:00,GHCND:USW00023176,20.0
21,",,W,",TMIN,2016-01-22T00:00:00,GHCND:USW00023176,24.0
22,",,W,",TMIN,2016-01-23T00:00:00,GHCND:USW00023176,29.0
23,",,W,",TMIN,2016-01-24T00:00:00,GHCND:USW00023176,24.0
24,",,W,",TMIN,2016-01-25T00:00:00,GHCND:USW00023176,21.0
25,",,W,",TMIN,2016-01-26T00:00:00,GHCND:USW00023176,15.0
26,",,W,",TMIN,2016-01-27T00:00:00,GHCND:USW00023176,15.0
27,",,W,",TMIN,2016-01-28T00:00:00,GHCND:USW00023176,19.0
28,",,W,",TMIN,2016-01-29T00:00:00,GHCND:USW00023176,27.0
29,",,W,",TMIN,2016-01-30T00:00:00,GHCND:USW00023176,29.0
30,",,W,",TMIN,2016-01-31T00:00:00,GHCND:USW00023176,25.0
31,",,W,",TMIN,2016-02-01T00:00:00,GHCND:USW00023176,12.0
32,",,W,",TMIN,2016-02-02T00:00:00,GHCND:USW00023176,-10.0
33,",,W,",TMIN,2016-02-03T00:00:00,GHCND:USW00023176,-19.0
34,",,W,",TMIN,2016-02-04T00:00:00,GHCND:USW00023176,-5.0
35,",,W,",TMIN,2016-02-05T00:00:00,GHCND:USW00023176,-2.0
36,",,W,",TMIN,2016-02-06T00:00:00,GHCND:USW00023176,-4.0
37,",,W,",TMIN,2016-02-07T00:00:00,GHCND:USW00023176,-4.0
38,",,W,",TMIN,2016-02-08T00:00:00,GHCND:USW00023176,2.0
39,",,W,",TMIN,2016-02-09T00:00:00,GHCND:USW00023176,1.0
40,",,W,",TMIN,2016-02-10T00:00:00,GHCND:USW00023176,4.0
41,",,W,",TMIN,2016-02-11T00:00:00,GHCND:USW00023176,4.0
42,",,W,",TMIN,2016-02-12T00:00:00,GHCND:USW00023176,2.0
43,",,W,",TMIN,2016-02-13T00:00:00,GHCND:USW00023176,5.0
44,",,W,",TMIN,2016-02-14T00:00:00,GHCND:USW00023176,5.0
45,",,W,",TMIN,2016-02-15T00:00:00,GHCND:USW00023176,14.0
46,",,W,",TMIN,2016-02-16T00:00:00,GHCND:USW00023176,17.0
47,",,W,",TMIN,2016-02-17T00:00:00,GHCND:USW00023176,20.0
48,",,W,",TMIN,2016-02-18T00:00:00,GHCND:USW00023176,32.0
49,",,W,",TMIN,2016-02-19T00:00:00,GHCND:USW00023176,27.0
50,",,W,",TMIN,2016-02-20T00:00:00,GHCND:USW00023176,35.0
51,",,W,",TMIN,2016-02-21T00:00:00,GHCND:USW00023176,29.0
52,",,W,",TMIN,2016-02-22T00:00:00,GHCND:USW00023176,30.0
53,",,W,",TMIN,2016-02-23T00:00:00,GHCND:USW00023176,24.0
54,",,W,",TMIN,2016-02-24T00:00:00,GHCND:USW00023176,23.0
55,",,W,",TMIN,2016-02-25T00:00:00,GHCND:USW00023176,24.0
56,",,W,",TMIN,2016-02-26T00:00:00,GHCND:USW00023176,26.0
57,",,W,",TMIN,2016-02-27T00:00:00,GHCND:USW00023176,34.0
58,",,W,",TMIN,2016-02-28T00:00:00,GHCND:USW00023176,36.0
59,",,W,",TMIN,2016-02-29T00:00:00,GHCND:USW00023176,30.0
60,",,W,",TMIN,2016-03-01T00:00:00,GHCND:USW00023176,30.0
61,",,W,",TMIN,2016-03-02T00:00:00,GHCND:USW00023176,35.0
62,",,W,",TMIN,2016-03-03T00:00:00,GHCND:USW00023176,31.0
63,",,W,",TMIN,2016-03-04T00:00:00,GHCND:USW00023176,33.0
64,",,W,",TMIN,2016-03-05T00:00:00,GHCND:USW00023176,37.0
65,",,W,",TMIN,2016-03-06T00:00:00,GHCND:USW00023176,33.0
66,",,W,",TMIN,2016-03-07T00:00:00,GHCND:USW00023176,23.0
67,",,W,",TMIN,2016-03-08T00:00:00,GHCND:USW00023176,26.0
68,",,W,",TMIN,2016-03-09T00:00:00,GHCND:USW00023176,32.0
69,",,W,",TMIN,2016-03-10T00:00:00,GHCND:USW00023176,27.0
70,",,W,",TMIN,2016-03-11T00:00:00,GHCND:USW00023176,40.0
71,",,W,",TMIN,2016-03-12T00:00:00,GHCND:USW00023176,36.0
72,",,W,",TMIN,2016-03-13T00:00:00,GHCND:USW00023176,37.0
73,",,W,",TMIN,2016-03-14T00:00:00,GHCND:USW00023176,34.0
74,",,W,",TMIN,2016-03-15T00:00:00,GHCND:USW00023176,22.0
75,",,W,",TMIN,2016-03-16T00:00:00,GHCND:USW00023176,22.0
76,",,W,",TMIN,2016-03-17T00:00:00,GHCND:USW00023176,23.0
77,",,W,",TMIN,2016-03-18T00:00:00,GHCND:USW00023176,30.0
78,",,W,",TMIN,2016-03-19T00:00:00,GHCND:USW00023176,22.0
79,",,W,",TMIN,2016-03-20T00:00:00,GHCND:USW00023176,27.0
80,",,W,",TMIN,2016-03-21T00:00:00,GHCND:USW00023176,37.0
81,",,W,",TMIN,2016-03-22T00:00:00,GHCND:USW00023176,30.0
82,",,W,",TMIN,2016-03-23T00:00:00,GHCND:USW00023176,22.0
83,",,W,",TMIN,2016-03-24T00:00:00,GHCND:USW00023176,21.0
84,",,W,",TMIN,2016-03-25T00:00:00,GHCND:USW00023176,26.0
85,",,W,",TMIN,2016-03-26T00:00:00,GHCND:USW00023176,28.0
86,",,W,",TMIN,2016-03-27T00:00:00,GHCND:USW00023176,24.0
87,",,W,",TMIN,2016-03-28T00:00:00,GHCND:USW00023176,35.0
88,",,W,",TMIN,2016-03-29T00:00:00,GHCND:USW00023176,31.0
89,",,W,",TMIN,2016-03-30T00:00:00,GHCND:USW00023176,26.0
90,",,W,",TMIN,2016-03-31T00:00:00,GHCND:USW00023176,25.0
91,",,W,",TMIN,2016-04-01T00:00:00,GHCND:USW00023176,30.0
92,",,W,",TMIN,2016-04-02T00:00:00,GHCND:USW00023176,26.0
93,",,W,",TMIN,2016-04-03T00:00:00,GHCND:USW00023176,34.0
94,",,W,",TMIN,2016-04-04T00:00:00,GHCND:USW00023176,34.0
95,",,W,",TMIN,2016-04-05T00:00:00,GHCND:USW00023176,33.0
96,",,W,",TMIN,2016-04-06T00:00:00,GHCND:USW00023176,28.0
97,",,W,",TMIN,2016-04-07T00:00:00,GHCND:USW00023176,29.0
98,",,W,",TMIN,2016-04-08T00:00:00,GHCND:USW00023176,40.0
99,",,W,",TMIN,2016-04-09T00:00:00,GHCND:USW00023176,41.0
100,",,W,",TMIN,2016-04-10T00:00:00,GHCND:USW00023176,39.0
101,",,W,",TMIN,2016-04-11T00:00:00,GHCND:USW00023176,38.0
102,",,W,",TMIN,2016-04-12T00:00:00,GHCND:USW00023176,36.0
103,",,W,",TMIN,2016-04-13T00:00:00,GHCND:USW00023176,46.0
104,",,W,",TMIN,2016-04-14T00:00:00,GHCND:USW00023176,42.0
105,",,W,",TMIN,2016-04-15T00:00:00,GHCND:USW00023176,35.0
106,",,W,",TMIN,2016-04-16T00:00:00,GHCND:USW00023176,30.0
