,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00023176,360
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00023176,60
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00023176,360
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00023176,10
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00023176,190
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00023176,200
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00023176,180
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00023176,350
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00023176,200
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00023176,350
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00023176,40
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00023176,10
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00023176,200
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00023176,220
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00023176,190
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00023176,220
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00023176,230
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00023176,210
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00023176,200
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00023176,210
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00023176,40
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00023176,210
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00023176,240
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00023176,10
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00023176,30
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00023176,10
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00023176,10
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00023176,190
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00023176,200
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00023176,190
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00023176,360
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00023176,10
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00023176,20
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00023176,190
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00023176,210
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00023176,210
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00023176,220
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00023176,340
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00023176,360
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00023176,10
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00023176,190
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00023176,20
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00023176,350
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00023176,360
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00023176,180
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00023176,220
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00023176,230
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00023176,230
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00023176,210
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00023176,190
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00023176,220
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00023176,10
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00023176,20
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00023176,30
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00023176,190
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00023176,360
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00023176,270
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00023176,190
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00023176,350
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00023176,20
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00023176,190
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00023176,60
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00023176,200
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00023176,210
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00023176,190
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00023176,260
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00023176,190
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00023176,350
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00023176,360
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00023176,210
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00023176,200
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00023176,160
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00023176,210
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00023176,310
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00023176,190
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00023176,340
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00023176,20
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00023176,350
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00023176,30
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00023176,210
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00023176,220
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00023176,360
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00023176,20
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00023176,150
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00023176,350
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00023176,360
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00023176,200
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00023176,210
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00023176,210
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00023176,30
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00023176,20
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00023176,40
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00023176,190
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00023176,180
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00023176,220
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00023176,40
96,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00023176,10
