,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00013967,330
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00013967,250
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00013967,350
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00013967,90
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00013967,150
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00013967,170
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00013967,160
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00013967,360
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00013967,360
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00013967,360
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00013967,210
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00013967,340
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00013967,220
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00013967,190
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00013967,350
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00013967,40
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00013967,30
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00013967,30
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00013967,150
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00013967,140
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00013967,350
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00013967,350
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00013967,180
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00013967,180
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00013967,320
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00013967,360
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00013967,220
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00013967,300
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00013967,180
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00013967,190
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00013967,330
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00013967,230
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00013967,240
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00013967,320
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00013967,250
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00013967,190
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00013967,340
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00013967,330
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00013967,320
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00013967,340
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00013967,240
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00013967,360
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00013967,50
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00013967,150
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00013967,160
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00013967,330
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00013967,360
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00013967,180
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00013967,180
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00013967,200
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00013967,210
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00013967,20
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00013967,50
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00013967,350
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00013967,320
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00013967,340
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00013967,230
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00013967,200
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00013967,330
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00013967,210
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00013967,10
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00013967,180
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00013967,360
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00013967,180
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00013967,120
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00013967,180
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00013967,180
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00013967,250
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00013967,340
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00013967,10
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00013967,100
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00013967,190
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00013967,80
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00013967,190
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00013967,330
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00013967,360
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00013967,100
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00013967,360
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00013967,10
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00013967,320
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00013967,200
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00013967,190
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00013967,180
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00013967,330
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00013967,160
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00013967,10
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00013967,10
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00013967,140
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00013967,160
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00013967,220
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00013967,330
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00013967,20
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00013967,290
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00013967,200
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00013967,30
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00013967,220
96,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00013967,340
97,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00013967,10
98,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00013967,50
99,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00013967,190
100,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00013967,10
101,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00013967,330
102,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00013967,70
103,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00013967,150
104,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00013967,130
105,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00013967,150
106,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00013967,130
107,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00013967,140
108,",,W,",WDF5,2016-04-18T00:00:00,GHCND:USW00013967,340
109,",,W,",WDF5,2016-04-19T00:00:00,GHCND:USW00013967,310
110,",,W,",WDF5,2016-04-20T00:00:00,GHCND:USW00013967,340
111,",,W,",WDF5,2016-04-21T00:00:00,GHCND:USW00013967,330
112,",,W,",WDF5,2016-04-22T00:00:00,GHCND:USW00013967,310
113,",,W,",WDF5,2016-04-23T00:00:00,GHCND:USW00013967,160
114,",,W,",WDF5,2016-04-24T00:00:00,GHCND:USW00013967,180
115,",,W,",WDF5,2016-04-25T00:00:00,GHCND:USW00013967,180
116,",,W,",WDF5,2016-04-26T00:00:00,GHCND:USW00013967,250
117,",,W,",WDF5,2016-04-27T00:00:00,GHCND:USW00013967,320
118,",,W,",WDF5,2016-04-28T00:00:00,GHCND:USW00013967,120
119,",,W,",WDF5,2016-04-29T00:00:00,GHCND:USW00013967,90
120,",,W,",WDF5,2016-04-30T00:00:00,GHCND:USW00013967,310
121,",,W,",WDF5,2016-05-01T00:00:00,GHCND:USW00013967,340
122,",,W,",WDF5,2016-05-02T00:00:00,GHCND:USW00013967,350
123,",,W,",WDF5,2016-05-03T00:00:00,GHCND:USW00013967,250
124,",,W,",WDF5,2016-05-04T00:00:00,GHCND:USW00013967,320
125,",,W,",WDF5,2016-05-05T00:00:00,GHCND:USW00013967,20
126,",,W,",WDF5,2016-05-06T00:00:00,GHCND:USW00013967,160
127,",,W,",WDF5,2016-05-07T00:00:00,GHCND:USW00013967,160
128,",,W,",WDF5,2016-05-08T00:00:00,GHCND:USW00013967,170
129,",,W,",WDF5,2016-05-09T00:00:00,GHCND:USW00013967,190
130,",,W,",WDF5,2016-05-10T00:00:00,GHCND:USW00013967,180
131,",,W,",WDF5,2016-05-11T00:00:00,GHCND:USW00013967,220
132,",,W,",WDF5,2016-05-12T00:00:00,GHCND:USW00013967,30
133,",,W,",WDF5,2016-05-13T00:00:00,GHCND:USW00013967,30
134,",,W,",WDF5,2016-05-14T00:00:00,GHCND:USW00013967,30
135,",,W,",WDF5,2016-05-15T00:00:00,GHCND:USW00013967,100
136,",,W,",WDF5,2016-05-16T00:00:00,GHCND:USW00013967,280
137,",,W,",WDF5,2016-05-17T00:00:00,GHCND:USW00013967,290
138,",,W,",WDF5,2016-05-18T00:00:00,GHCND:USW00013967,30
139,",,W,",WDF5,2016-05-19T00:00:00,GHCND:USW00013967,100
140,",,W,",WDF5,2016-05-20T00:00:00,GHCND:USW00013967,120
141,",,W,",WDF5,2016-05-21T00:00:00,GHCND:USW00013967,150
142,",,W,",WDF5,2016-05-22T00:00:00,GHCND:USW00013967,150
143,",,W,",WDF5,2016-05-23T00:00:00,GHCND:USW00013967,160
144,",,W,",WDF5,2016-05-24T00:00:00,GHCND:USW00013967,180
145,",,W,",WDF5,2016-05-25T00:00:00,GHCND:USW00013967,180
146,",,W,",WDF5,2016-05-26T00:00:00,GHCND:USW00013967,140
147,",,W,",WDF5,2016-05-27T00:00:00,GHCND:USW00013967,130
148,",,W,",WDF5,2016-05-28T00:00:00,GHCND:USW00013967,170
