,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-04-02T00:00:00,GHCND:USC00341750,19.3
1,",,7,",WDMV,2016-04-03T00:00:00,GHCND:USC00341750,47.2
2,",,7,",WDMV,2016-04-04T00:00:00,GHCND:USC00341750,75.8
3,",,7,",WDMV,2016-04-05T00:00:00,GHCND:USC00341750,51.0
4,",,7,",WDMV,2016-04-06T00:00:00,GHCND:USC00341750,211.3
5,",,7,",WDMV,2016-04-07T00:00:00,GHCND:USC00341750,98.2
6,",,7,",WDMV,2016-04-08T00:00:00,GHCND:USC00341750,92.0
7,",,7,",WDMV,2016-04-09T00:00:00,GHCND:USC00341750,36.0
8,",,7,",WDMV,2016-04-10T00:00:00,GHCND:USC00341750,167.8
9,",,7,",WDMV,2016-04-11T00:00:00,GHCND:USC00341750,131.7
10,",,7,",WDMV,2016-04-12T00:00:00,GHCND:USC00341750,78.9
11,",,7,",WDMV,2016-04-13T00:00:00,GHCND:USC00341750,26.7
12,",,7,",WDMV,2016-04-14T00:00:00,GHCND:USC00341750,42.3
13,",,7,",WDMV,2016-04-15T00:00:00,GHCND:USC00341750,28.0
14,",,7,",WDMV,2016-04-16T00:00:00,GHCND:USC00341750,126.1
15,",,7,",WDMV,2016-04-17T00:00:00,GHCND:USC00341750,170.3
16,",,7,",WDMV,2016-04-18T00:00:00,GHCND:USC00341750,85.1
17,",,7,",WDMV,2016-04-19T00:00:00,GHCND:USC00341750,62.8
18,",,7,",WDMV,2016-04-20T00:00:00,GHCND:USC00341750,59.0
19,",,7,",WDMV,2016-04-21T00:00:00,GHCND:USC00341750,49.1
20,",,7,",WDMV,2016-04-22T00:00:00,GHCND:USC00341750,55.3
21,",,7,",WDMV,2016-04-23T00:00:00,GHCND:USC00341750,21.1
22,",,7,",WDMV,2016-04-24T00:00:00,GHCND:USC00341750,95.7
23,",,7,",WDMV,2016-04-25T00:00:00,GHCND:USC00341750,174.0
24,",,7,",WDMV,2016-04-26T00:00:00,GHCND:USC00341750,159.1
25,",,7,",WDMV,2016-04-27T00:00:00,GHCND:USC00341750,108.7
26,",,7,",WDMV,2016-04-28T00:00:00,GHCND:USC00341750,49.7
27,",,7,",WDMV,2016-04-29T00:00:00,GHCND:USC00341750,78.3
28,",,7,",WDMV,2016-04-30T00:00:00,GHCND:USC00341750,116.2
29,",,7,",WDMV,2016-05-02T00:00:00,GHCND:USC00341750,105.0
30,",,7,",WDMV,2016-05-03T00:00:00,GHCND:USC00341750,69.0
31,",,7,",WDMV,2016-05-04T00:00:00,GHCND:USC00341750,42.3
32,",,7,",WDMV,2016-05-05T00:00:00,GHCND:USC00341750,65.2
33,",,7,",WDMV,2016-05-06T00:00:00,GHCND:USC00341750,24.9
34,",,7,",WDMV,2016-05-07T00:00:00,GHCND:USC00341750,67.1
35,",,7,",WDMV,2016-05-08T00:00:00,GHCND:USC00341750,133.0
36,",,7,",WDMV,2016-05-09T00:00:00,GHCND:USC00341750,175.8
