,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00094898,1408
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00094898,1818
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00094898,516
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00094898,656
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00094898,1237
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00094898,107
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00094898,629
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00094898,1308
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00094898,2347
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00094898,1342
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00094898,32
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00094898,1355
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00094898,11
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00094898,26
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00094898,20
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00094898,504
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00094898,2258
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00094898,20
18,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00094898,1420
19,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00094898,144
20,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00094898,2204
21,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00094898,351
22,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00094898,1542
23,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00094898,1157
24,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00094898,946
25,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00094898,2228
26,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00094898,2109
27,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00094898,517
