,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00014921,1552
1,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00014921,1628
2,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00014921,835
3,",,W,",PGTM,2016-02-25T00:00:00,GHCND:USW00014921,1014
4,",,W,",PGTM,2016-02-26T00:00:00,GHCND:USW00014921,1354
5,",,W,",PGTM,2016-02-27T00:00:00,GHCND:USW00014921,1444
6,",,W,",PGTM,2016-02-28T00:00:00,GHCND:USW00014921,1713
7,",,W,",PGTM,2016-02-29T00:00:00,GHCND:USW00014921,1100
8,",,W,",PGTM,2016-03-26T00:00:00,GHCND:USW00014921,1354
9,",,W,",PGTM,2016-03-27T00:00:00,GHCND:USW00014921,2115
10,",,W,",PGTM,2016-03-28T00:00:00,GHCND:USW00014921,1443
11,",,W,",PGTM,2016-03-29T00:00:00,GHCND:USW00014921,1316
12,",,W,",PGTM,2016-03-30T00:00:00,GHCND:USW00014921,2322
13,",,W,",PGTM,2016-03-31T00:00:00,GHCND:USW00014921,1558
14,",,W,",PGTM,2016-04-30T00:00:00,GHCND:USW00014921,1646
15,",,W,",PGTM,2016-05-31T00:00:00,GHCND:USW00014921,1034
16,",,W,",PGTM,2016-06-28T00:00:00,GHCND:USW00014921,1512
17,",,W,",PGTM,2016-06-29T00:00:00,GHCND:USW00014921,1401
18,",,W,",PGTM,2016-06-30T00:00:00,GHCND:USW00014921,1552
19,",,W,",PGTM,2016-07-26T00:00:00,GHCND:USW00014921,1440
20,",,W,",PGTM,2016-07-27T00:00:00,GHCND:USW00014921,1350
21,",,W,",PGTM,2016-07-28T00:00:00,GHCND:USW00014921,1617
22,",,W,",PGTM,2016-07-29T00:00:00,GHCND:USW00014921,1431
23,",,W,",PGTM,2016-07-30T00:00:00,GHCND:USW00014921,1255
24,",,W,",PGTM,2016-07-31T00:00:00,GHCND:USW00014921,559
25,",,W,",PGTM,2016-09-30T00:00:00,GHCND:USW00014921,1346
26,",,W,",PGTM,2016-10-28T00:00:00,GHCND:USW00014921,1421
27,",,W,",PGTM,2016-10-29T00:00:00,GHCND:USW00014921,1915
28,",,W,",PGTM,2016-10-30T00:00:00,GHCND:USW00014921,401
29,",,W,",PGTM,2016-10-31T00:00:00,GHCND:USW00014921,1318
30,",,W,",PGTM,2016-11-25T00:00:00,GHCND:USW00014921,1252
31,",,W,",PGTM,2016-11-30T00:00:00,GHCND:USW00014921,1010
32,",,W,",PGTM,2016-12-27T00:00:00,GHCND:USW00014921,13
33,",,W,",PGTM,2016-12-28T00:00:00,GHCND:USW00014921,2241
34,",,W,",PGTM,2016-12-29T00:00:00,GHCND:USW00014921,1939
35,",,W,",PGTM,2016-12-30T00:00:00,GHCND:USW00014921,29
36,",,W,",PGTM,2016-12-31T00:00:00,GHCND:USW00014921,1330
